name	drugA	drugB	concA	concB	bliss
197	164	2015	0	0	0
197	164	2015	0	1e-07	0
197	164	2015	0	2.5e-07	0
197	164	2015	0	5e-07	0
197	164	2015	0	1e-06	0
197	164	2015	0	2e-06	0
197	164	2015	0	4e-06	0
197	164	2015	0	6e-06	-0.0413570348874356
197	164	2015	0	1e-05	-0.0222747818890301
197	164	2015	0	1.4e-05	-0.0766312169502052
197	164	2015	1e-09	0	-0.313947408748899
197	164	2015	1e-09	1e-07	-0.580721193118154
197	164	2015	1e-09	2.5e-07	0
197	164	2015	1e-09	5e-07	-0.00900426509412
197	164	2015	1e-09	1e-06	-0.0307004650178217
197	164	2015	1e-09	2e-06	-0.0929342602864871
197	164	2015	1e-09	4e-06	-0.423831843642155
197	164	2015	1e-09	6e-06	-0.706763767538845
197	164	2015	1e-09	1e-05	0
197	164	2015	1e-09	1.4e-05	-0.00940283321244266
197	164	2015	2.5e-09	0	-0.038665258614373
197	164	2015	2.5e-09	1e-07	-0.122244395594802
197	164	2015	2.5e-09	2.5e-07	-0.430431193247813
197	164	2015	2.5e-09	5e-07	-0.748051247760847
197	164	2015	2.5e-09	1e-06	0
197	164	2015	2.5e-09	2e-06	-0.016171440217327
197	164	2015	2.5e-09	4e-06	-0.0530447042417572
197	164	2015	2.5e-09	6e-06	-0.172365135271073
197	164	2015	2.5e-09	1e-05	-0.534262178141007
197	164	2015	2.5e-09	1.4e-05	-0.766637998910618
197	164	2015	5e-09	0	0
197	164	2015	5e-09	1e-07	-0.0402693564536769
197	164	2015	5e-09	2.5e-07	-0.093408908186606
197	164	2015	5e-09	5e-07	-0.354651946870495
197	164	2015	5e-09	1e-06	-0.666590438888704
197	164	2015	5e-09	2e-06	-0.786228932185943
197	164	2015	5e-09	4e-06	0
197	164	2015	5e-09	6e-06	-0.206045580180878
197	164	2015	5e-09	1e-05	-0.418004698346176
197	164	2015	5e-09	1.4e-05	-0.722807370097071
197	164	2015	7.5e-09	0	-0.752364457696316
197	164	2015	7.5e-09	1e-07	-0.755570386817956
197	164	2015	7.5e-09	2.5e-07	0
197	164	2015	7.5e-09	5e-07	-0.395839814795361
197	164	2015	7.5e-09	1e-06	-0.606729859902601
197	164	2015	7.5e-09	2e-06	-0.804060814252858
197	164	2015	7.5e-09	4e-06	-0.709184273086502
197	164	2015	7.5e-09	6e-06	-0.678428767498912
197	164	2015	7.5e-09	1e-05	0
197	164	2015	7.5e-09	1.4e-05	-0.712430649360942
197	164	2015	1e-08	0	-0.809962195105325
197	164	2015	1e-08	1e-07	-0.841211779260558
197	164	2015	1e-08	2.5e-07	-0.576776005058965
197	164	2015	1e-08	5e-07	-0.51469377809762
197	164	2015	1e-08	1e-06	0
197	164	2015	1e-08	2e-06	-0.806141948433929
197	164	2015	1e-08	4e-06	-0.831071971304861
197	164	2015	1e-08	6e-06	-0.835154086301384
197	164	2015	1e-08	1e-05	-0.552042014983222
197	164	2015	1e-08	1.4e-05	-0.484336893837069
5	164	2015	0	0	0
5	164	2015	0	1e-07	0
5	164	2015	0	2.5e-07	0
5	164	2015	0	5e-07	0
5	164	2015	0	1e-06	0
5	164	2015	0	2e-06	0
5	164	2015	0	4e-06	0
5	164	2015	0	6e-06	-0.0187925454293951
5	164	2015	0	1e-05	-0.0500621989971197
5	164	2015	0	1.4e-05	-0.0552934150353282
5	164	2015	1e-09	0	-0.329098812297018
5	164	2015	1e-09	1e-07	-0.43105344655283
5	164	2015	1e-09	2.5e-07	0
5	164	2015	1e-09	5e-07	-0.0544992159619456
