name	drugA	drugB	concA	concB	hsa
197	164	2015	0	0	0
197	164	2015	0	1e-07	0
197	164	2015	0	2.5e-07	0
197	164	2015	0	5e-07	0
197	164	2015	0	1e-06	0
197	164	2015	0	2e-06	0
197	164	2015	0	4e-06	0
197	164	2015	0	6e-06	-0.056018366
197	164	2015	0	1e-05	-0.0129555730000001
197	164	2015	0	1.4e-05	-0.067398654
197	164	2015	1e-09	0	-0.308935826
197	164	2015	1e-09	1e-07	-0.576678979
197	164	2015	1e-09	2.5e-07	0
197	164	2015	1e-09	5e-07	-0.023382938
197	164	2015	1e-09	1e-06	-0.003331819
197	164	2015	1e-09	2e-06	-0.065820076
197	164	2015	1e-09	4e-06	-0.409113831
197	164	2015	1e-09	6e-06	-0.694892596
197	164	2015	1e-09	1e-05	0
197	164	2015	1e-09	1.4e-05	-0.02422534
197	164	2015	2.5e-09	0	-0.039638092
197	164	2015	2.5e-09	1e-07	-0.123208184
197	164	2015	2.5e-09	2.5e-07	-0.430954353
197	164	2015	2.5e-09	5e-07	-0.748473215
197	164	2015	2.5e-09	1e-06	0
197	164	2015	2.5e-09	2e-06	-0.030675237
197	164	2015	2.5e-09	4e-06	-0.033665975
197	164	2015	2.5e-09	6e-06	-0.153166581
197	164	2015	2.5e-09	1e-05	-0.523840896
197	164	2015	2.5e-09	1.4e-05	-0.75823246
197	164	2015	5e-09	0	0
197	164	2015	5e-09	1e-07	-0.0548024820000001
197	164	2015	5e-09	2.5e-07	-0.0759029980000001
197	164	2015	5e-09	5e-07	-0.337308799
197	164	2015	5e-09	1e-06	-0.657176301
197	164	2015	5e-09	2e-06	-0.77863573
197	164	2015	5e-09	4e-06	0
197	164	2015	5e-09	6e-06	-0.218375707
197	164	2015	5e-09	1e-05	-0.372650392
197	164	2015	5e-09	1.4e-05	-0.670132597
197	164	2015	7.5e-09	0	-0.667299756
197	164	2015	7.5e-09	1e-07	-0.68695938
197	164	2015	7.5e-09	2.5e-07	0
197	164	2015	7.5e-09	5e-07	-0.405757441
197	164	2015	7.5e-09	1e-06	-0.570249533
197	164	2015	7.5e-09	2e-06	-0.761692336
197	164	2015	7.5e-09	4e-06	-0.541274752
197	164	2015	7.5e-09	6e-06	-0.542997254
197	164	2015	7.5e-09	1e-05	0
197	164	2015	7.5e-09	1.4e-05	-0.718150032
197	164	2015	1e-08	0	-0.788924404
197	164	2015	1e-08	1e-07	-0.816778358
197	164	2015	1e-08	2.5e-07	-0.386923548
197	164	2015	1e-08	5e-07	-0.286852035
197	164	2015	1e-08	1e-06	0
197	164	2015	1e-08	2e-06	-0.810870387
197	164	2015	1e-08	4e-06	-0.813679202
197	164	2015	1e-08	6e-06	-0.814954016
197	164	2015	1e-08	1e-05	-0.395083522
197	164	2015	1e-08	1.4e-05	-0.295971164
5	164	2015	0	0	0
5	164	2015	0	1e-07	0
5	164	2015	0	2.5e-07	0
5	164	2015	0	5e-07	0
5	164	2015	0	1e-06	0
5	164	2015	0	2e-06	0
5	164	2015	0	4e-06	0
5	164	2015	0	6e-06	-0.0369705639999999
5	164	2015	0	1e-05	-0.03184915
5	164	2015	0	1.4e-05	-0.0255734339999999
5	164	2015	1e-09	0	-0.304343421
5	164	2015	1e-09	1e-07	-0.413405162
5	164	2015	1e-09	2.5e-07	0
5	164	2015	1e-09	5e-07	-0.0721826689999999
5	164	2015	1e-09	1e-06	-0.0380093530000001
5	164	2015	1e-09	2e-06	-0.011168469
5	164	2015	1e-09	4e-06	-0.199065829
5	164	2015	1e-09	6e-06	-0.382022436
