name	drugA	drugB	concA	concB	loewe
197	164	2015	0	0	0
197	164	2015	0	1e-07	0
197	164	2015	0	2.5e-07	0
197	164	2015	0	5e-07	0
197	164	2015	0	1e-06	0
197	164	2015	0	2e-06	0
197	164	2015	0	4e-06	0
197	164	2015	0	6e-06	-0.0288734582772668
197	164	2015	0	1e-05	-0.0029611547134725
197	164	2015	0	1.4e-05	0.0014641109138114
197	164	2015	1e-09	0	0.183036115961776
197	164	2015	1e-09	1e-07	0.00408080873877815
197	164	2015	1e-09	2.5e-07	0
197	164	2015	1e-09	5e-07	0.00379157769463788
197	164	2015	1e-09	1e-06	-0.0199091630328935
197	164	2015	1e-09	2e-06	0.0100585152987995
197	164	2015	1e-09	4e-06	0.0773557541922088
197	164	2015	1e-09	6e-06	-0.132262309403263
197	164	2015	1e-09	1e-05	0
197	164	2015	1e-09	1.4e-05	0.00318742358716023
197	164	2015	2.5e-09	0	-0.0167316508572297
197	164	2015	2.5e-09	1e-07	0.0316918255978507
197	164	2015	2.5e-09	2.5e-07	0.103927385541892
197	164	2015	2.5e-09	5e-07	-0.154541062738048
197	164	2015	2.5e-09	1e-06	0
197	164	2015	2.5e-09	2e-06	0.00426437598130761
197	164	2015	2.5e-09	4e-06	-0.0156351028689505
197	164	2015	2.5e-09	6e-06	0.0839748247554982
197	164	2015	2.5e-09	1e-05	0.0150853524856389
197	164	2015	2.5e-09	1.4e-05	-0.183955984575196
197	164	2015	5e-09	0	0
197	164	2015	5e-09	1e-07	0.0112473373226292
197	164	2015	5e-09	2.5e-07	0.0284284311507656
197	164	2015	5e-09	5e-07	0.0697898101993241
197	164	2015	5e-09	1e-06	-0.0908999506157043
197	164	2015	5e-09	2e-06	-0.200566696302048
197	164	2015	5e-09	4e-06	0
197	164	2015	5e-09	6e-06	0.0223870157841723
197	164	2015	5e-09	1e-05	-0.0507285104047741
197	164	2015	5e-09	1.4e-05	-0.161799040350599
197	164	2015	7.5e-09	0	-0.237970548805522
197	164	2015	7.5e-09	1e-07	-0.70154788159701
197	164	2015	7.5e-09	2.5e-07	0
197	164	2015	7.5e-09	5e-07	0.0403110848015081
197	164	2015	7.5e-09	1e-06	-0.0820432361201333
197	164	2015	7.5e-09	2e-06	-0.228257689190682
197	164	2015	7.5e-09	4e-06	-0.526090317585284
197	164	2015	7.5e-09	6e-06	-0.527577529455349
197	164	2015	7.5e-09	1e-05	0
197	164	2015	7.5e-09	1.4e-05	-0.105943001785419
197	164	2015	1e-08	0	-0.245990715785419
197	164	2015	1e-08	1e-07	-0.282635831785419
197	164	2015	1e-08	2.5e-07	-0.281044841785419
197	164	2015	1e-08	5e-07	-0.279326197785419
197	164	2015	1e-08	1e-06	0
197	164	2015	1e-08	2e-06	-0.198663356785419
197	164	2015	1e-08	4e-06	-0.270745513785419
197	164	2015	1e-08	6e-06	-0.280811489785419
197	164	2015	1e-08	1e-05	-0.289204815785419
197	164	2015	1e-08	1.4e-05	-0.288445326785419
5	164	2015	0	0	0
5	164	2015	0	1e-07	0
5	164	2015	0	2.5e-07	0
5	164	2015	0	5e-07	0
5	164	2015	0	1e-06	0
5	164	2015	0	2e-06	0
5	164	2015	0	4e-06	0
5	164	2015	0	6e-06	0.0261607571620975
5	164	2015	0	1e-05	-0.00633207426165555
5	164	2015	0	1.4e-05	-0.00356864305165871
5	164	2015	1e-09	0	-0.075483883863868
5	164	2015	1e-09	1e-07	0.0183754503704994
5	164	2015	1e-09	2.5e-07	0
5	164	2015	1e-09	5e-07	-0.00900049247245917
