name	drugA	drugB	concA	concB	experiments
197	164	2015	0	0	1
197	164	2015	0	1e-07	1.014807272
197	164	2015	0	2.5e-07	0.94553393
197	164	2015	0	5e-07	0.936742768
197	164	2015	0	1e-06	0.508478948
197	164	2015	0	2e-06	0.410126079
197	164	2015	0	4e-06	0.990143972
197	164	2015	0	6e-06	0.958788906
197	164	2015	0	1e-05	0.977188399
197	164	2015	0	1.4e-05	0.922745318
197	164	2015	1e-09	0	0.681208146
197	164	2015	1e-09	1e-07	0.413464993
197	164	2015	1e-09	2.5e-07	0.971054824
197	164	2015	1e-09	5e-07	0.991424334
197	164	2015	1e-09	1e-06	0.967723005
197	164	2015	1e-09	2e-06	0.905234748
197	164	2015	1e-09	4e-06	0.561940993
197	164	2015	1e-09	6e-06	0.276162228
197	164	2015	1e-09	1e-05	1.001028872
197	164	2015	1e-09	1.4e-05	0.990581932
197	164	2015	2.5e-09	0	0.96139078
197	164	2015	2.5e-09	1e-07	0.877820688
197	164	2015	2.5e-09	2.5e-07	0.570074519
197	164	2015	2.5e-09	5e-07	0.252555657
197	164	2015	2.5e-09	1e-06	0.979504988
197	164	2015	2.5e-09	2e-06	0.984132035
197	164	2015	2.5e-09	4e-06	0.945839013
197	164	2015	2.5e-09	6e-06	0.826338407
197	164	2015	2.5e-09	1e-05	0.455664092
197	164	2015	2.5e-09	1.4e-05	0.221272528
197	164	2015	5e-09	0	0.981485688
197	164	2015	5e-09	1e-07	0.96000479
197	164	2015	5e-09	2.5e-07	0.90558269
197	164	2015	5e-09	5e-07	0.644176889
197	164	2015	5e-09	1e-06	0.324309387
197	164	2015	5e-09	2e-06	0.202849958
197	164	2015	5e-09	4e-06	0.832707525
197	164	2015	5e-09	6e-06	0.796431565
197	164	2015	5e-09	1e-05	0.572883538
197	164	2015	5e-09	1.4e-05	0.266610171
197	164	2015	7.5e-09	0	0.165407769
197	164	2015	7.5e-09	1e-07	0.145748145
197	164	2015	7.5e-09	2.5e-07	0.669780781
197	164	2015	7.5e-09	5e-07	0.609049831
197	164	2015	7.5e-09	1e-06	0.375284397
197	164	2015	7.5e-09	2e-06	0.175050432
197	164	2015	7.5e-09	4e-06	0.128506029
197	164	2015	7.5e-09	6e-06	0.126783527
197	164	2015	7.5e-09	1e-05	0.386254986
197	164	2015	7.5e-09	1.4e-05	0.29665724
197	164	2015	1e-08	0	0.156609526
197	164	2015	1e-08	1e-07	0.11996441
197	164	2015	1e-08	2.5e-07	0.1215554
197	164	2015	1e-08	5e-07	0.123274044
197	164	2015	1e-08	1e-06	0.319332188
197	164	2015	1e-08	2e-06	0.203936885
197	164	2015	1e-08	4e-06	0.131854728
197	164	2015	1e-08	6e-06	0.121788752
197	164	2015	1e-08	1e-05	0.113395426
197	164	2015	1e-08	1.4e-05	0.114154915
5	164	2015	0	0	1
5	164	2015	0	1e-07	1.018789086
5	164	2015	0	2.5e-07	0.981174706
5	164	2015	0	5e-07	0.96928096
5	164	2015	0	1e-06	0.761178151
5	164	2015	0	2e-06	0.542649011
5	164	2015	0	4e-06	0.967477533
5	164	2015	0	6e-06	0.981818522
5	164	2015	0	1e-05	0.949325556
5	164	2015	0	1.4e-05	0.943707526
5	164	2015	1e-09	0	0.663134112
5	164	2015	1e-09	1e-07	0.554072371
5	164	2015	1e-09	2.5e-07	0.941155575
5	164	2015	1e-09	5e-07	0.946606417
5	164	2015	1e-09	1e-06	0.943165353
5	164	2015	1e-09	2e-06	0.958112491
5	164	2015	1e-09	4e-06	0.742089746
5	164	2015	1e-09	6e-06	0.559133139
5	164	2015	1e-09	1e-05	0.977082299
5	164	2015	1e-09	1.4e-05	0.937690601
5	164	2015	2.5e-09	0	0.943951936
5	164	2015	2.5e-09	1e-07	0.914995795
5	164	2015	2.5e-09	2.5e-07	0.628443481
5	164	2015	2.5e-09	5e-07	0.544864784
5	164	2015	2.5e-09	1e-06	0.921628013
5	164	2015	2.5e-09	2e-06	0.919392914
5	164	2015	2.5e-09	4e-06	0.932472822
5	164	2015	2.5e-09	6e-06	0.916829617
5	164	2015	2.5e-09	1e-05	0.645018794
5	164	2015	2.5e-09	1.4e-05	0.53564785
5	164	2015	5e-09	0	0.925030614
5	164	2015	5e-09	1e-07	0.897387058
5	164	2015	5e-09	2.5e-07	0.876048122
5	164	2015	5e-09	5e-07	0.727492826
5	164	2015	5e-09	1e-06	0.549510642
5	164	2015	5e-09	2e-06	0.513925897
5	164	2015	5e-09	4e-06	0.716069809
5	164	2015	5e-09	6e-06	0.699982239
5	164	2015	5e-09	1e-05	0.605900649
5	164	2015	5e-09	1.4e-05	0.525141589
5	164	2015	7.5e-09	0	0.488232135
5	164	2015	7.5e-09	1e-07	0.440440469
5	164	2015	7.5e-09	2.5e-07	0.58229339
5	164	2015	7.5e-09	5e-07	0.575806014
5	164	2015	7.5e-09	1e-06	0.502350973
5	164	2015	7.5e-09	2e-06	0.484889275
5	164	2015	7.5e-09	4e-06	0.459949335
5	164	2015	7.5e-09	6e-06	0.438273168
5	164	2015	7.5e-09	1e-05	0.517242024
5	164	2015	7.5e-09	1.4e-05	0.482710408
5	164	2015	1e-08	0	0.463940847
5	164	2015	1e-08	1e-07	0.453106743
5	164	2015	1e-08	2.5e-07	0.421613992
5	164	2015	1e-08	5e-07	0.40875979
5	164	2015	1e-08	1e-06	0.475840601
5	164	2015	1e-08	2e-06	0.479691896
5	164	2015	1e-08	4e-06	0.461678679
5	164	2015	1e-08	6e-06	0.450423923
5	164	2015	1e-08	1e-05	0.428101032
5	164	2015	1e-08	1.4e-05	0.420580159
198	164	2015	0	0	1
198	164	2015	0	1e-07	1.011593267
198	164	2015	0	2.5e-07	0.965104661
198	164	2015	0	5e-07	0.552773035
198	164	2015	0	1e-06	0.090030269
198	164	2015	0	2e-06	0.035834829
198	164	2015	0	4e-06	1.030139758
198	164	2015	0	6e-06	1.047581104
198	164	2015	0	1e-05	1.002608186
198	164	2015	0	1.4e-05	0.669250924
198	164	2015	1e-09	0	0.114247771
198	164	2015	1e-09	1e-07	0.027154873
198	164	2015	1e-09	2.5e-07	1.027319294
198	164	2015	1e-09	5e-07	1.043190601
198	164	2015	1e-09	1e-06	1.014033954
198	164	2015	1e-09	2e-06	0.490281269
198	164	2015	1e-09	4e-06	0.052319252
198	164	2015	1e-09	6e-06	0.027241173
198	164	2015	1e-09	1e-05	1.013735534
198	164	2015	1e-09	1.4e-05	1.003242286
198	164	2015	2.5e-09	0	0.925989735
198	164	2015	2.5e-09	1e-07	0.342916622
198	164	2015	2.5e-09	2.5e-07	0.033608618
198	164	2015	2.5e-09	5e-07	0.023291442
198	164	2015	2.5e-09	1e-06	0.970592106
198	164	2015	2.5e-09	2e-06	0.995583483
198	164	2015	2.5e-09	4e-06	0.801885551
198	164	2015	2.5e-09	6e-06	0.112477076
198	164	2015	2.5e-09	1e-05	0.028737901
198	164	2015	2.5e-09	1.4e-05	0.025972472
198	164	2015	5e-09	0	0.927452096
198	164	2015	5e-09	1e-07	0.920299222
198	164	2015	5e-09	2.5e-07	0.324826819
198	164	2015	5e-09	5e-07	0.029267059
198	164	2015	5e-09	1e-06	0.023267504
198	164	2015	5e-09	2e-06	0.022462531
198	164	2015	5e-09	4e-06	0.395200479
198	164	2015	5e-09	6e-06	0.327602503
198	164	2015	5e-09	1e-05	0.03442737
198	164	2015	5e-09	1.4e-05	0.028925568
198	164	2015	7.5e-09	0	0.019585322
198	164	2015	7.5e-09	1e-07	0.023613483
198	164	2015	7.5e-09	2.5e-07	0.153236902
198	164	2015	7.5e-09	5e-07	0.102143806
198	164	2015	7.5e-09	1e-06	0.023162605
198	164	2015	7.5e-09	2e-06	0.023019035
198	164	2015	7.5e-09	4e-06	0.020263315
198	164	2015	7.5e-09	6e-06	0.025553561
198	164	2015	7.5e-09	1e-05	0.061949029
198	164	2015	7.5e-09	1.4e-05	0.033213645
198	164	2015	1e-08	0	0.026187911
198	164	2015	1e-08	1e-07	0.028773794
198	164	2015	1e-08	2.5e-07	0.02706164
198	164	2015	1e-08	5e-07	0.030544489
198	164	2015	1e-08	1e-06	0.036792512
198	164	2015	1e-08	2e-06	0.036741921
198	164	2015	1e-08	4e-06	0.027146669
198	164	2015	1e-08	6e-06	0.02647189
198	164	2015	1e-08	1e-05	0.026714542
198	164	2015	1e-08	1.4e-05	0.026991135
94	164	2015	0	0	1
94	164	2015	0	1e-07	1.013344299
94	164	2015	0	2.5e-07	0.979930493
94	164	2015	0	5e-07	1.053655754
94	164	2015	0	1e-06	0.981363082
94	164	2015	0	2e-06	0.800392635
94	164	2015	0	4e-06	0.975011754
94	164	2015	0	6e-06	1.046705046
94	164	2015	0	1e-05	1.03378832
94	164	2015	0	1.4e-05	1.052486574
94	164	2015	1e-09	0	0.987080172
94	164	2015	1e-09	1e-07	0.986196576
94	164	2015	1e-09	2.5e-07	1.051904812
94	164	2015	1e-09	5e-07	0.998501088
94	164	2015	1e-09	1e-06	1.037997874
94	164	2015	1e-09	2e-06	1.001087706
94	164	2015	1e-09	4e-06	1.006419221
94	164	2015	1e-09	6e-06	0.892911469
94	164	2015	1e-09	1e-05	0.978938241
94	164	2015	1e-09	1.4e-05	1.022795928
94	164	2015	2.5e-09	0	1.010664827
94	164	2015	2.5e-09	1e-07	1.018876013
94	164	2015	2.5e-09	2.5e-07	0.990781026
94	164	2015	2.5e-09	5e-07	0.744951331
94	164	2015	2.5e-09	1e-06	1.010349071
94	164	2015	2.5e-09	2e-06	1.033175041
94	164	2015	2.5e-09	4e-06	1.054478166
94	164	2015	2.5e-09	6e-06	1.015015652
94	164	2015	2.5e-09	1e-05	0.766090094
94	164	2015	2.5e-09	1.4e-05	0.586751207
94	164	2015	5e-09	0	1.018754196
94	164	2015	5e-09	1e-07	1.064947416
94	164	2015	5e-09	2.5e-07	1.007915641
94	164	2015	5e-09	5e-07	0.713344708
94	164	2015	5e-09	1e-06	0.52202674
94	164	2015	5e-09	2e-06	0.381754867
94	164	2015	5e-09	4e-06	0.702548109
94	164	2015	5e-09	6e-06	0.699205639
94	164	2015	5e-09	1e-05	0.576499217
94	164	2015	5e-09	1.4e-05	0.369447863
94	164	2015	7.5e-09	0	0.281259507
94	164	2015	7.5e-09	1e-07	0.276767733
94	164	2015	7.5e-09	2.5e-07	0.40159991
