name	drugA	drugB	concA	concB	zip
197	164	2015	0	0	0
197	164	2015	0	1e-07	0
197	164	2015	0	2.5e-07	0
197	164	2015	0	5e-07	0
197	164	2015	0	1e-06	0
197	164	2015	0	2e-06	0
197	164	2015	0	4e-06	0
197	164	2015	0	6e-06	-0.000418723487136106
197	164	2015	0	1e-05	-0.00791390810550439
197	164	2015	0	1.4e-05	-0.0723708126475839
197	164	2015	1e-09	0	-0.201150160362431
197	164	2015	1e-09	1e-07	-0.320974290663662
197	164	2015	1e-09	2.5e-07	0
197	164	2015	1e-09	5e-07	-0.000771238031764909
197	164	2015	1e-09	1e-06	-0.00825583627270291
197	164	2015	1e-09	2e-06	-0.0726217003462412
197	164	2015	1e-09	4e-06	-0.20121915704045
197	164	2015	1e-09	6e-06	-0.320874044883597
197	164	2015	1e-09	1e-05	0
197	164	2015	1e-09	1.4e-05	-0.00202420795512126
197	164	2015	2.5e-09	0	-0.00947117820958496
197	164	2015	2.5e-09	1e-07	-0.073513450049474
197	164	2015	2.5e-09	2.5e-07	-0.201464397311202
197	164	2015	2.5e-09	5e-07	-0.320517733493674
197	164	2015	2.5e-09	1e-06	0
197	164	2015	2.5e-09	2e-06	-0.00696669164971453
197	164	2015	2.5e-09	4e-06	-0.0142652339921096
197	164	2015	2.5e-09	6e-06	-0.0770310591203131
197	164	2015	2.5e-09	1e-05	-0.202431775710999
197	164	2015	2.5e-09	1.4e-05	-0.319112222314143
197	164	2015	5e-09	0	0
197	164	2015	5e-09	1e-07	-0.0257661773097608
197	164	2015	5e-09	2.5e-07	-0.0325001515975281
197	164	2015	5e-09	5e-07	-0.0904108182396445
197	164	2015	5e-09	1e-06	-0.206111346040124
197	164	2015	5e-09	2e-06	-0.313766147567648
197	164	2015	5e-09	4e-06	0
197	164	2015	5e-09	6e-06	-0.0884383900026194
197	164	2015	5e-09	1e-05	-0.0932902527348332
197	164	2015	5e-09	1.4e-05	-0.135015182660533
197	164	2015	7.5e-09	0	-0.218378001546311
197	164	2015	7.5e-09	1e-07	-0.295943833721246
197	164	2015	7.5e-09	2.5e-07	0
197	164	2015	7.5e-09	5e-07	-0.162644027599199
197	164	2015	7.5e-09	1e-06	-0.165267418062655
197	164	2015	7.5e-09	2e-06	-0.187827986919785
197	164	2015	7.5e-09	4e-06	-0.232902061794114
197	164	2015	7.5e-09	6e-06	-0.274841719951944
197	164	2015	7.5e-09	1e-05	0
197	164	2015	7.5e-09	1.4e-05	-0.285934010562233
197	164	2015	1e-08	0	-0.28485487495156
197	164	2015	1e-08	1e-07	-0.275574551038702
197	164	2015	1e-08	2.5e-07	-0.257033262582938
197	164	2015	1e-08	5e-07	-0.239781321155221
197	164	2015	1e-08	1e-06	0
197	164	2015	1e-08	2e-06	-0.361617153550291
197	164	2015	1e-08	4e-06	-0.358265174651373
197	164	2015	1e-08	6e-06	-0.329438908866652
197	164	2015	1e-08	1e-05	-0.271846510795663
197	164	2015	1e-08	1.4e-05	-0.218259044068473
5	164	2015	0	0	0
5	164	2015	0	1e-07	0
5	164	2015	0	2.5e-07	0
5	164	2015	0	5e-07	0
5	164	2015	0	1e-06	0
5	164	2015	0	2e-06	0
5	164	2015	0	4e-06	0
5	164	2015	0	6e-06	-0.00417280429446848
5	164	2015	0	1e-05	-0.00610977279362515
5	164	2015	0	1.4e-05	-0.0316846371502949
5	164	2015	1e-09	0	-0.113118100644281
5	164	2015	1e-09	1e-07	-0.232344335925532
5	164	2015	1e-09	2.5e-07	0
5	164	2015	1e-09	5e-07	-0.0104224122358227
