CLOUD ID1	CLOUD ID2	y1	y2	yc	yBliss	yLoewe
CLOUD196	CLOUD166	71.74865513	39.13122131	49.92073172	0.828037514	59.6
CLOUD117	CLOUD171	99.94879672	0.32239215	100	0.999489618	8
CLOUD117	CLOUD173	99.94879672	26.96680805	100	0.999626046	4.4
CLOUD117	CLOUD179	99.94879672	98.65510327	100	0.999993114	2.9
CLOUD184	CLOUD234	0	26.35059193	4.644690754	0.263505919	91.9
CLOUD184	CLOUD232	0	50.0790699	35.40375522	0.500790699	91.1
CLOUD089	CLOUD232	80.21460332	50.0790699	76.07493476	0.90122946	22.4
CLOUD165	CLOUD025	100	2.150875492	100	1	58.3
CLOUD143	CLOUD057	89.25430294	100	100	1	2.4
CLOUD115	CLOUD256	99.78243983	0	88.77601923	0.997824398	93.6
CLOUD115	CLOUD259	99.78243983	96.22080761	100	0.99991778	89.8
CLOUD259	CLOUD122	96.22080761	58.96658998	100	0.984492685	97
CLOUD215	CLOUD166	17.3356167	39.13122131	0	0.496831995	98.1
CLOUD209	CLOUD232	99.87921859	50.0790699	89.81875324	0.999397048	2.4
CLOUD209	CLOUD234	99.87921859	26.35059193	100	0.999110452	2.4
CLOUD243	CLOUD102	84.97484141	11.69030422	96.97388795	0.867313282	67.8
CLOUD112	CLOUD053	96.94297546	99.99187369	100	0.999997516	1.8
CLOUD112	CLOUD059	96.94297546	1.662962311	90.05069258	0.969938126	99.3
CLOUD180	CLOUD190	94.77996018	17.11103228	100	0.956731629	99.3
CLOUD102	CLOUD215	11.69030422	17.3356167	14.68829651	0.269993346	69.1
CLOUD104	CLOUD250	98.44403556	2.964857381	100	0.984901677	1.7
CLOUD112	CLOUD213	96.94297546	45.94459407	82.56464943	0.98347513	99.3
CLOUD190	CLOUD165	17.11103228	100	100	1	58.6
CLOUD203	CLOUD213	24.35133625	45.94459407	69.63283161	0.591078077	98.6
CLOUD114	CLOUD166	84.27757776	39.13122131	41.64408576	0.904299536	3.5
CLOUD114	CLOUD165	84.27757776	100	100	1	3.3
CLOUD103	CLOUD213	85.39038766	45.94459407	100	0.921027147	90.6
CLOUD083	CLOUD120	26.61512503	35.48998063	0	0.526594029	98.9
CLOUD083	CLOUD122	26.61512503	58.96658998	60.93082005	0.698876834	97
CLOUD250	CLOUD102	2.964857381	11.69030422	21.13824684	0.143085608	64.9
CLOUD215	CLOUD059	17.3356167	1.662962311	52.596552	0.187102942	98.3
CLOUD164	CLOUD207	36.73976992	0	55.37844652	0.367397699	97.8
CLOUD164	CLOUD203	36.73976992	24.35133625	84.18875988	0.521444813	97
CLOUD215	CLOUD053	17.3356167	99.99187369	100	0.999932824	1.9
CLOUD104	CLOUD222	98.44403556	0	100	0.984440356	4.8
CLOUD104	CLOUD229	98.44403556	0.294050343	100	0.984486109	1.8
CLOUD222	CLOUD234	0	26.35059193	100	0.263505919	92.4
CLOUD025	CLOUD199	2.150875492	100	100	1	96.9
CLOUD025	CLOUD190	2.150875492	17.11103228	37.60801138	0.188938708	99.1
CLOUD025	CLOUD193	2.150875492	96.73717693	98.42539747	0.968073562	97.1
CLOUD213	CLOUD243	45.94459407	84.97484141	100	0.918780895	98.3
CLOUD071	CLOUD213	11.44575694	45.94459407	77.50955626	0.521316444	99.4
CLOUD071	CLOUD215	11.44575694	17.3356167	68.57804807	0.267971811	98.3
CLOUD103	CLOUD199	85.39038766	100	100	1	87.5
CLOUD213	CLOUD164	45.94459407	36.73976992	74.33858268	0.658044258	97.8
CLOUD264	CLOUD199	36.36300704	100	100	1	96.8
CLOUD264	CLOUD196	36.36300704	71.74865513	84.09704843	0.820216937	59.6
CLOUD264	CLOUD190	36.36300704	17.11103228	100	0.472519534	99.3
CLOUD264	CLOUD229	36.36300704	0.294050343	57.75928705	0.365501318	99.3
CLOUD103	CLOUD025	85.39038766	2.150875492	100	0.857046222	90.8
CLOUD071	CLOUD229	11.44575694	0.294050343	16.22162668	0.11706151	99.3
CLOUD104	CLOUD057	98.44403556	100	95.92563474	1	1.9
CLOUD165	CLOUD104	100	98.44403556	100	1	2.3
CLOUD115	CLOUD190	99.78243983	17.11103228	100	0.998196666	95.6
CLOUD115	CLOUD193	99.78243983	96.73717693	100	0.999929014	82.9
CLOUD115	CLOUD196	99.78243983	71.74865513	100	0.999385363	59.6
CLOUD057	CLOUD250	100	2.964857381	100	1	4.7
CLOUD180	CLOUD215	94.77996018	17.3356167	99.05634201	0.956848863	98.3
CLOUD059	CLOUD088	1.662962311	0	10.05597895	0.016629623	98
CLOUD173	CLOUD180	26.96680805	94.77996018	100	0.961876383	97.3
CLOUD171	CLOUD256	0.32239215	0	0	0.003223921	97.7
CLOUD232	CLOUD203	50.0790699	24.35133625	0.503969952	0.622354834	95
CLOUD057	CLOUD112	100	96.94297546	100	1	4
CLOUD057	CLOUD115	100	99.78243983	100	1	4.6
CLOUD057	CLOUD114	100	84.27757776	100	1	2.9
CLOUD057	CLOUD117	100	99.94879672	100	1	2.4
CLOUD122	CLOUD088	58.96658998	0	63.8387678	0.5896659	97
CLOUD199	CLOUD229	100	0.294050343	100	1	96.9
CLOUD049	CLOUD143	0.017271008	89.25430294	100	0.892561588	3.3
CLOUD199	CLOUD222	100	0	100	1	91.2
CLOUD234	CLOUD171	26.35059193	0.32239215	53.81484286	0.265880318	97.7
CLOUD180	CLOUD059	94.77996018	1.662962311	99.6841965	0.948667675	99.5
CLOUD166	CLOUD164	39.13122131	36.73976992	40.57936087	0.614942706	97.9
CLOUD166	CLOUD169	39.13122131	52.14382245	100	0.708705292	98.1
CLOUD193	CLOUD199	96.73717693	100	100	1	95.1
CLOUD193	CLOUD196	96.73717693	71.74865513	100	0.990782086	59.6
CLOUD229	CLOUD173	0.294050343	26.96680805	0	0.271815624	97.3
CLOUD089	CLOUD143	80.21460332	89.25430294	100	0.978739212	13.9
CLOUD025	CLOUD031	2.150875492	36.39400064	32.22055115	0.377620865	98.5
CLOUD025	CLOUD114	2.150875492	84.27757776	91.97742717	0.846157475	3.5
CLOUD025	CLOUD117	2.150875492	99.94879672	100	0.99949898	2.9
CLOUD250	CLOUD203	2.964857381	24.35133625	41.88725996	0.265942112	97.8
CLOUD264	CLOUD113	36.36300704	0.202713617	0.820377279	0.364920079	89.8
CLOUD053	CLOUD104	99.99187369	98.44403556	100	0.999998736	1.8
CLOUD114	CLOUD203	84.27757776	24.35133625	100	0.881061977	4
CLOUD169	CLOUD222	52.14382245	0	59.86866959	0.521438225	92.1
CLOUD169	CLOUD229	52.14382245	0.294050343	3.23612518	0.522845437	99
CLOUD049	CLOUD190	0.017271008	17.11103228	42.42175755	0.17125348	99.3
CLOUD049	CLOUD199	0.017271008	100	100	1	96.8
CLOUD031	CLOUD102	36.39400064	11.69030422	34.28779202	0.438297355	64.4
CLOUD031	CLOUD103	36.39400064	85.39038766	100	0.907074101	79.7
CLOUD179	CLOUD213	98.65510327	45.94459407	92.66637285	0.992730106	98.9
CLOUD179	CLOUD215	98.65510327	17.3356167	100	0.988882494	98.3
CLOUD259	CLOUD193	96.22080761	96.73717693	98.72898729	0.998766916	91
CLOUD259	CLOUD229	96.22080761	0.294050343	97.85021102	0.962319203	97.9
CLOUD059	CLOUD243	1.662962311	84.97484141	97.00887803	0.852247041	98.3
CLOUD164	CLOUD120	36.73976992	35.48998063	31.24708618	0.591908133	97
CLOUD122	CLOUD209	58.96658998	99.87921859	100	0.999504393	2.4
CLOUD122	CLOUD203	58.96658998	24.35133625	34.89728367	0.689587736	97
CLOUD122	CLOUD207	58.96658998	0	48.04360608	0.5896659	97
CLOUD215	CLOUD264	17.3356167	36.36300704	20.32161565	0.473948722	98.3
CLOUD222	CLOUD088	0	0	0	0	90.1
CLOUD120	CLOUD256	35.48998063	0	0	0.354899806	98.8
CLOUD120	CLOUD259	35.48998063	96.22080761	100	0.975620423	96.7
CLOUD165	CLOUD180	100	94.77996018	100	1	58.6
CLOUD165	CLOUD184	100	0	100	1	43.2
CLOUD115	CLOUD112	99.78243983	96.94297546	100	0.999933491	92.6
CLOUD120	CLOUD203	35.48998063	24.35133625	14.6427397	0.511990324	98
CLOUD088	CLOUD179	0	98.65510327	100	0.986551033	98
CLOUD088	CLOUD171	0	0.32239215	0	0.003223921	97.7
CLOUD173	CLOUD103	26.96680805	85.39038766	0	0.893301338	90.3
CLOUD057	CLOUD190	100	17.11103228	100	1	4.9
CLOUD057	CLOUD193	100	96.73717693	98.22847234	1	4.3
CLOUD083	CLOUD232	26.61512503	50.0790699	98.19662595	0.633655879	95
CLOUD166	CLOUD250	39.13122131	2.964857381	0	0.409358938	98.1
CLOUD222	CLOUD122	0	58.96658998	56.89968035	0.5896659	92.3
CLOUD165	CLOUD229	100	0.294050343	96.19486071	1	58.6
CLOUD165	CLOUD222	100	0	100	1	49.9
CLOUD143	CLOUD215	89.25430294	17.3356167	36.21251474	0.911171358	4.7
CLOUD128	CLOUD102	10.62896364	11.69030422	30.37518713	0.210767097	63.8
CLOUD193	CLOUD117	96.73717693	99.94879672	100	0.999983293	2.4
CLOUD024	CLOUD232	98.72289447	50.0790699	100	0.99362457	1
CLOUD256	CLOUD180	0	94.77996018	100	0.947799602	99.6
CLOUD173	CLOUD071	26.96680805	11.44575694	41.75577824	0.353260097	97.3
CLOUD120	CLOUD025	35.48998063	2.150875492	95.4497693	0.368775108	98.9
CLOUD117	CLOUD143	99.94879672	89.25430294	100	0.999944979	2.4
CLOUD071	CLOUD169	11.44575694	52.14382245	91.11097288	0.576213242	99
CLOUD071	CLOUD164	11.44575694	36.73976992	10.79497492	0.439803821	97.5
CLOUD071	CLOUD165	11.44575694	100	33.02247438	1	51.8
CLOUD071	CLOUD166	11.44575694	39.13122131	0	0.460981138	98.1
CLOUD193	CLOUD256	96.73717693	0	100	0.967371769	95.7
CLOUD113	CLOUD071	0.202713617	11.44575694	0	0.116252685	88.1
CLOUD120	CLOUD232	35.48998063	50.0790699	100	0.677959983	95
CLOUD229	CLOUD234	0.294050343	26.35059193	0	0.265671583	98.5
CLOUD053	CLOUD180	99.99187369	94.77996018	100	0.999995758	1.9
CLOUD053	CLOUD188	99.99187369	1.596485175	100	0.999920034	1.9
CLOUD104	CLOUD122	98.44403556	58.96658998	98.6631736	0.993615347	1.7
CLOUD104	CLOUD120	98.44403556	35.48998063	100	0.98996247	1.8
CLOUD104	CLOUD129	98.44403556	100	100	1	1.7
CLOUD112	CLOUD102	96.94297546	11.69030422	100	0.973003509	62.6
CLOUD184	CLOUD264	0	36.36300704	36.47617677	0.36363007	90.3
CLOUD114	CLOUD120	84.27757776	35.48998063	92.84407114	0.898574624	3.5
CLOUD129	CLOUD166	100	39.13122131	99.70854096	1	96.1
CLOUD129	CLOUD164	100	36.73976992	100	1	95.3
CLOUD129	CLOUD165	100	100	100	1	53.9
CLOUD129	CLOUD169	100	52.14382245	96.70397849	1	96
CLOUD049	CLOUD117	0.017271008	99.94879672	100	0.999488056	2.5
CLOUD031	CLOUD184	36.39400064	0	6.328984916	0.363940006	84.2
CLOUD102	CLOUD059	11.69030422	1.662962311	33.64739618	0.131588612	68.9
CLOUD031	CLOUD188	36.39400064	1.596485175	39.03847863	0.37409461	98.6
CLOUD190	CLOUD259	17.11103228	96.22080761	99.95837037	0.968674664	97.9
CLOUD179	CLOUD059	98.65510327	1.662962311	100	0.986774684	98.9
CLOUD179	CLOUD057	98.65510327	100	100	1	4.9
CLOUD188	CLOUD122	1.596485175	58.96658998	43.3042584	0.596216823	97
CLOUD188	CLOUD129	1.596485175	100	89.93589435	1	96.1
CLOUD143	CLOUD188	89.25430294	1.596485175	100	0.894258564	4.7
CLOUD143	CLOUD180	89.25430294	94.77996018	100	0.994390703	4.7
CLOUD143	CLOUD184	89.25430294	0	0	0.892543029	12.2
CLOUD113	CLOUD207	0.202713617	0	83.97324017	0.002027136	91.2
CLOUD213	CLOUD250	45.94459407	2.964857381	53.1206923	0.475472598	99.3
CLOUD213	CLOUD259	45.94459407	96.22080761	98.60480183	0.979571422	97.8
CLOUD103	CLOUD184	85.39038766	0	100	0.853903877	66.5
CLOUD207	CLOUD173	0	26.96680805	0	0.26966808	97.3
CLOUD164	CLOUD049	36.73976992	0.017271008	51.56320101	0.367506956	97.3
CLOUD120	CLOUD193	35.48998063	96.73717693	100	0.978951522	94.8
CLOUD120	CLOUD196	35.48998063	71.74865513	58.13145599	0.81775052	59.6
CLOUD025	CLOUD207	2.150875492	0	0	0.021508755	99.1
CLOUD025	CLOUD203	2.150875492	24.35133625	50.14218923	0.259784448	98.6
CLOUD025	CLOUD209	2.150875492	99.87921859	100	0.998818164	2.4
CLOUD169	CLOUD184	52.14382245	0	100	0.521438225	91.4
CLOUD169	CLOUD180	52.14382245	94.77996018	98.22847234	0.975018885	99
CLOUD169	CLOUD188	52.14382245	1.596485175	92.55880941	0.529078392	98.9
CLOUD128	CLOUD180	10.62896364	94.77996018	96.63819855	0.953347963	93.6
CLOUD256	CLOUD102	0	11.69030422	14.89008041	0.116903042	65.3
CLOUD112	CLOUD264	96.94297546	36.36300704	100	0.980546015	99.3
CLOUD264	CLOUD025	36.36300704	2.150875492	35.02770417	0.377317595	99.1
CLOUD059	CLOUD122	1.662962311	58.96658998	53.12915456	0.596489601	97
CLOUD190	CLOUD193	17.11103228	96.73717693	100	0.972954796	97.3
CLOUD190	CLOUD199	17.11103228	100	100	1	96.9
