Cellline	Drug	Dose	Inhibition
UACC62	Bexarotene	2	124.82691
UACC62	Bexarotene	10	71.29943069
UACC62	Bortezomib	0.001	78.67201192
UACC62	Bortezomib	0.005	57.8185942
UACC62	cisplatin	1.6	53.64134986
UACC62	cisplatin	8	98.43401997
UACC62	CP690550	1	122.8448358
UACC62	CP690550	5	96.50012802
UACC62	Crizotinib/PF2341066	0.2	47.07217905
UACC62	Crizotinib/PF2341066	1	109.7713741
UACC62	dasatanib	0.004	130.1641909
UACC62	dasatanib	0.02	88.62461775
UACC62	decitabine	0.1	85.69556547
UACC62	decitabine	0.5	92.35894665
UACC62	Docetaxel	1e-04	561.8974277
UACC62	Docetaxel	5e-04	52.09702749
UACC62	erlotinib	0.8	36.15094318
UACC62	erlotinib	4	63.22887097
UACC62	etoposide	0.02	60.82555642
UACC62	etoposide	0.1	60.68243816
UACC62	everolimus	0.02	312.0448415
UACC62	everolimus	0.1	59.50489349
UACC62	fingolimod	2	76.33857844
UACC62	fingolimod	10	12.7424706
UACC62	fludarabine	0.2	170.9743747
UACC62	fludarabine	1	78.16221868
UACC62	gemcitabine	4e-04	70.79295781
UACC62	gemcitabine	0.002	77.37025675
UACC62	ruxolitinib	1	177.0458115
UACC62	ruxolitinib	5	97.00700091
UACC62	lapatinib	0.8	85.19370357
UACC62	lapatinib	4	59.89582463
UACC62	lenalidomide	1	164.8090814
UACC62	lenalidomide	5	78.2622916
UACC62	nilotinib	0.2	203.7595885
UACC62	nilotinib	1	82.83868523
UACC62	nilutamide	1	19.08290922
UACC62	nilutamide	5	95.06423721
UACC62	Pazopanib	0.4	171.565951
UACC62	Pazopanib	2	83.28542698
UACC62	pioglitazone	2	70.18653319
UACC62	pioglitazone	10	88.8621982
UACC62	PLX4720	0.08	185.8007431
UACC62	PLX4720	0.4	58.19244167
UACC62	sorafenib	0.4	69.70925964
UACC62	sorafenib	2	95.22007654
UACC62	stibogluconate	2	39.28359605
UACC62	stibogluconate	10	72.97327238
UACC62	sunitinib	0.4	182.9064178
UACC62	sunitinib	2	31.34883945
UACC62	temozolomide	2	116.7322677
UACC62	temozolomide	10	47.66002702
UACC62	vincristine	1e-04	65.52662713
UACC62	vincristine	5e-04	89.90583107
UACC62	vismodegib/GDC0449	1	219.6473417
UACC62	vismodegib/GDC0449	5	75.85620778
UACC62	vorinostat/SAHA	0.08	69.18805556
UACC62	vorinostat/SAHA	0.4	89.62277593
UACC62	AZD7762	0.02	45.17849941
UACC62	AZD7762	0.1	69.81330104
UACC62	CHIR265	0.08	72.13083257
UACC62	CHIR265	0.4	50.12314451
UACC62	IMD0354	0.016	108.0929697
UACC62	IMD0354	0.08	81.7746929
UACC62	Nutlin-3	0.1	148.4705749
UACC62	Nutlin-3	0.5	65.65933588
UACC62	OSU03012	1	165.4722732
UACC62	OSU03012	5	56.84131136
UACC62	PF04217903	1	152.0371832
UACC62	PF04217903	5	109.325449
UACC62	PF562271	0.08	97.86187067
UACC62	PF562271	0.4	90.69081807
UACC62	SNS-032	0.01	153.7434884
UACC62	SNS-032	0.05	70.27259907
UACC62	SNS314	8e-04	56.37239961
UACC62	SNS314	0.004	61.31873224
UACC62	ABT263	0.4	80.11229659
UACC62	ABT263	2	66.57636269
UACC62	bivanib/BI2536	0.001	69.43487452
UACC62	bivanib/BI2536	0.005	77.60327698
UACC62	CX4945	0.4	135.3228227
UACC62	CX4945	2	80.17710784
UACC62	Darinaparsin	0.4	47.97825703
UACC62	Darinaparsin	2	72.54071828
UACC62	ENMD2076	0.04	48.94741265
UACC62	ENMD2076	0.2	69.39758203
UACC62	EX527	2	139.266667
UACC62	EX527	10	68.62814155
UACC62	FK866	0.01	29.6021457
UACC62	FK866	0.05	109.496071
UACC62	Indole-3-carbinol	0.8	53.03501276
UACC62	Indole-3-carbinol	4	106.2155781
UACC62	Lestaurtinib	0.004	84.8961744
UACC62	Lestaurtinib	0.02	60.38775541
UACC62	MK1775	0.02	308.8137815
UACC62	MK1775	0.1	72.8384076
UACC62	MK2206	0.4	76.15541998
UACC62	MK2206	2	44.56280805
UACC62	NVP-BEZ235	0.004	111.0411762
UACC62	NVP-BEZ235	0.02	69.84578799
UACC62	RKI983	0.4	160.2954978
UACC62	RKI983	2	77.44363764
UACC62	selumetinib/AZD6244	0.015	319.2644441
UACC62	selumetinib/AZD6244	0.075	58.51335127
UACC62	Tideglusib/TZDZ-8	0.4	257.2290556
UACC62	Tideglusib/TZDZ-8	2	100.0325507
UACC62	Tozasertib/VX680	0.006	76.72812225
UACC62	Tozasertib/VX680	0.03	55.72945321
UACC62	Veliparib/ABT888	1.4	264.3788358
UACC62	Veliparib/ABT888	7	64.2570204
UACC62	VX702	0.4	62.70178301
UACC62	VX702	2	67.68967979
UACC62	XL147	0.8	123.0427965
UACC62	XL147	4	75.5095207
UACC62	YM155	4e-04	137.538184
UACC62	YM155	0.002	48.75081029
UACC62	cediranib/AZD2171	0.4	73.23063057
UACC62	cediranib/AZD2171	2	119.9100834
UACC62	Dovitinib/CHIR-258	0.1	119.2761729
UACC62	Dovitinib/CHIR-258	0.5	78.30558371
UACC62	Enzastaurin	0.8	181.3289924
UACC62	Enzastaurin	4	70.07202528
UACC62	Midostaurin/PKC412	0.08	93.35058585
UACC62	Midostaurin/PKC412	0.4	68.2663473
UACC62	OSI906	0.4	100.5051971
UACC62	OSI906	2	88.17591784
UACC62	palbociclib/PD332991	0.04	180.9603487
UACC62	palbociclib/PD332991	0.2	61.57067532
UACC62	Perifosine	0.4	167.4983865
UACC62	Perifosine	2	127.1544287
UACC62	STA4783	0.006	80.65068606
UACC62	STA4783	0.03	57.51123343
UACC62	Tamatinib/R406	0.4	44.93236113
UACC62	Tamatinib/R406	2	81.43577073
UACC62	Tanespimycin/17-AAG	0.002	169.6474712
UACC62	Tanespimycin/17-AAG	0.01	56.56602568
UACC62	tipifarnib	0.01	228.4566867
UACC62	tipifarnib	0.05	72.85729511
UACC62	vatalanib/PTK787	2	111.8715022
UACC62	vatalanib/PTK787	10	72.85835384
UACC62	A769662	2	103.660151
UACC62	A769662	10	98.81444204
UACC62	AS252424	1	87.20065059
UACC62	AS252424	5	73.32937807
UACC62	BI78D3	0.2	185.2527255
UACC62	BI78D3	1	80.8032751
UACC62	BID1870	0.2	59.92862189
UACC62	BID1870	1	82.67463377
UACC62	BMS536924	0.2	46.85050048
UACC62	BMS536924	1	110.7481996
UACC62	C75	1	145.6087516
UACC62	C75	5	78.88687501
UACC62	Dorsomorphin	0.4	165.5626934
UACC62	Dorsomorphin	2	84.55437573
UACC62	Embelin	1.2	15.34359926
UACC62	Embelin	6	88.62456728
UACC62	FH535	1	146.5212149
UACC62	FH535	5	70.18581618
UACC62	GSK0660	1	51.28354456
UACC62	GSK0660	5	80.90964594
UACC62	GSK650394	0.16	137.5256555
UACC62	GSK650394	0.8	94.65042519
UACC62	GW0742	2	61.44774333
UACC62	GW0742	10	74.50620867
UACC62	GW2580	1	92.168024
UACC62	GW2580	5	85.54876466
UACC62	GW441756	0.4	243.90196
UACC62	GW441756	2	115.1178205
UACC62	GW9662	2	76.96330913
UACC62	GW9662	10	75.22846101
UACC62	HIF-1i	2	44.6190859
UACC62	HIF-1i	10	84.20759949
UACC62	IPA3	0.8	65.86987298
UACC62	IPA3	4	87.52311382
UACC62	JNK5a	0.008	243.6605968
UACC62	JNK5a	0.04	104.7994172
UACC62	JZL184	1	133.8886945
UACC62	JZL184	5	84.83200647
UACC62	KU0063794	0.02	152.0145846
UACC62	KU0063794	0.1	88.22299069
UACC62	KU55933	1	260.6718944
UACC62	KU55933	5	78.8096537
UACC62	L779450	0.2	100.7233641
UACC62	L779450	1	43.91640261
UACC62	LFM-A13	2	143.9508903
UACC62	LFM-A13	10	84.76034758
UACC62	LSN415169	1	99.81602919
UACC62	LSN415169	5	93.15627921
UACC62	NVP-TAE684	0.08	100.0875089
UACC62	NVP-TAE684	0.4	75.42611969
UACC62	PD173074	0.1	94.70844844
UACC62	PD173074	0.5	76.83493687
UACC62	PIM-1 4a	2	148.6201627
UACC62	PIM-1 4a	10	123.9884047
UACC62	QS11	1	91.31297564
UACC62	QS11	5	51.75752696
UACC62	SrcI1	2	87.35001957
UACC62	SrcI1	10	74.43112249
UACC62	SU6656	0.4	118.4347404
UACC62	SU6656	2	77.95623846
UACC62	T0901317	1.4	61.29655596
UACC62	T0901317	7	82.71571593
UACC62	TCS401	1.666666667	126.1664429
UACC62	TCS401	8.333333333	88.13073086
UACC62	Tie2i	1	125.1293783
UACC62	Tie2i	5	90.96594925
UACC62	U73122	0.4	102.40842
UACC62	U73122	2	64.57345108
UACC62	vasastrol	0.4	63.66449764
UACC62	vasastrol	2	73.33533648
UACC62	Wnti	0.1	602.6858389
