Compound	DMSO only	DMSO+Cmpnd LFmax	TMZ only	TMZ+Cmpnd
Carbenoxolone Sodium	0.336	0.223	0.38	0.269
Glycyrrhizic Acid	0.336	0.352	0.38	0.265
Dutasteride	0.336	0.336	0.38	0.387
Finasteride	0.336	0.338	0.38	0.377
Risperidone 	0.336	0.059	0.38	0.315
Naratriptan 	0.336	0.147	0.38	0.374
Vortioxetine (Lu AA21004) HBr	0.336	0.196	0.38	0.422
Ketanserin 	0.336	0.157	0.38	0.356
Sumatriptan Succinate	0.336	0.276	0.38	0.467
SB742457	0.336	0.271	0.38	0.461
Aripiprazole	0.336	0.117	0.38	0.296
Atomoxetine HCl	0.336	0.212	0.38	0.378
Lorcaserin HCl	0.336	0.178	0.38	0.333
WAY-100635 Maleate	0.336	0.291	0.38	0.438
Sertraline HCl	0.336	0.220	0.38	0.361
Amitriptyline HCl 	0.336	0.241	0.38	0.367
VUF 10166	0.336	0.213	0.38	0.336
Urapidil HCl	0.336	0.254	0.38	0.374
Buspirone HCl	0.336	0.217	0.38	0.311
Eletriptan HBr 	0.336	0.238	0.38	0.330
BMY 7378	0.336	0.296	0.38	0.379
Flopropione	0.336	0.264	0.38	0.339
BRL-54443	0.336	0.292	0.38	0.361
Serotonin HCl	0.336	0.268	0.38	0.332
SB269970 HCl	0.336	0.325	0.38	0.380
Clozapine 	0.336	0.285	0.38	0.334
SB271046	0.336	0.262	0.38	0.310
PRX-08066 Maleic acid	0.336	0.245	0.38	0.292
Pizotifen Malate	0.336	0.333	0.38	0.380
BRL-15572	0.336	0.245	0.38	0.292
Prucalopride Succinate	0.336	0.276	0.38	0.309
Prucalopride	0.336	0.371	0.38	0.391
Agomelatine	0.336	0.365	0.38	0.385
Ondansetron HCl	0.336	0.335	0.38	0.355
Tropisetron	0.336	0.370	0.38	0.390
Mosapride Citrate	0.336	0.377	0.38	0.386
Clomipramine HCl 	0.336	0.271	0.38	0.277
Granisetron HCl	0.336	0.426	0.38	0.423
Rizatriptan Benzoate 	0.336	0.363	0.38	0.332
Zolmitriptan 	0.336	0.354	0.38	0.319
Almotriptan Malate	0.336	0.399	0.38	0.339
RS-127445	0.336	0.798	0.38	0.373
Iloperidone	0.336	0.315	0.38	0.362
Ziprasidone HCl	0.336	0.380	0.38	0.365
Procaine HCl	0.336	0.328	0.38	0.364
Asenapine	0.336	0.276	0.38	0.341
Olanzapine	0.336	0.284	0.38	0.388
Lamotrigine	0.336	0.347	0.38	0.389
Cyclandelate	0.336	0.201	0.38	0.357
Avasimibe	0.336	0.168	0.38	0.376
Enalapril Maleate	0.336	0.150	0.38	0.362
Ramipril 	0.336	0.194	0.38	0.316
Imidapril HCl	0.336	0.323	0.38	0.435
Quinapril HCl 	0.336	0.258	0.38	0.337
Captopril	0.336	0.302	0.38	0.367
Temocapril HCl 	0.336	0.326	0.38	0.382
Cilazapril Monohydrate 	0.336	0.329	0.38	0.378
Benazepril HCl	0.336	0.310	0.38	0.317
Enalaprilat Dihydrate	0.336	0.354	0.38	0.354
Moexipril HCl	0.336	0.357	0.38	0.280
Nicotine Ditartrate	0.336	0.163	0.38	0.438
PNU-120596	0.336	0.283	0.38	0.541
Arecoline	0.336	0.170	0.38	0.410
Catharanthine	0.336	0.138	0.38	0.371
Aceclidine HCl	0.336	0.260	0.38	0.474
5-hydroxymethyl Tolterodine (PNU 200577, 5-HMT, 5-HM)	0.336	0.168	0.38	0.374
Ipratropium Bromide	0.336	0.161	0.38	0.351
Dicyclomine HCl	0.336	0.170	0.38	0.360
Pilocarpine HCl	0.336	0.220	0.38	0.406
Acetylcholine Chloride	0.336	0.181	0.38	0.356
Decamethonium Bromide	0.336	0.170	0.38	0.331
Adiphenine HCl	0.336	0.168	0.38	0.322
Atracurium Besylate	0.336	0.218	0.38	0.362
Fesoterodine Fumarate 	0.336	0.216	0.38	0.354
Mepenzolate Bromide 	0.336	0.214	0.38	0.348
Bethanechol chloride	0.336	0.217	0.38	0.351
Procyclidine HCl 	0.336	0.244	0.38	0.374
Rivastigmine Tartrate	0.336	0.216	0.38	0.342
Gallamine Triethiodide 	0.336	0.298	0.38	0.418
Irsogladine	0.336	0.176	0.38	0.290
Diphemanil Methylsulfate	0.336	0.268	0.38	0.374
Solifenacin succinate	0.336	0.212	0.38	0.312
