expt_no	cell_line	inhibition_calc_method	first_agent	conc_first_agent	first_agent_inhibition	first_agent_stddev	second_agent	conc_second_agent	second_agent_inhibition	second_agent_stddev	combo_observed	combo_stddev	bliss	observed_bliss_diff
97	HPAF-II	28	Crizotinib	2.5			0.1% DMSO				1.49	5.4832		
97	HPAF-II	28	BMS-754807	0.0006			0.1% DMSO				-5.87	2.1132		
97	HPAF-II	28	Bosutinib	0.01			0.1% DMSO				-11.33	2.1527		
97	HPAF-II	28	JNK inhibitor II	0.04			0.1% DMSO				-10.86	3.1494		
97	HPAF-II	28	Ritonavir	0.16			0.1% DMSO				-4.16	1.7888		
97	HPAF-II	28	BX 513	1.25			0.1% DMSO				4.09	1.636		
97	HPAF-II	28	Enzastaurin	0.001			0.1% DMSO				-4.19	2.3045		
97	HPAF-II	28	Docetaxel	0.3			0.1% DMSO				35.49	2.4843		
97	HPAF-II	28	CMPD-1	0.002			0.1% DMSO				-5.09	2.545		
97	HPAF-II	28	BI-2536	0.0003			0.1% DMSO				-7.06	3.1064		
97	HPAF-II	28	Bosutinib	0.02			0.1% DMSO				-5.37	4.0275		
97	HPAF-II	28	Etoposide	0.01			0.1% DMSO				-7.01	3.2947		
97	HPAF-II	28	R428	0.04			0.1% DMSO				-9.78	3.6186		
97	HPAF-II	28	Temsirolimus	0.001			0.1% DMSO				-1.82	3.4944		
97	HPAF-II	28	BX 513	0.04			0.1% DMSO				2.18	1.0246		
97	HPAF-II	28	Syk Inhibitor	2.5			0.1% DMSO				-5.99	3.8336		
97	HPAF-II	28	Vinorelbine	0.0003			0.1% DMSO				-0.87	3.5235		
97	HPAF-II	28	Vemurafenib	0.001			0.1% DMSO				-6.37	4.6501		
97	HPAF-II	28	Embelin	0.005			0.1% DMSO				-5.8	3.248		
97	HPAF-II	28	BIBW-2992	0.08			0.1% DMSO				1.3	4.095		
97	HPAF-II	28	BRD-7389	0.001			0.1% DMSO				-2.88	1.1232		
97	HPAF-II	28	XAV 939	0.02			0.1% DMSO				-2.35	1.2455		
97	HPAF-II	28	Ritonavir	0.0003			0.1% DMSO				-4.57	3.8388		
97	HPAF-II	28	BRD-7389	0.08			0.1% DMSO				-0.75	1.5525		
97	HPAF-II	28	AZD-4547	0.3			0.1% DMSO				-7.72	5.5584		
97	HPAF-II	28	Stattic	0.0003			0.1% DMSO				-3.96	0.8316		
97	HPAF-II	28	BMS-754807	0.3			0.1% DMSO				7.98	0.6384		
97	HPAF-II	28	Gefitinib	0.01			0.1% DMSO				-7.08	4.1064		
97	HPAF-II	28	Paclitaxel	0.16			0.1% DMSO				31.09	2.1763		
97	HPAF-II	28	JNK inhibitor II	1.25			0.1% DMSO				7.28	3.0576		
97	HPAF-II	28	Erlotinib	0.3			0.1% DMSO				-3.73	0.8579		
97	HPAF-II	28	Triptolide	0.0003			0.1% DMSO				-4.01	2.9674		
97	HPAF-II	28	Tivantinib	0.0006			0.1% DMSO				-4.44	1.7316		
97	HPAF-II	28	Stattic	0.63			0.1% DMSO				-9.62	3.5594		
97	HPAF-II	28	Pemetrexed	0.001			0.1% DMSO				3.93	3.0261		
97	HPAF-II	28	AZD-7762	0.3			0.1% DMSO				6.49	0.9735		
97	HPAF-II	28	Hydroxychloroquine	1.25			0.1% DMSO				4.21	2.105		
97	HPAF-II	28	Rosiglitazone	5			0.1% DMSO				7.61	1.4459		
97	HPAF-II	28	JK 184	2.5			0.1% DMSO				58.55	4.0985		
97	HPAF-II	28	Dovitinib	0.0006			0.1% DMSO				5.95	4.4625		
97	HPAF-II	28	Etoposide	0.0003			0.1% DMSO				-1.51	5.8437		
97	HPAF-II	28	Piperlongumine	0.08			0.1% DMSO				-2.04	3.672		
97	HPAF-II	28	BX 513	0.0003			0.1% DMSO				3.97	4.2082		
97	HPAF-II	28	NVP-LDE225	0.02			0.1% DMSO				-7.24	3.9096		
97	HPAF-II	28	Sorafenib	10			0.1% DMSO				71.42	8.5704		
97	HPAF-II	28	BMS-754807	0.01			0.1% DMSO				-2.7	3.996		
97	HPAF-II	28	Obatoclax	10			0.1% DMSO				52.45	2.098		
97	HPAF-II	28	Syk Inhibitor	0.01			0.1% DMSO				-1.49	0.7748		
97	HPAF-II	28	NVP-231	10			0.1% DMSO				14.89	1.9357		
97	HPAF-II	28	CMPD-1	0.001			0.1% DMSO				-2.66	1.5694		
97	HPAF-II	28	Etoposide	1.25			0.1% DMSO				1.42	2.6838		
97	HPAF-II	28	PHA 665752	5			0.1% DMSO				4.43	2.658		
97	HPAF-II	28	PHA 665752	0.002			0.1% DMSO				-5.79	3.5898		
97	HPAF-II	28	Piperlongumine	0.01			0.1% DMSO				-4.15	1.3695		
97	HPAF-II	28	Lovastatin	0.0006			0.1% DMSO				-0.87	4.2369		
97	HPAF-II	28	Piperlongumine	0.002			0.1% DMSO				-5.1	2.448		
97	HPAF-II	28	Simvastatin	0.16			0.1% DMSO				-5.16	4.902		
97	HPAF-II	28	AR-A014418	0.16			0.1% DMSO				-8.34	4.9206		
97	HPAF-II	28	NVP-LDE225	5			0.1% DMSO				16.55	1.8205		
97	HPAF-II	28	BRD-7389	5			0.1% DMSO				35.81	2.8648		
97	HPAF-II	28	Tozasertib	1.25			0.1% DMSO				-6.12	10.9548		
97	HPAF-II	28	BI-2536	0.0002			0.1% DMSO				-5.34	1.1214		
97	HPAF-II	28	Gefitinib	5			0.1% DMSO				10.6	2.544		
97	HPAF-II	28	PD173074	0.16			0.1% DMSO				-4.87	3.0681		
97	HPAF-II	28	CMPD-1	0.3			0.1% DMSO				-2.02	5.454		
97	HPAF-II	28	Triptolide	0.01			0.1% DMSO				14.65	0.7325		
97	HPAF-II	28	JK 184	0.63			0.1% DMSO				18.11	2.3543		
97	HPAF-II	28	Sunitinib	0.04			0.1% DMSO				-9.03	5.3277		
97	HPAF-II	28	Gemcitabine	0.0006			0.1% DMSO				-5.64	0.6768		
97	HPAF-II	28	Sorafenib	0.01			0.1% DMSO				-9.45	1.9845		
97	HPAF-II	28	Syk Inhibitor	0.02			0.1% DMSO				-6.98	3.49		
97	HPAF-II	28	PHA 665752	1.25			0.1% DMSO				-9.33	4.8516		
97	HPAF-II	28	Curcumin	0.001			0.1% DMSO				-2.78	0.417		
97	HPAF-II	28	Homoharringtonine	0.08			0.1% DMSO				3.1	4.681		
97	HPAF-II	28	Mitomycin C	1.25			0.1% DMSO				7.25	2.32		
97	HPAF-II	28	Vorinostat	1.25			0.1% DMSO				-6.09	5.481		
97	HPAF-II	28	Paclitaxel	5			0.1% DMSO				37.32	1.1196		
97	HPAF-II	28	Dovitinib	0.04			0.1% DMSO				7.27	4.6528		
97	HPAF-II	28	Nelfinavir	0.3			0.1% DMSO				-8.57	3.8565		
97	HPAF-II	28	Carboplatin	0.0003			0.1% DMSO				-4.96	2.6288		
