expt_no	Cell_line	first_agent	conc_first_agent (uM)	first_agent_inhibition (%)	first_agent_stddev	second_agent	conc_second_agent (uM)	second_agent_inhibition (%)	second_agent_stddev	combo_observed Inhibition (%)	combo_stddev	bliss (%)	observed_bliss_diff
187	MDA-MB-231	Paclitaxel	0.003	17.02	13.2756	Digoxin	0.16	22.11	23.4366	90.28	1.8056	35.37	54.91
187	MDA-MB-231	Paclitaxel	0.003	17.02	13.2756	Trifluoperazine	10	13.54	28.7048	79.62	30.2556	28.26	51.36
187	MDA-MB-231	Vismodegib	10	3.3	16.203	5-nonyloxytryptamine oxalate	10	29.21	0.5842	79.89	3.9945	33.3	46.59
187	MDA-MB-231	Vismodegib	10	5.78	13.005	5-nonyloxytryptamine oxalate	10	29.21	0.5842	79.89	3.9945	33.3	46.59
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	Sorafenib	1.25	-4.72	11.8944	50.37	42.3108	7.26	43.11
187	MDA-MB-231	Paclitaxel	0.003	17.02	13.2756	Rapamycin	0.02	1.73	16.089	59.7		18.46	41.24
187	MDA-MB-231	Paclitaxel	0.003	17.02	13.2756	ABT-263	1.25	29.69	2.969	82.5	11.55	41.66	40.84
187	MDA-MB-231	XL-184	3	17.43	13.7697	Lapatinib	10	25.61	6.4025	76.81	3.0724	38.58	38.23
187	MDA-MB-231	Paclitaxel	0.003	17.02	13.2756	2-deoxy-D-glucose	1000	3.53	6.9894	55.7	13.368	19.95	35.75
187	MDA-MB-231	Paclitaxel	0.003	17.02	13.2756	Temsirolimus	10	-1.82	9.9554	50.25	15.5775	15.51	34.74
187	MDA-MB-231	Everolimus	0.03	5.46	11.7936	5-nonyloxytryptamine oxalate	10	29.21	0.5842	66.9	15.387	33.08	33.82
187	MDA-MB-231	Vismodegib	10	5.78	13.005	PD173074	0.002	-14.9	29.949	25.31	2.531	-8.26	33.57
187	MDA-MB-231	Vismodegib	10	3.3	16.203	PD173074	0.002	-14.9	29.949	25.31	2.531	-8.26	33.57
187	MDA-MB-231	XL-184	3	17.43	13.7697	GANT61	0.02	0.14	10.4048	50.84	49.3148	17.55	33.29
187	MDA-MB-231	Vismodegib	10	5.78	13.005	Bosutinib	10	30.33	2.7297	67.55	6.0795	34.36	33.19
187	MDA-MB-231	Vismodegib	10	3.3	16.203	Bosutinib	10	30.33	2.7297	67.55	6.0795	34.36	33.19
187	MDA-MB-231	Crizotinib	1	34.56	10.368	5-nonyloxytryptamine oxalate	10	29.21	0.5842	85.96	7.7364	53.68	32.28
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	WZ4002	10	-17.76	27.1728	27.02	8.9166	-4.29	31.31
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	Temsirolimus	10	-1.82	9.9554	40.59	7.3062	9.83	30.76
187	MDA-MB-231	Vismodegib	10	3.3	16.203	GSK690693	10	-15	15.3	22.15	16.6125	-8.35	30.5
187	MDA-MB-231	Vismodegib	10	5.78	13.005	GSK690693	10	-15	15.3	22.15	16.6125	-8.35	30.5
187	MDA-MB-231	XL-184	3	17.43	13.7697	Verapamil	0.02	-14.96	25.432	35.31	15.8895	5.08	30.23
187	MDA-MB-231	Vismodegib	10	5.78	13.005	NVP-LDE225	0.02	-18.02	18.2002	18.18	1.4544	-11.2	29.38
187	MDA-MB-231	Vismodegib	10	3.3	16.203	NVP-LDE225	0.02	-18.02	18.2002	18.18	1.4544	-11.2	29.38
187	MDA-MB-231	Crizotinib	1	34.56	10.368	Lapatinib	10	25.61	6.4025	80.41	1.6082	51.32	29.09
187	MDA-MB-231	Crizotinib	1	34.56	10.368	Cerulenin	0.02	-6.75	30.8475	59.18	4.1426	30.14	29.04
187	MDA-MB-231	Erlotinib	3	11.44	11.0968	PD173074	0.002	-14.9	29.949	26.79	5.8938	-1.76	28.55
187	MDA-MB-231	Everolimus	0.03	5.46	11.7936	MLN-8237	1.25	11.45	9.7325	44.55	8.4645	16.28	28.27
187	MDA-MB-231	XL-184	3	17.43	13.7697	GGTI-298	10	16.91	9.1314	59.41	2.3764	31.39	28.02
187	MDA-MB-231	Vismodegib	10	5.78	13.005	CMPD-1	1.25	17.61	5.1069	50.27	10.054	22.37	27.9
187	MDA-MB-231	Vismodegib	10	3.3	16.203	CMPD-1	1.25	17.61	5.1069	50.27	10.054	22.37	27.9
187	MDA-MB-231	Everolimus	0.03	5.46	11.7936	Digoxin	0.16	22.11	23.4366	54.17	13.0008	26.36	27.81
