expt_no	Cell_line	first_agent	conc_first_agent (uM)	first_agent_inhibition (%)	first_agent_stddev	second_agent	conc_second_agent (uM)	second_agent_inhibition (%)	second_agent_stddev	combo_observed Inhibition (%)	combo_stddev	bliss (%)	observed_bliss_diff
187	MDA-MB-231	BRD-7389	0.002	-3.01	5.3277	0.1% DMSO				-3.01	5.3277		
187	MDA-MB-231	Obatoclax	10	84.38	2.5314	0.1% DMSO				84.38	2.5314		
187	MDA-MB-231	Simvastatin	0.04	14.73	13.5516	0.1% DMSO				14.73	13.5516		
187	MDA-MB-231	Vemurafenib	0.02	-0.44	1.2188	0.1% DMSO				-0.44	1.2188		
187	MDA-MB-231	Verapamil	0.002	3.13	4.7263	0.1% DMSO				3.13	4.7263		
187	MDA-MB-231	Sunitinib	1.25	-14.49	5.0715	0.1% DMSO				-14.49	5.0715		
187	MDA-MB-231	Erlotinib	10	23.72	10.1996	0.1% DMSO				23.72	10.1996		
187	MDA-MB-231	Dapagliflozin	0.002	1.67	7.8657	0.1% DMSO				1.67	7.8657		
187	MDA-MB-231	Dactinomycin	10	91.09	0.9109	0.1% DMSO				91.09	0.9109		
187	MDA-MB-231	GSK690693	10	-15	15.3	0.1% DMSO				-15	15.3		
187	MDA-MB-231	MS-275	0.16	9.05	8.2355	0.1% DMSO				9.05	8.2355		
187	MDA-MB-231	MK-1775	0.02	-4.17	10.4667	0.1% DMSO				-4.17	10.4667		
187	MDA-MB-231	Syk Inhibitor	0.02	4.05	32.238	0.1% DMSO				4.05	32.238		
187	MDA-MB-231	Embelin	0.16	16.48	5.9328	0.1% DMSO				16.48	5.9328		
187	MDA-MB-231	I-BET	0.02	-2.9	12.325	0.1% DMSO				-2.9	12.325		
187	MDA-MB-231	Vorinostat	1.25	23.81	15.7146	0.1% DMSO				23.81	15.7146		
187	MDA-MB-231	ABT-263	0.002	0.08	17.4816	0.1% DMSO				0.08	17.4816		
187	MDA-MB-231	MLN-8237	10	31.28	4.692	0.1% DMSO				31.28	4.692		
187	MDA-MB-231	Bay-11-7082	0.16	-7.76	11.0968	0.1% DMSO				-7.76	11.0968		
187	MDA-MB-231	Dovitinib	0.002	1.83	19.4712	0.1% DMSO				1.83	19.4712		
187	MDA-MB-231	STA-4783	10	76.63	23.7553	0.1% DMSO				76.63	23.7553		
187	MDA-MB-231	BI-2536	0.63	3.33	13.6863	0.1% DMSO				3.33	13.6863		
187	MDA-MB-231	PD173074	10	4.41	13.9356	0.1% DMSO				4.41	13.9356		
187	MDA-MB-231	Atorvastatin	0.02	-6.32	13.7144	0.1% DMSO				-6.32	13.7144		
187	MDA-MB-231	ABT-263	0.02	-11.33	14.8423	0.1% DMSO				-11.33	14.8423		
187	MDA-MB-231	AR-A014418	1.25	9.96	15.8364	0.1% DMSO				9.96	15.8364		
187	MDA-MB-231	Thioridazine	0.16	5.77	8.1934	0.1% DMSO				5.77	8.1934		
187	MDA-MB-231	Thioridazine	0.02	19.79	21.1753	0.1% DMSO				19.79	21.1753		
187	MDA-MB-231	BMS-754807	1.25	20	17.6	0.1% DMSO				20	17.6		
187	MDA-MB-231	Imatinib	0.002	-17.33	7.6252	0.1% DMSO				-17.33	7.6252		
