name	standard	id
MK-8776	"6-Bromo-3-(1-methylpyrazol.."	1
AZD1775	Adavosertib	2
Allopurinol	Allopurinol	3
Altretamine	Altretamine	4
Amifostine	Amifostine	5
Aminolevulinic_acid_hydrochloride	Aminolevulinic Acid	6
Anastrozole	Anastrozole	7
Azacitidine	Azacitidine	8
bendamustine_hydrochloride	Bendamustine	9
Bleomycin_sulfate	Bleomycin	10
Bortezomib	Bortezomib	11
Busulfan	Busulfan	12
Capecitabine	Capecitabine	13
Carboplatin	Carboplatin	14
Carmustine	Carmustine	15
Celecoxib	Celecoxib	16
Chlorambucil	Chlorambucil	17
Cladribine	Cladribine	18
Clofarabine	Clofarabine	19
Cyclophosphamide	Cyclophosphamide	20
Cytarabine_hydrochloride	Cytarabine	21
Dacarbazine	Dacarbazine	22
Dactinomycin	Dactinomycin	23
Dasatinib	Dasatinib	24
Daunorubicin_hydrochloride	Daunorubicin	25
Decitabine	Decitabine	26
Dexamethasone	Dexamethasone	27
Dexrazoxane	Dexrazoxane	28
Cisplatin	Diamminedichloroplatinum	29
Arsenic_trioxide	Diarsenic Trioxide	30
Dinaciclib	Dinaciclib	31
Docetaxel	Docetaxel	32
Doxorubicin_hydrochloride	Doxorubicin	33
Doxorubicin	Doxorubicin	33
Erlotinib_hydrochloride	Erlotinib	34
Erlotinib	Erlotinib	34
Estramustine_phosphate_sodium	Estramustine Phospha..	35
Etoposide	Etoposide	36
Everolimus	Everolimus	37
Exemestane	Exemestane	38
Floxuridine	Floxuridine	39
2-Fluoro_Ara-A	Fludarabine	40
Fluorouracil	Fluorouracil	41
5-FU	Fluorouracil	41
Fulvestrant	Fulvestrant	42
Gefitinib	Gefitinib	43
geldanamycin	Geldanamycin	44
Gemcitabine_hydrochloride	Gemcitabine	45
Gemcitabine	Gemcitabine	45
Hydroxyurea	Hydroxyurea	46
Ifosfamide	Ifosfamide	47
Imatinib_mesylate	Imatinib	48
Imiquimod	Imiquimod	49
BEZ-235	Iroxanadine	50
Ixabepilone	Ixabepilone	51
Lapatinib_ditosylate	Lapatinib	52
Lapatinib	Lapatinib	52
MK-5108	LCVIRAZGMYMNNT-UHFFFAOYSA-N	53
Lenalidomide	Lenalidomide	54
Letrozole	Letrozole	55
Lomustine	Lomustine	56
Mechlorethamine_hydrochloride	Mechlorethamine	57
Megestrol_acetate	Megestrol Acetate	58
Melphalan	Melphalan	59
Quinacrine_hydrochloride	Mepacrine	60
Mercaptopurine	Mercaptopurine	61
Metformin	Metformin	62
Methotrexate	Methotrexate	63
Methoxsalen	Methoxsalen	64
Mitomycin	Mitomycin	65
Mitomycine	Mitomycin	65
Mitotane	Mitotane	66
Mitoxantrone	Mitoxantrone	67
MK-2206	MK-2206 Free base	68
PD325901	"N-[(2R)-2,3-Dihydroxypropoxy.."	69
Nelarabine	Nelarabine	70
Nilotinib	Nilotinib	71
MK-4827	Niraparib	72
MRK-003	NKHUILHBYOOZDF-NCOIWELASA-N	73
MK-4541	OGBFNZPDLOPGEO-OCWMMRLVSA-N	74
Oxaliplatin	Oxaliplatino	75
Paclitaxel	Paclitaxel	76
Pemetrexed_Disodium	Pemetrexed	77
Pentostatin	Pentostatin	78
Pipobroman	Pipobroman	79
Plicamycin	Plicamycin	80
pralatrexate	Pralatrexate	81
Procarbazine_hydrochloride	Procarbazine	82
Raloxifene_hydrochloride	Raloxifene	83
MK-8669	Ridaforolimus	84
Romidepsin	Romidepsin	85
Sirolimus	Sirolimus	86
7-Ethyl-10-hydroxycamptothecin	SN 38 Lactone	87
SN-38	SN 38 Lactone	87
Sorafenib_tosylate	Sorafenib	88
Sorafenib	Sorafenib	88
Streptozocin	Streptozocin	89
Sunitinib	Sunitinib	90
Tamoxifen_citrate	Tamoxifen	91
Temozolomide	Temozolomide	92
Teniposide	Teniposide	93
Thalidomide	Thalidomide	94
Thioguanine	Thioguanine	95
Thiotepa	Thiotepa	96
Topotecan_hydrochloride	Topotecan	97
Topotecan	Topotecan	97
Tretinoin	Tretinoin	98
Triethylenemelamine	Triethylenemelamine	99
Uracil_mustard	Uracil Mustard	100
Valrubicin	Valrubicin	101
ABT-888	Veliparib	102
Vinblastine_sulfate	Vinblastine	103
Vinblastine	Vinblastine	103
Vincristine_sulfate	Vincristine	104
Vinorelbine_tartrate	Vinorelbine	105
Vinorelbine	Vinorelbine	105
Vorinostat	Vorinostat	106
Zolinza	Vorinostat	106
L778123	YNBSQYGTJLIPJS-UHFFFAOYSA-N	107
Zoledronic_acid	Zoledronic Acid	108
