name	standard	id
MK-8776	6-Bromo-3-(1-methylpyrazol..	1
AZD1775	Adavosertib	2
Allopurinol	Allopurinol	3
Altretamine	Altretamine	4
Amifostine	Amifostine	5
Aminolevulinic_acid_hydrochloride	Aminolevulinic Acid	6
Anastrozole	Anastrozole	7
Azacitidine	Azacitidine	8
bendamustine_hydrochloride	Bendamustine	9
Bleomycin_sulfate	Bleomycin	10
Bortezomib	Bortezomib	11
Busulfan	Busulfan	12
Capecitabine	Capecitabine	13
Carboplatin	Carboplatin	14
Carmustine	Carmustine	15
Celecoxib	Celecoxib	16
Chlorambucil	Chlorambucil	17
Cladribine	Cladribine	18
Clofarabine	Clofarabine	19
Cyclophosphamide	Cyclophosphamide	20
Cytarabine_hydrochloride	Cytarabine	21
Dacarbazine	Dacarbazine	22
Dactinomycin	Dactinomycin	23
Dasatinib	Dasatinib	24
Daunorubicin_hydrochloride	Daunorubicin	25
Decitabine	Decitabine	26
Dexamethasone	Dexamethasone	27
Dexrazoxane	Dexrazoxane	28
Cisplatin	Diamminedichloroplatinum	29
Arsenic_trioxide	Diarsenic Trioxide	30
Dinaciclib	Dinaciclib	31
Docetaxel	Docetaxel	32
Doxorubicin_hydrochloride	Doxorubicin	33
Doxorubicin	Doxorubicin	33
Erlotinib_hydrochloride	Erlotinib	34
Erlotinib	Erlotinib	34
Estramustine_phosphate_sodium	Estramustine Phosphate Sodium	35
Etoposide	Etoposide	36
Everolimus	Everolimus	37
Exemestane	Exemestane	38
Floxuridine	Floxuridine	39
2-Fluoro_Ara-A	Fludarabine	40
Fluorouracil	Fluorouracil	41
5-FU	Fluorouracil	41
Fulvestrant	Fulvestrant	42
Gefitinib	Gefitinib	43
geldanamycin	Geldanamycin	44
Gemcitabine_hydrochloride	Gemcitabine	45
Gemcitabine	Gemcitabine	45
Hydroxyurea	Hydroxyurea	46
Ifosfamide	Ifosfamide	47
Imatinib_mesylate	Imatinib	48
Imiquimod	Imiquimod	49
BEZ-235	Iroxanadine	50
Ixabepilone	Ixabepilone	51
Lapatinib_ditosylate	Lapatinib	52
Lapatinib	Lapatinib	52
MK-5108	LCVIRAZGMYMNNT-UHFFFAOYSA-N	53
Lenalidomide	Lenalidomide	54
Letrozole	Letrozole	55
Lomustine	Lomustine	56
Mechlorethamine_hydrochloride	Mechlorethamine	57
Megestrol_acetate	Megestrol Acetate	58
Melphalan	Melphalan	59
Quinacrine_hydrochloride	Mepacrine	60
Mercaptopurine	Mercaptopurine	61
Metformin	Metformin	62
Methotrexate	Methotrexate	63
Methoxsalen	Methoxsalen	64
Mitomycin	Mitomycin	65
Mitomycine	Mitomycin	65
Mitotane	Mitotane	66
Mitoxantrone	Mitoxantrone	67
MK-2206	MK-2206 Free base	68
