nci_id	synergy_id
740	63
750	12
752	95
755	61
762	57
1390	3
3053	23
3088	17
6396	96
8806	59
9706	99
13875	4
14229	60
18509	6
19893	41
24559	80
25154	79
26271	20
26980	65
27640	39
32065	46
34462	100
38721	66
45388	22
45923	64
49842	103
63878	21
66847	94
67574	104
71423	58
77213	82
79037	56
82151	25
85998	89
92859	30
102816	8
105014	18
109724	47
118218	40
119875	29
122758	98
122819	93
123127	33
125066	10
125973	76
127716	26
138783	9
141540	36
169780	28
180973	91
218321	78
226080	86
241240	14
246131	101
256439	2016
256942	2019
266046	75
279836	67
296961	5
362856	92
369100	49
409962	15
606869	19
608210	105
609699	97
613327	45
628503	32
673596	87
681239	11
686673	70
698037	77
701852	106
702294	35
707389	2017
712807	13
713563	38
715055	43
718781	34
719276	42
719344	7
719345	55
719627	16
721517	108
732517	24
733504	37
737754	286
743414	48
745750	52
747599	71
747971	88
747972	54
747973	51
747974	83
749226	2018
750690	90
753082	252
754143	85
754230	81
755986	254
756645	168
757441	545
760766	135
761431	252
761432	680
763371	343
