name	drugA	drugB	concA	concB	experiments
47	37	332	0	0	0.9
47	37	332	0	0.3	0.9
47	37	332	0	1	0.95
47	37	332	0	3	0.9
47	37	332	0	10	0.81
47	37	332	0	30	0.59
47	37	332	0	100	0.39
47	37	332	0	300	0.29
47	37	332	0.1	0	0.99
47	37	332	0.1	0.3	0.93
47	37	332	0.1	1	0.93
47	37	332	0.1	3	0.84
47	37	332	0.1	10	0.73
47	37	332	0.1	30	0.48
47	37	332	0.1	100	0.33
47	37	332	0.1	300	0.3
47	37	332	0.3	0	0.8
47	37	332	0.3	0.3	0.86
47	37	332	0.3	1	0.83
47	37	332	0.3	3	0.75
47	37	332	0.3	10	0.58
47	37	332	0.3	30	0.44
47	37	332	0.3	100	0.31
47	37	332	0.3	300	0.31
47	37	332	1	0	0.78
47	37	332	1	0.3	0.8
47	37	332	1	1	0.81
47	37	332	1	3	0.63
47	37	332	1	10	0.45
47	37	332	1	30	0.32
47	37	332	1	100	0.3
47	37	332	1	300	0.31
47	37	332	3	0	0.78
47	37	332	3	0.3	0.79
47	37	332	3	1	0.68
47	37	332	3	3	0.56
47	37	332	3	10	0.4
47	37	332	3	30	0.32
47	37	332	3	100	0.27
47	37	332	3	300	0.27
47	37	332	10	0	0.76
47	37	332	10	0.3	0.76
47	37	332	10	1	0.7
47	37	332	10	3	0.53
47	37	332	10	10	0.38
47	37	332	10	30	0.3
47	37	332	10	100	0.26
47	37	332	10	300	0.28
47	37	332	30	0	0.74
47	37	332	30	0.3	0.73
47	37	332	30	1	0.66
47	37	332	30	3	0.51
47	37	332	30	10	0.38
47	37	332	30	30	0.28
47	37	332	30	100	0.28
47	37	332	30	300	0.3
47	37	332	100	0	0.7
47	37	332	100	0.3	0.71
47	37	332	100	1	0.67
47	37	332	100	3	0.48
47	37	332	100	10	0.4
47	37	332	100	30	0.31
47	37	332	100	100	0.27
47	37	332	100	300	0.27
47	131	332	0	0	0.9677426529
47	131	332	0	0.3	0.9483037276
47	131	332	0	1	0.9166765517
47	131	332	0	3	0.8295350079
47	131	332	0	10	0.7647682453
47	131	332	0	30	0.5190015124
47	131	332	0	100	0.3938272886
47	131	332	0	300	0.35881943
47	131	332	0.03	0	1.046521455
47	131	332	0.03	0.3	1.064848314
47	131	332	0.03	1	1.041316983
47	131	332	0.03	3	0.932245485
47	131	332	0.03	10	0.7917692239
