name	drugA	drugB	concA	concB	hsa
197	164	2015	0	0	0
197	164	2015	0	1e-07	0
197	164	2015	0	2.5e-07	0
197	164	2015	0	5e-07	0
197	164	2015	0	1e-06	0
197	164	2015	0	2e-06	0
197	164	2015	0	4e-06	0
197	164	2015	0	6e-06	-0.0407062839999999
197	164	2015	0	1e-05	-0.015113511
197	164	2015	0	1.4e-05	-0.0570954040000001
197	164	2015	1e-09	0	-0.305234656
197	164	2015	1e-09	1e-07	-0.585957771
197	164	2015	1e-09	2.5e-07	0
197	164	2015	1e-09	5e-07	-0.00967117500000001
197	164	2015	1e-09	1e-06	-0.00953754399999994
197	164	2015	1e-09	2e-06	-0.070707467
197	164	2015	1e-09	4e-06	-0.401814045
197	164	2015	1e-09	6e-06	-0.672487233
197	164	2015	1e-09	1e-05	0
197	164	2015	1e-09	1.4e-05	-0.0118334759999999
197	164	2015	2.5e-09	0	-0.0368610660000002
197	164	2015	2.5e-09	1e-07	-0.122920969
197	164	2015	2.5e-09	2.5e-07	-0.387506675
197	164	2015	2.5e-09	5e-07	-0.708457201
197	164	2015	2.5e-09	1e-06	0
197	164	2015	2.5e-09	2e-06	-0.0199096159999999
197	164	2015	2.5e-09	4e-06	-0.0359729859999999
197	164	2015	2.5e-09	6e-06	-0.156274922
197	164	2015	2.5e-09	1e-05	-0.479880182
197	164	2015	2.5e-09	1.4e-05	-0.73196106
197	164	2015	5e-09	0	0
197	164	2015	5e-09	1e-07	-0.0340138450000001
197	164	2015	5e-09	2.5e-07	-0.0609662540000001
197	164	2015	5e-09	5e-07	-0.331786253
197	164	2015	5e-09	1e-06	-0.6439668
197	164	2015	5e-09	2e-06	-0.766949711
197	164	2015	5e-09	4e-06	0
197	164	2015	5e-09	6e-06	-0.19921753
197	164	2015	5e-09	1e-05	-0.367691756
197	164	2015	5e-09	1.4e-05	-0.669105568
197	164	2015	7.5e-09	0	-0.659034029
197	164	2015	7.5e-09	1e-07	-0.679680082
197	164	2015	7.5e-09	2.5e-07	0
197	164	2015	7.5e-09	5e-07	-0.391106392
197	164	2015	7.5e-09	1e-06	-0.576507511
197	164	2015	7.5e-09	2e-06	-0.779356212
197	164	2015	7.5e-09	4e-06	-0.526746405
197	164	2015	7.5e-09	6e-06	-0.534516435
197	164	2015	7.5e-09	1e-05	0
197	164	2015	7.5e-09	1.4e-05	-0.697119632
197	164	2015	1e-08	0	-0.79847998
197	164	2015	1e-08	1e-07	-0.834716366
197	164	2015	1e-08	2.5e-07	-0.434301786
197	164	2015	1e-08	5e-07	-0.303392117
197	164	2015	1e-08	1e-06	0
197	164	2015	1e-08	2e-06	-0.80057705
197	164	2015	1e-08	4e-06	-0.821668542
197	164	2015	1e-08	6e-06	-0.83491214
197	164	2015	1e-08	1e-05	-0.437832249
197	164	2015	1e-08	1.4e-05	-0.30665615
5	164	2015	0	0	0
5	164	2015	0	1e-07	0
5	164	2015	0	2.5e-07	0
5	164	2015	0	5e-07	0
5	164	2015	0	1e-06	0
5	164	2015	0	2e-06	0
5	164	2015	0	4e-06	0
5	164	2015	0	6e-06	-0.0383525960000001
5	164	2015	0	1e-05	-0.0122401719999999
5	164	2015	0	1.4e-05	-0.020127914
5	164	2015	1e-09	0	-0.293514684
5	164	2015	1e-09	1e-07	-0.420603425
5	164	2015	1e-09	2.5e-07	0
5	164	2015	1e-09	5e-07	-0.06863805
5	164	2015	1e-09	1e-06	-0.0274783210000001
5	164	2015	1e-09	2e-06	-0.00669276400000001
5	164	2015	1e-09	4e-06	-0.225614401
