name	drugA	drugB	concA	concB	experiments
197	164	2015	0	0	1
197	164	2015	0	1e-07	0.998841525
197	164	2015	0	2.5e-07	0.952278786
197	164	2015	0	5e-07	0.955278573
197	164	2015	0	1e-06	0.553654484
197	164	2015	0	2e-06	0.424125291
197	164	2015	0	4e-06	0.986938028
197	164	2015	0	6e-06	0.958135241
197	164	2015	0	1e-05	0.971824517
197	164	2015	0	1.4e-05	0.929842624
197	164	2015	1e-09	0	0.681703372
197	164	2015	1e-09	1e-07	0.400980257
197	164	2015	1e-09	2.5e-07	0.974679847
197	164	2015	1e-09	5e-07	0.98917035
197	164	2015	1e-09	1e-06	0.965142303
197	164	2015	1e-09	2e-06	0.90397238
197	164	2015	1e-09	4e-06	0.572865802
197	164	2015	1e-09	6e-06	0.302192614
197	164	2015	1e-09	1e-05	0.996209055
197	164	2015	1e-09	1.4e-05	0.987008049
197	164	2015	2.5e-09	0	0.959347989
197	164	2015	2.5e-09	1e-07	0.873288086
197	164	2015	2.5e-09	2.5e-07	0.60870238
197	164	2015	2.5e-09	5e-07	0.287751854
197	164	2015	2.5e-09	1e-06	0.975706765
197	164	2015	2.5e-09	2e-06	0.978931909
197	164	2015	2.5e-09	4e-06	0.939733779
197	164	2015	2.5e-09	6e-06	0.819431843
197	164	2015	2.5e-09	1e-05	0.495826583
197	164	2015	2.5e-09	1.4e-05	0.243745705
197	164	2015	5e-09	0	0.993327052
197	164	2015	5e-09	1e-07	0.96482768
197	164	2015	5e-09	2.5e-07	0.932360798
197	164	2015	5e-09	5e-07	0.661540799
197	164	2015	5e-09	1e-06	0.349360252
197	164	2015	5e-09	2e-06	0.226377341
197	164	2015	5e-09	4e-06	0.826100066
197	164	2015	5e-09	6e-06	0.799623995
197	164	2015	5e-09	1e-05	0.58458703
197	164	2015	5e-09	1.4e-05	0.286173005
197	164	2015	7.5e-09	0	0.167066037
197	164	2015	7.5e-09	1e-07	0.146419984
197	164	2015	7.5e-09	2.5e-07	0.664522801
197	164	2015	7.5e-09	5e-07	0.607735133
197	164	2015	7.5e-09	1e-06	0.375771275
197	164	2015	7.5e-09	2e-06	0.175922361
197	164	2015	7.5e-09	4e-06	0.137776396
197	164	2015	7.5e-09	6e-06	0.130006366
197	164	2015	7.5e-09	1e-05	0.383534655
197	164	2015	7.5e-09	1.4e-05	0.301721893
197	164	2015	1e-08	0	0.153798806
197	164	2015	1e-08	1e-07	0.120562207
197	164	2015	1e-08	2.5e-07	0.119352698
197	164	2015	1e-08	5e-07	0.120733174
197	164	2015	1e-08	1e-06	0.318925552
197	164	2015	1e-08	2e-06	0.198264475
197	164	2015	1e-08	4e-06	0.130610244
197	164	2015	1e-08	6e-06	0.120366433
197	164	2015	1e-08	1e-05	0.115822235
197	164	2015	1e-08	1.4e-05	0.117469141
5	164	2015	0	0	1
5	164	2015	0	1e-07	1.021332619
5	164	2015	0	2.5e-07	0.970924187
5	164	2015	0	5e-07	0.96921806
5	164	2015	0	1e-06	0.726471128
5	164	2015	0	2e-06	0.545915371
5	164	2015	0	4e-06	0.974852478
5	164	2015	0	6e-06	0.982980023
5	164	2015	0	1e-05	0.962612306
5	164	2015	0	1.4e-05	0.954724564
5	164	2015	1e-09	0	0.681337794
5	164	2015	1e-09	1e-07	0.554249053
5	164	2015	1e-09	2.5e-07	0.95175298
5	164	2015	1e-09	5e-07	0.952694569
5	164	2015	1e-09	1e-06	0.943445866
5	164	2015	1e-09	2e-06	0.962525296
5	164	2015	1e-09	4e-06	0.726138579
5	164	2015	1e-09	6e-06	0.572528354
5	164	2015	1e-09	1e-05	0.980457937
5	164	2015	1e-09	1.4e-05	0.939947909
5	164	2015	2.5e-09	0	0.947292002
5	164	2015	2.5e-09	1e-07	0.945891522
5	164	2015	2.5e-09	2.5e-07	0.678908751
5	164	2015	2.5e-09	5e-07	0.546607138
5	164	2015	2.5e-09	1e-06	0.920299084
5	164	2015	2.5e-09	2e-06	0.930426046
5	164	2015	2.5e-09	4e-06	0.931067089
5	164	2015	2.5e-09	6e-06	0.918362936
5	164	2015	2.5e-09	1e-05	0.628942487
5	164	2015	2.5e-09	1.4e-05	0.538249042
5	164	2015	5e-09	0	0.937992463
5	164	2015	5e-09	1e-07	0.895995538
5	164	2015	5e-09	2.5e-07	0.910270322
5	164	2015	5e-09	5e-07	0.74047718
5	164	2015	5e-09	1e-06	0.558554421
5	164	2015	5e-09	2e-06	0.524629287
5	164	2015	5e-09	4e-06	0.713213617
5	164	2015	5e-09	6e-06	0.70115735
5	164	2015	5e-09	1e-05	0.610528334
5	164	2015	5e-09	1.4e-05	0.53820484
5	164	2015	7.5e-09	0	0.495024074
5	164	2015	7.5e-09	1e-07	0.45451024
5	164	2015	7.5e-09	2.5e-07	0.587685474
5	164	2015	7.5e-09	5e-07	0.574901125
5	164	2015	7.5e-09	1e-06	0.525738848
5	164	2015	7.5e-09	2e-06	0.490333289
5	164	2015	7.5e-09	4e-06	0.462809796
5	164	2015	7.5e-09	6e-06	0.453229759
5	164	2015	7.5e-09	1e-05	0.508392013
5	164	2015	7.5e-09	1.4e-05	0.491699541
5	164	2015	1e-08	0	0.459999892
5	164	2015	1e-08	1e-07	0.454088551
5	164	2015	1e-08	2.5e-07	0.434452175
5	164	2015	1e-08	5e-07	0.409588557
5	164	2015	1e-08	1e-06	0.483166122
5	164	2015	1e-08	2e-06	0.477269763
5	164	2015	1e-08	4e-06	0.471184437
5	164	2015	1e-08	6e-06	0.44923597
5	164	2015	1e-08	1e-05	0.43996157
5	164	2015	1e-08	1.4e-05	0.418472556
198	164	2015	0	0	1
198	164	2015	0	1e-07	1.017309055
198	164	2015	0	2.5e-07	0.957560246
198	164	2015	0	5e-07	0.496280912
198	164	2015	0	1e-06	0.085117442
198	164	2015	0	2e-06	0.032850994
198	164	2015	0	4e-06	0.981825458
198	164	2015	0	6e-06	1.048549547
198	164	2015	0	1e-05	1.008806016
198	164	2015	0	1.4e-05	0.643649212
198	164	2015	1e-09	0	0.104768402
198	164	2015	1e-09	1e-07	0.028161764
198	164	2015	1e-09	2.5e-07	0.981954498
198	164	2015	1e-09	5e-07	1.023956405
198	164	2015	1e-09	1e-06	1.011181271
198	164	2015	1e-09	2e-06	0.471619403
198	164	2015	1e-09	4e-06	0.057069178
198	164	2015	1e-09	6e-06	0.027345554
198	164	2015	1e-09	1e-05	1.026847422
198	164	2015	1e-09	1.4e-05	1.01907753
198	164	2015	2.5e-09	0	0.913275002
198	164	2015	2.5e-09	1e-07	0.353838164
198	164	2015	2.5e-09	2.5e-07	0.03999672
198	164	2015	2.5e-09	5e-07	0.023498729
198	164	2015	2.5e-09	1e-06	0.999179591
198	164	2015	2.5e-09	2e-06	0.988960491
198	164	2015	2.5e-09	4e-06	0.815149164
198	164	2015	2.5e-09	6e-06	0.107578416
198	164	2015	2.5e-09	1e-05	0.027426682
198	164	2015	2.5e-09	1.4e-05	0.025762928
198	164	2015	5e-09	0	0.838783193
198	164	2015	5e-09	1e-07	0.893871669
198	164	2015	5e-09	2.5e-07	0.31972023
198	164	2015	5e-09	5e-07	0.030142188
198	164	2015	5e-09	1e-06	0.024250987
198	164	2015	5e-09	2e-06	0.022516707
198	164	2015	5e-09	4e-06	0.389649918
198	164	2015	5e-09	6e-06	0.348712349
198	164	2015	5e-09	1e-05	0.035176888
198	164	2015	5e-09	1.4e-05	0.027383776
198	164	2015	7.5e-09	0	0.019054747
198	164	2015	7.5e-09	1e-07	0.022354321
198	164	2015	7.5e-09	2.5e-07	0.140406478
198	164	2015	7.5e-09	5e-07	0.099838324
198	164	2015	7.5e-09	1e-06	0.023097999
198	164	2015	7.5e-09	2e-06	0.024370849
198	164	2015	7.5e-09	4e-06	0.02290696
198	164	2015	7.5e-09	6e-06	0.022634304
198	164	2015	7.5e-09	1e-05	0.060972596
198	164	2015	7.5e-09	1.4e-05	0.033925144
198	164	2015	1e-08	0	0.027298015
198	164	2015	1e-08	1e-07	0.027954095
198	164	2015	1e-08	2.5e-07	0.025505671
198	164	2015	1e-08	5e-07	0.031014534
198	164	2015	1e-08	1e-06	0.037807838
198	164	2015	1e-08	2e-06	0.035530795
198	164	2015	1e-08	4e-06	0.027104907
198	164	2015	1e-08	6e-06	0.027209476
198	164	2015	1e-08	1e-05	0.02728236
198	164	2015	1e-08	1.4e-05	0.029062587
94	164	2015	0	0	1
94	164	2015	0	1e-07	1.018087737
94	164	2015	0	2.5e-07	0.986642124
94	164	2015	0	5e-07	1.03087975
94	164	2015	0	1e-06	0.946221445
94	164	2015	0	2e-06	0.759740521
