name	drugA	drugB	concA	concB	zip
197	164	2015	0	0	0
197	164	2015	0	1e-07	0
197	164	2015	0	2.5e-07	0
197	164	2015	0	5e-07	0
197	164	2015	0	1e-06	0
197	164	2015	0	2e-06	0
197	164	2015	0	4e-06	0
197	164	2015	0	6e-06	-0.000301140914806552
197	164	2015	0	1e-05	-0.00596017303212179
197	164	2015	0	1.4e-05	-0.0611064331824356
197	164	2015	1e-09	0	-0.184616128534847
197	164	2015	1e-09	1e-07	-0.309313597698366
197	164	2015	1e-09	2.5e-07	0
197	164	2015	1e-09	5e-07	-0.000663039890793016
197	164	2015	1e-09	1e-06	-0.00631387013671883
197	164	2015	1e-09	2e-06	-0.061380204511036
197	164	2015	1e-09	4e-06	-0.184710892108121
197	164	2015	1e-09	6e-06	-0.309227632026165
197	164	2015	1e-09	1e-05	0
197	164	2015	1e-09	1.4e-05	-0.00194572895650083
197	164	2015	2.5e-09	0	-0.00756748907112552
197	164	2015	2.5e-09	1e-07	-0.0623505401930936
197	164	2015	2.5e-09	2.5e-07	-0.185046765396886
197	164	2015	2.5e-09	5e-07	-0.30892294139404
197	164	2015	2.5e-09	1e-06	0
197	164	2015	2.5e-09	2e-06	-0.00699124617167257
197	164	2015	2.5e-09	4e-06	-0.0124986575701126
197	164	2015	2.5e-09	6e-06	-0.0661674008175469
197	164	2015	2.5e-09	1e-05	-0.186367938630439
197	164	2015	2.5e-09	1.4e-05	-0.307724426593543
197	164	2015	5e-09	0	0
197	164	2015	5e-09	1e-07	-0.0261168836135866
197	164	2015	5e-09	2.5e-07	-0.0311908425046968
197	164	2015	5e-09	5e-07	-0.0806356682629743
197	164	2015	5e-09	1e-06	-0.191376004044805
197	164	2015	5e-09	2e-06	-0.303181312663785
197	164	2015	5e-09	4e-06	0
197	164	2015	5e-09	6e-06	-0.089548784618099
197	164	2015	5e-09	1e-05	-0.09318515918719
197	164	2015	5e-09	1.4e-05	-0.128620981750822
197	164	2015	7.5e-09	0	-0.207985704534683
197	164	2015	7.5e-09	1e-07	-0.288113665694119
197	164	2015	7.5e-09	2.5e-07	0
197	164	2015	7.5e-09	5e-07	-0.164227241335673
197	164	2015	7.5e-09	1e-06	-0.16617114607697
197	164	2015	7.5e-09	2e-06	-0.185114151585454
197	164	2015	7.5e-09	4e-06	-0.227540325781759
197	164	2015	7.5e-09	6e-06	-0.270374505993074
197	164	2015	7.5e-09	1e-05	0
197	164	2015	7.5e-09	1.4e-05	-0.287529053643196
197	164	2015	1e-08	0	-0.286678516637631
197	164	2015	1e-08	1e-07	-0.278390184992925
197	164	2015	1e-08	2.5e-07	-0.259827016545471
197	164	2015	1e-08	5e-07	-0.24108532895205
197	164	2015	1e-08	1e-06	0
197	164	2015	1e-08	2e-06	-0.362834442729691
197	164	2015	1e-08	4e-06	-0.360277227459721
197	164	2015	1e-08	6e-06	-0.335357620075515
197	164	2015	1e-08	1e-05	-0.279545800598805
197	164	2015	1e-08	1.4e-05	-0.223197247407908
5	164	2015	0	0	0
5	164	2015	0	1e-07	0
5	164	2015	0	2.5e-07	0
5	164	2015	0	5e-07	0
5	164	2015	0	1e-06	0
5	164	2015	0	2e-06	0
5	164	2015	0	4e-06	0
5	164	2015	0	6e-06	-0.00385425691928091
5	164	2015	0	1e-05	-0.00701224725774608
5	164	2015	0	1.4e-05	-0.0388472347194499
5	164	2015	1e-09	0	-0.122878816555777
5	164	2015	1e-09	1e-07	-0.233829070614831
5	164	2015	1e-09	2.5e-07	0
5	164	2015	1e-09	5e-07	-0.00970192794675924
