name	drugA	drugB	concA	concB	experiments
160	37	279	0	0	0
160	37	279	0	0.95	71.74865513
160	37	279	81.1	0	39.13122131
160	37	279	81.1	0.95	49.92073172
160	275	276	0	0	0
160	275	276	0	16.8	99.94879672
160	275	276	73.5	0	0.32239215
160	275	276	73.5	16.8	100
160	275	292	0	0	0
160	275	292	0	16.8	99.94879672
160	275	292	89.4	0	26.96680805
160	275	292	89.4	16.8	100
160	46	275	0	0	0
160	46	275	0	650	99.94879672
160	46	275	16.8	0	98.65510327
160	46	275	16.8	650	100
160	286	294	0	0	0
160	286	294	0	132.6	0
160	286	294	76.6	0	26.35059193
160	286	294	76.6	132.6	4.644690754
160	288	294	0	0	0
160	288	294	0	177	0
160	288	294	76.6	0	50.0790699
160	288	294	76.6	177	35.40375522
160	63	288	0	0	0
160	63	288	0	0.4	80.21460332
160	63	288	177	0	50.0790699
160	63	288	177	0.4	76.07493476
160	248	281	0	0	0
160	248	281	0	0.1	100
160	248	281	78	0	2.150875492
160	248	281	78	0.1	100
160	21	259	0	0	0
160	21	259	0	10.3	89.25430294
160	21	259	28.3	0	100
160	21	259	28.3	10.3	100
160	8	295	0	0	0
160	8	295	0	15.4	99.78243983
160	8	295	1.4	0	0
160	8	295	1.4	15.4	88.77601923
160	8	289	0	0	0
160	8	289	0	15.4	99.78243983
160	8	289	10	0	96.22080761
160	8	289	10	15.4	100
160	269	289	0	0	0
160	269	289	0	19.8	96.22080761
160	269	289	10	0	58.96658998
160	269	289	10	19.8	100
160	273	279	0	0	0
160	273	279	0	178	17.3356167
160	273	279	81.1	0	39.13122131
160	273	279	81.1	178	0
160	19	288	0	0	0
160	19	288	0	7.5	99.87921859
160	19	288	177	0	50.0790699
160	19	288	177	7.5	89.81875324
160	19	286	0	0	0
160	19	286	0	7.5	99.87921859
160	19	286	132.6	0	26.35059193
160	19	286	132.6	7.5	100
160	61	278	0	0	0
160	61	278	0	9.9	84.97484141
160	61	278	333.1	0	11.69030422
160	61	278	333.1	9.9	96.97388795
160	33	106	0	0	0
160	33	106	0	0.2	96.94297546
160	33	106	9.8	0	99.99187369
160	33	106	9.8	0.2	100
160	106	283	0	0	0
160	106	283	0	9.8	96.94297546
160	106	283	0.013	0	1.662962311
160	106	283	0.013	9.8	90.05069258
160	268	284	0	0	0
160	268	284	0	86.7	94.77996018
160	268	284	118.7	0	17.11103228
160	268	284	118.7	86.7	100
160	61	273	0	0	0
160	61	273	0	9.9	11.69030422
160	61	273	178	0	17.3356167
160	61	273	178	9.9	14.68829651
160	14	263	0	0	0
160	14	263	0	334.9	98.44403556
160	14	263	0.46	0	2.964857381
160	14	263	0.46	334.9	100
160	106	264	0	0	0
160	106	264	0	9.8	96.94297546
160	106	264	214.1	0	45.94459407
160	106	264	214.1	9.8	82.56464943
160	281	284	0	0	0
160	281	284	0	78	17.11103228
160	281	284	118.7	0	100
160	281	284	118.7	78	100
160	264	291	0	0	0
160	264	291	0	214.1	24.35133625
160	264	291	66.9	0	45.94459407
160	264	291	66.9	214.1	69.63283161
160	48	279	0	0	0
160	48	279	0	14	84.27757776
160	48	279	81.1	0	39.13122131
160	48	279	81.1	14	41.64408576
160	48	281	0	0	0
160	48	281	0	14	84.27757776
160	48	281	78	0	100
160	48	281	78	14	100
160	261	264	0	0	0
160	261	264	0	13.2	85.39038766
160	261	264	214.1	0	45.94459407
160	261	264	214.1	13.2	100
160	282	293	0	0	0
160	282	293	0	5.3	26.61512503
160	282	293	48.8	0	35.48998063
160	282	293	48.8	5.3	0
160	269	282	0	0	0
160	269	282	0	19.8	26.61512503
160	269	282	5.3	0	58.96658998
160	269	282	5.3	19.8	60.93082005
160	14	61	0	0	0
160	14	61	0	334.9	2.964857381
160	14	61	9.9	0	11.69030422
160	14	61	9.9	334.9	21.13824684
160	273	283	0	0	0
160	273	283	0	178	17.3356167
160	273	283	0.013	0	1.662962311
160	273	283	0.013	178	52.596552
160	92	271	0	0	0
160	92	271	0	70.6	36.73976992
160	92	271	319.5	0	0
160	92	271	319.5	70.6	55.37844652
160	92	291	0	0	0
160	92	291	0	70.6	36.73976992
160	92	291	66.9	0	24.35133625
160	92	291	66.9	70.6	84.18875988
160	33	273	0	0	0
160	33	273	0	0.2	17.3356167
160	33	273	178	0	99.99187369
160	33	273	178	0.2	100
160	263	265	0	0	0
160	263	265	0	0.46	98.44403556
160	263	265	0.4	0	0
160	263	265	0.4	0.46	100
160	263	290	0	0	0
160	263	290	0	0.46	98.44403556
160	263	290	41.8	0	0.294050343
160	263	290	41.8	0.46	100
160	265	286	0	0	0
160	265	286	0	0.4	0
160	265	286	132.6	0	26.35059193
160	265	286	132.6	0.4	100
160	248	274	0	0	0
160	248	274	0	0.1	2.150875492
160	248	274	63.9	0	100
160	248	274	63.9	0.1	100
160	248	284	0	0	0
160	248	284	0	0.1	2.150875492
160	248	284	118.7	0	17.11103228
160	248	284	118.7	0.1	37.60801138
160	248	285	0	0	0
160	248	285	0	0.1	2.150875492
160	248	285	308.3	0	96.73717693
160	248	285	308.3	0.1	98.42539747
160	264	278	0	0	0
160	264	278	0	214.1	45.94459407
160	264	278	333.1	0	84.97484141
160	264	278	333.1	214.1	100
