name	drugA	drugB	concA	concB	bliss
47	37	332	0	0	0
47	37	332	0	0.3	0
47	37	332	0	1	0
47	37	332	0	3	0
47	37	332	0	10	0
47	37	332	0	30	0
47	37	332	0	100	0
47	37	332	0	300	0
47	37	332	0.1	0	0
47	37	332	0.1	0.3	-0.0690000000000001
47	37	332	0.1	1	-0.0695
47	37	332	0.1	3	-0.159
47	37	332	0.1	10	-0.2681
47	37	332	0.1	30	-0.5159
47	37	332	0.1	100	-0.6639
47	37	332	0.1	300	-0.6929
47	37	332	0.3	0	0
47	37	332	0.3	0.3	-0.12
47	37	332	0.3	1	-0.16
47	37	332	0.3	3	-0.23
47	37	332	0.3	10	-0.382
47	37	332	0.3	30	-0.478
47	37	332	0.3	100	-0.568
47	37	332	0.3	300	-0.548
47	37	332	1	0	0
47	37	332	1	0.3	-0.178
47	37	332	1	1	-0.179
47	37	332	1	3	-0.348
47	37	332	1	10	-0.5082
47	37	332	1	30	-0.5898
47	37	332	1	100	-0.5658
47	37	332	1	300	-0.5338
47	37	332	3	0	0
47	37	332	3	0.3	-0.188
47	37	332	3	1	-0.309
47	37	332	3	3	-0.418
47	37	332	3	10	-0.5582
47	37	332	3	30	-0.5898
47	37	332	3	100	-0.5958
47	37	332	3	300	-0.5738
47	37	332	10	0	0
47	37	332	10	0.3	-0.216
47	37	332	10	1	-0.288
47	37	332	10	3	-0.446
47	37	332	10	10	-0.5744
47	37	332	10	30	-0.6016
47	37	332	10	100	-0.5936
47	37	332	10	300	-0.5496
47	37	332	30	0	0
47	37	332	30	0.3	-0.244
47	37	332	30	1	-0.327
47	37	332	30	3	-0.464
47	37	332	30	10	-0.5706
47	37	332	30	30	-0.6134
47	37	332	30	100	-0.5614
47	37	332	30	300	-0.5154
47	37	332	100	0	0
47	37	332	100	0.3	-0.26
47	37	332	100	1	-0.315
47	37	332	100	3	-0.49
47	37	332	100	10	-0.543
47	37	332	100	30	-0.567
47	37	332	100	100	-0.547
47	37	332	100	300	-0.517
47	131	332	0	0	0
47	131	332	0	0.3	0
47	131	332	0	1	0
47	131	332	0	3	0
47	131	332	0	10	0
47	131	332	0	30	0
47	131	332	0	100	0
47	131	332	0	300	0
47	131	332	0.03	0	0
47	131	332	0.03	0.3	0.0624433281898757
47	131	332	0.03	1	0.0374406549494667
47	131	332	0.03	3	-0.0756847944590555
47	131	332	0.03	10	-0.219174099590847
47	131	332	0.03	30	-0.421438165195952
47	131	332	0.03	100	-0.682680923815623
47	131	332	0.03	300	-0.724966697534129
47	131	332	0.1	0	0
47	131	332	0.1	0.3	0.036345944477094
47	131	332	0.1	1	-0.0451778912678877
47	131	332	0.1	3	-0.0607736179606258
47	131	332	0.1	10	-0.168779348838333
47	131	332	0.1	30	-0.416829136743462
47	131	332	0.1	100	-0.698210748856262
47	131	332	0.1	300	-0.779115955322131
47	131	332	0.3	0	0
47	131	332	0.3	0.3	0.104429072892153
47	131	332	0.3	1	0.0625329448152773
47	131	332	0.3	3	-0.090316432171564
47	131	332	0.3	10	-0.153415991170662
47	131	332	0.3	30	-0.423484980660349
47	131	332	0.3	100	-0.671072316530601
47	131	332	0.3	300	-0.727527216639873
47	131	332	1	0	0
47	131	332	1	0.3	0.00246962757267468
47	131	332	1	1	-0.0467389290652973
47	131	332	1	3	-0.0862349328826366
47	131	332	1	10	-0.188260283861677
47	131	332	1	30	-0.426766853889669
47	131	332	1	100	-0.681345508588002
47	131	332	1	300	-0.718709621175247
47	131	332	3	0	0
47	131	332	3	0.3	-0.00649654118312284
47	131	332	3	1	0.0199660483972869
47	131	332	3	3	-0.132880052750062
47	131	332	3	10	-0.265600406483086
47	131	332	3	30	-0.488758372949844
47	131	332	3	100	-0.678611697890645
47	131	332	3	300	-0.707706761598969
47	131	332	10	0	0
47	131	332	10	0.3	-0.0438134021795545
47	131	332	10	1	-0.0494082848066756
47	131	332	10	3	-0.184434045002908
47	131	332	10	10	-0.265673086801315
47	131	332	10	30	-0.559107295737696
47	131	332	10	100	-0.68011976909073
47	131	332	10	300	-0.734364739063639
47	131	332	30	0	0
47	131	332	30	0.3	-0.0781974989529678
47	131	332	30	1	-0.143542297102764
47	131	332	30	3	-0.22154640491586
47	131	332	30	10	-0.322448869617698
47	131	332	30	30	-0.501419610944843
47	131	332	30	100	-0.61637107194927
47	131	332	30	300	-0.651595573714733
47	2013	332	0	0	0
47	2013	332	0	0.3	0
47	2013	332	0	1	0
47	2013	332	0	3	0
47	2013	332	0	10	0
47	2013	332	0	30	0
47	2013	332	0	100	0
47	2013	332	0	300	0
47	2013	332	1	0	0
47	2013	332	1	0.3	0.0295999999999999
47	2013	332	1	1	-0.0206
47	2013	332	1	3	-0.063
47	2013	332	1	10	-0.215
47	2013	332	1	30	-0.368
47	2013	332	1	100	-0.6422
47	2013	332	1	300	-0.6738
47	2013	332	3	0	0
47	2013	332	3	0.3	0.1188
47	2013	332	3	1	0.0281999999999999
47	2013	332	3	3	0.000999999999999943
47	2013	332	3	10	-0.195
47	2013	332	3	30	-0.364
47	2013	332	3	100	-0.6166
47	2013	332	3	300	-0.7314
47	2013	332	10	0	0
47	2013	332	10	0.3	0.0988
47	2013	332	10	1	0.1082
47	2013	332	10	3	-0.0190000000000001
47	2013	332	10	10	-0.205
47	2013	332	10	30	-0.374
47	2013	332	10	100	-0.6566
47	2013	332	10	300	-0.7114
47	2013	332	30	0	0
47	2013	332	30	0.3	0.0394
47	2013	332	30	1	0.0691
47	2013	332	30	3	-0.1045
47	2013	332	30	10	-0.2075
47	2013	332	30	30	-0.382
47	2013	332	30	100	-0.6383
47	2013	332	30	300	-0.7207
47	2013	332	100	0	0
47	2013	332	100	0.3	0.0792
47	2013	332	100	1	-0.0512
47	2013	332	100	3	-0.116
47	2013	332	100	10	-0.22
47	2013	332	100	30	-0.406
47	2013	332	100	100	-0.6344
47	2013	332	100	300	-0.7276
47	2013	332	300	0	0
47	2013	332	300	0.3	-0.0208
47	2013	332	300	1	-0.0712
47	2013	332	300	3	-0.0859999999999999
47	2013	332	300	10	-0.23
47	2013	332	300	30	-0.416
47	2013	332	300	100	-0.6444
47	2013	332	300	300	-0.7476
47	2013	332	1000	0	0
47	2013	332	1000	0.3	-0.0473999999999999
47	2013	332	1000	1	-0.1361
47	2013	332	1000	3	-0.2105
47	2013	332	1000	10	-0.2975
47	2013	332	1000	30	-0.508
47	2013	332	1000	100	-0.5607
47	2013	332	1000	300	-0.6303
47	2009	332	0	0	0
47	2009	332	0	0.3	0
47	2009	332	0	1	0
47	2009	332	0	3	0
47	2009	332	0	10	0
47	2009	332	0	30	0
47	2009	332	0	100	0
47	2009	332	0	300	0
47	2009	332	1	0	0
47	2009	332	1	0.3	0.0613006904590699
47	2009	332	1	1	-0.0311415030220193
47	2009	332	1	3	0.0992573923791291
47	2009	332	1	10	-0.109932105518285
47	2009	332	1	30	-0.408424930260084
47	2009	332	1	100	-0.628410587440476
47	2009	332	1	300	-0.661421669284307
47	2009	332	3	0	0
47	2009	332	3	0.3	0.020745700392026
47	2009	332	3	1	0.023507863813104
47	2009	332	3	3	-0.0570781245419495
47	2009	332	3	10	-0.167016347440053
47	2009	332	3	30	-0.407184006481653
47	2009	332	3	100	-0.557089678054015
47	2009	332	3	300	-0.640085984773451
47	2009	332	10	0	0
47	2009	332	10	0.3	0.0439486612405038
47	2009	332	10	1	-0.0168357778901488
47	2009	332	10	3	-0.0794952017369854
47	2009	332	10	10	-0.135009892430892
47	2009	332	10	30	-0.41435315808534
47	2009	332	10	100	-0.635466063972589
47	2009	332	10	300	-0.697037739067234
47	2009	332	30	0	0
47	2009	332	30	0.3	0.0355409877501199
47	2009	332	30	1	0.0474544483576278
47	2009	332	30	3	-0.0289297309796474
47	2009	332	30	10	-0.259254389851559
47	2009	332	30	30	-0.471099453240204
47	2009	332	30	100	-0.686153264879779
47	2009	332	30	300	-0.745385072689022
47	2009	332	100	0	0
47	2009	332	100	0.3	0.00935491904182655
47	2009	332	100	1	0.0112666813916572
47	2009	332	100	3	-0.174008613700987
47	2009	332	100	10	-0.245251818584527
47	2009	332	100	30	-0.547017052388973
47	2009	332	100	100	-0.726074267585786
47	2009	332	100	300	-0.785114959939822
47	2009	332	300	0	0
47	2009	332	300	0.3	-0.0949406586851438
47	2009	332	300	1	-0.170307039719543
47	2009	332	300	3	-0.121417905397569
47	2009	332	300	10	-0.258297760871015
47	2009	332	300	30	-0.542114074436134
47	2009	332	300	100	-0.632521952072
47	2009	332	300	300	-0.664326082898739
47	2009	332	1000	0	0
47	2009	332	1000	0.3	-0.417965425740141
47	2009	332	1000	1	-0.42231352126257
47	2009	332	1000	3	-0.501036703012779
47	2009	332	1000	10	-0.455451686884211
47	2009	332	1000	30	-0.620141376072454
47	2009	332	1000	100	-0.536619803238713
47	2009	332	1000	300	-0.544593783648288
47	2008	131	0	0	0
47	2008	131	0	0.03	0
47	2008	131	0	0.1	0
47	2008	131	0	0.3	0
