name	drugA	drugB	concA	concB	zip
47	37	332	0	0	NA
47	37	332	0	0.3	NA
47	37	332	0	1	NA
47	37	332	0	3	NA
47	37	332	0	10	NA
47	37	332	0	30	NA
47	37	332	0	100	NA
47	37	332	0	300	NA
47	37	332	0.1	0	NA
47	37	332	0.1	0.3	NA
47	37	332	0.1	1	NA
47	37	332	0.1	3	NA
47	37	332	0.1	10	NA
47	37	332	0.1	30	NA
47	37	332	0.1	100	NA
47	37	332	0.1	300	NA
47	37	332	0.3	0	NA
47	37	332	0.3	0.3	NA
47	37	332	0.3	1	NA
47	37	332	0.3	3	NA
47	37	332	0.3	10	NA
47	37	332	0.3	30	NA
47	37	332	0.3	100	NA
47	37	332	0.3	300	NA
47	37	332	1	0	NA
47	37	332	1	0.3	NA
47	37	332	1	1	NA
47	37	332	1	3	NA
47	37	332	1	10	NA
47	37	332	1	30	NA
47	37	332	1	100	NA
47	37	332	1	300	NA
47	37	332	3	0	NA
47	37	332	3	0.3	NA
47	37	332	3	1	NA
47	37	332	3	3	NA
47	37	332	3	10	NA
47	37	332	3	30	NA
47	37	332	3	100	NA
47	37	332	3	300	NA
47	37	332	10	0	NA
47	37	332	10	0.3	NA
47	37	332	10	1	NA
47	37	332	10	3	NA
47	37	332	10	10	NA
47	37	332	10	30	NA
47	37	332	10	100	NA
47	37	332	10	300	NA
47	37	332	30	0	NA
47	37	332	30	0.3	NA
47	37	332	30	1	NA
47	37	332	30	3	NA
47	37	332	30	10	NA
47	37	332	30	30	NA
47	37	332	30	100	NA
47	37	332	30	300	NA
47	37	332	100	0	NA
47	37	332	100	0.3	NA
47	37	332	100	1	NA
47	37	332	100	3	NA
47	37	332	100	10	NA
47	37	332	100	30	NA
47	37	332	100	100	NA
47	37	332	100	300	NA
47	131	332	0	0	0
47	131	332	0	0.3	0
47	131	332	0	1	0
47	131	332	0	3	0
47	131	332	0	10	0
47	131	332	0	30	0
47	131	332	0	100	0
47	131	332	0	300	0
47	131	332	0.03	0	0
47	131	332	0.03	0.3	-1.96057473687006e-07
47	131	332	0.03	1	-1.64987039852349e-08
47	131	332	0.03	3	-0.0288295658251538
47	131	332	0.03	10	-0.141235529951296
47	131	332	0.03	30	-0.206479932433531
47	131	332	0.03	100	-0.285315114251733
47	131	332	0.03	300	-0.351843499802216
47	131	332	0.1	0	0
47	131	332	0.1	0.3	-2.14675572891565e-07
47	131	332	0.1	1	-1.83038881118591e-08
47	131	332	0.1	3	-0.0296480276409324
47	131	332	0.1	10	-0.141235529951296
47	131	332	0.1	30	-0.206479932433531
47	131	332	0.1	100	-0.285315114251733
47	131	332	0.1	300	-0.351843499802216
47	131	332	0.3	0	0
47	131	332	0.3	0.3	-2.78196525016483e-07
47	131	332	0.3	1	-2.46253244995387e-08
47	131	332	0.3	3	-0.032044670172442
47	131	332	0.3	10	-0.141235529951295
47	131	332	0.3	30	-0.206479932433531
47	131	332	0.3	100	-0.285315114251732
47	131	332	0.3	300	-0.351843499802215
47	131	332	1	0	0
47	131	332	1	0.3	-6.891925042396e-07
47	131	332	1	1	-6.95527410243812e-08
47	131	332	1	3	-0.0409238002034779
47	131	332	1	10	-0.141235529949799
47	131	332	1	30	-0.206479932431456
47	131	332	1	100	-0.285315114250352
47	131	332	1	300	-0.351843499800897
47	131	332	3	0	0
47	131	332	3	0.3	-9.2025117113792e-06
47	131	332	3	1	-1.35035678368922e-06
47	131	332	3	3	-0.0648285852228439
47	131	332	3	10	-0.141235527004334
47	131	332	3	30	-0.206479928369559
47	131	332	3	100	-0.285315111625993
47	131	332	3	300	-0.351843497070205
47	131	332	10	0	0
47	131	332	10	0.3	-0.0213585682151761
47	131	332	10	1	-0.0238003414835413
47	131	332	10	3	-0.0858312137666401
47	131	332	10	10	-0.141248037005103
47	131	332	10	30	-0.206484927425154
47	131	332	10	100	-0.285311031396476
47	131	332	10	300	-0.351831738418072
47	131	332	30	0	0
47	131	332	30	0.3	-0.0762847602138233
47	131	332	30	1	-0.0944863187468158
47	131	332	30	3	-0.121223890038874
47	131	332	30	10	-0.164480129784286
47	131	332	30	30	-0.215780824120258
47	131	332	30	100	-0.277767744246893
47	131	332	30	300	-0.330078015196502
47	2013	332	0	0	0
47	2013	332	0	0.3	0
47	2013	332	0	1	0
47	2013	332	0	3	0
47	2013	332	0	10	0
47	2013	332	0	30	0
47	2013	332	0	100	0
47	2013	332	0	300	0
47	2013	332	1	0	0
47	2013	332	1	0.3	1.4210854715202e-16
47	2013	332	1	1	-4.23016489037309e-08
47	2013	332	1	3	-0.00521097542617213
47	2013	332	1	10	-0.124018122554315
47	2013	332	1	30	-0.19702065663925
47	2013	332	1	100	-0.288869203908372
47	2013	332	1	300	-0.364766387162052
47	2013	332	3	0	0
47	2013	332	3	0.3	-1.4210854715202e-16
47	2013	332	3	1	-5.66142749391929e-08
47	2013	332	3	3	-0.00644033645037723
47	2013	332	3	10	-0.124018122554315
47	2013	332	3	30	-0.19702065663925
47	2013	332	3	100	-0.288869203908372
47	2013	332	3	300	-0.364766387162052
47	2013	332	10	0	0
47	2013	332	10	0.3	2.55795384873636e-15
47	2013	332	10	1	-1.57005760854645e-07
47	2013	332	10	3	-0.0129508637367802
47	2013	332	10	10	-0.124018122554217
47	2013	332	10	30	-0.197020656639099
47	2013	332	10	100	-0.288869203908259
47	2013	332	10	300	-0.364766387161942
47	2013	332	30	0	0
47	2013	332	30	0.3	-4.44515535491519e-13
47	2013	332	30	1	-2.89447766434137e-06
47	2013	332	30	3	-0.0478101533967995
47	2013	332	30	10	-0.124018122502215
47	2013	332	30	30	-0.197020656559108
47	2013	332	30	100	-0.288869203848204
47	2013	332	30	300	-0.364766387101211
47	2013	332	100	0	0
47	2013	332	100	0.3	-4.46840886070277e-09
47	2013	332	100	1	-0.0250075283455212
47	2013	332	100	3	-0.0677540130961572
47	2013	332	100	10	-0.124018074830526
47	2013	332	100	30	-0.197020582616647
47	2013	332	100	100	-0.288869148584225
47	2013	332	100	300	-0.364766325650715
47	2013	332	300	0	0
47	2013	332	300	0.3	-6.84410149581538e-05
47	2013	332	300	1	-0.0368949470919182
47	2013	332	300	3	-0.0678163553475527
47	2013	332	300	10	-0.124055321021744
47	2013	332	300	30	-0.197036300292489
47	2013	332	300	100	-0.288857725391222
47	2013	332	300	300	-0.364732495439614
47	2013	332	1000	0	0
47	2013	332	1000	0.3	-0.0602154137092393
47	2013	332	1000	1	-0.0922095564933953
47	2013	332	1000	3	-0.115104850192995
47	2013	332	1000	10	-0.156746149517746
47	2013	332	1000	30	-0.210783821732285
47	2013	332	1000	100	-0.278771621785032
47	2013	332	1000	300	-0.33495196075652
47	2009	332	0	0	0
47	2009	332	0	0.3	0
47	2009	332	0	1	0
47	2009	332	0	3	0
47	2009	332	0	10	0
47	2009	332	0	30	0
47	2009	332	0	100	0
47	2009	332	0	300	0
47	2009	332	1	0	0
47	2009	332	1	0.3	-0.000273057705044692
47	2009	332	1	1	-0.00026480711636637
