name	drugA	drugB	concA	concB	bliss
186	92	697	0	0	0
186	92	697	5	0	0
186	92	697	0	400	0
186	92	697	5	400	-0.003331526
186	92	1057	0	0	0
186	92	1057	5	0	0
186	92	1057	0	400	0
186	92	1057	5	400	-0.004656624
186	92	883	0	0	0
186	92	883	5	0	0
186	92	883	0	400	0
186	92	883	5	400	-0.003277232
186	92	972	0	0	0
186	92	972	5	0	0
186	92	972	0	400	0
186	92	972	5	400	-0.003397156
186	92	1636	0	0	0
186	92	1636	5	0	0
186	92	1636	0	400	0
186	92	1636	5	400	-0.001237758
186	92	1368	0	0	0
186	92	1368	5	0	0
186	92	1368	0	400	0
186	92	1368	5	400	-0.001524414
186	92	1959	0	0	0
186	92	1959	5	0	0
186	92	1959	0	400	0
186	92	1959	5	400	-0.001532552
186	92	1162	0	0	0
186	92	1162	5	0	0
186	92	1162	0	400	0
186	92	1162	5	400	-0.001804034
186	92	1775	0	0	0
186	92	1775	5	0	0
186	92	1775	0	400	0
186	92	1775	5	400	-0.001879512
186	92	1677	0	0	0
186	92	1677	5	0	0
186	92	1677	0	400	0
186	92	1677	5	400	-0.001889702
186	92	522	0	0	0
186	92	522	5	0	0
186	92	522	0	400	0
186	92	522	5	400	-0.002005554
186	92	535	0	0	0
186	92	535	5	0	0
186	92	535	0	400	0
186	92	535	5	400	-0.002131944
186	92	1228	0	0	0
186	92	1228	5	0	0
186	92	1228	0	400	0
186	92	1228	5	400	-0.002243236
186	92	1960	0	0	0
186	92	1960	5	0	0
186	92	1960	0	400	0
186	92	1960	5	400	-0.002318942
186	92	1718	0	0	0
186	92	1718	5	0	0
186	92	1718	0	400	0
186	92	1718	5	400	-0.00238164
186	92	490	0	0	0
186	92	490	5	0	0
186	92	490	0	400	0
186	92	490	5	400	-0.002530842
186	92	1925	0	0	0
186	92	1925	5	0	0
186	92	1925	0	400	0
186	92	1925	5	400	-0.002561906
186	92	1915	0	0	0
186	92	1915	5	0	0
186	92	1915	0	400	0
186	92	1915	5	400	-0.002590348
186	92	647	0	0	0
186	92	647	5	0	0
186	92	647	0	400	0
186	92	647	5	400	-0.002851754
186	92	902	0	0	0
186	92	902	5	0	0
186	92	902	0	400	0
186	92	902	5	400	-0.002870956
186	92	576	0	0	0
186	92	576	5	0	0
186	92	576	0	400	0
186	92	576	5	400	-0.002958752
186	92	977	0	0	0
186	92	977	5	0	0
186	92	977	0	400	0
186	92	977	5	400	-0.003039968
186	92	578	0	0	0
186	92	578	5	0	0
186	92	578	0	400	0
186	92	578	5	400	-0.003098904
186	92	1716	0	0	0
186	92	1716	5	0	0
186	92	1716	0	400	0
186	92	1716	5	400	-0.003149816
186	92	1668	0	0	0
186	92	1668	5	0	0
186	92	1668	0	400	0
186	92	1668	5	400	-0.00323765
186	92	771	0	0	0
186	92	771	5	0	0
186	92	771	0	400	0
186	92	771	5	400	-0.00329917
186	92	1669	0	0	0
186	92	1669	5	0	0
186	92	1669	0	400	0
186	92	1669	5	400	-0.003310044
186	92	1493	0	0	0
186	92	1493	5	0	0
186	92	1493	0	400	0
186	92	1493	5	400	-0.00332069
186	92	1542	0	0	0
186	92	1542	5	0	0
186	92	1542	0	400	0
186	92	1542	5	400	-0.003317346
186	92	577	0	0	0
186	92	577	5	0	0
186	92	577	0	400	0
186	92	577	5	400	-0.00332069
186	92	1580	0	0	0
186	92	1580	5	0	0
186	92	1580	0	400	0
186	92	1580	5	400	-0.003459512
186	92	1579	0	0	0
186	92	1579	5	0	0
186	92	1579	0	400	0
186	92	1579	5	400	-0.003585902
186	92	461	0	0	0
186	92	461	5	0	0
186	92	461	0	400	0
186	92	461	5	400	-0.00358613
186	92	1423	0	0	0
186	92	1423	5	0	0
186	92	1423	0	400	0
186	92	1423	5	400	-0.00358727
186	92	1897	0	0	0
186	92	1897	5	0	0
186	92	1897	0	400	0
186	92	1897	5	400	-0.00358594
186	92	1330	0	0	0
186	92	1330	5	0	0
186	92	1330	0	400	0
186	92	1330	5	400	-0.003695674
186	92	762	0	0	0
186	92	762	5	0	0
186	92	762	0	400	0
186	92	762	5	400	-0.003729702
186	92	1062	0	0	0
186	92	1062	5	0	0
186	92	1062	0	400	0
186	92	1062	5	400	-0.003813812
186	92	1640	0	0	0
186	92	1640	5	0	0
186	92	1640	0	400	0
186	92	1640	5	400	-0.004096206
186	92	2001	0	0	0
186	92	2001	5	0	0
186	92	2001	0	400	0
186	92	2001	5	400	-0.004136548
186	92	471	0	0	0
186	92	471	5	0	0
186	92	471	0	400	0
186	92	471	5	400	-0.004384838
186	92	1603	0	0	0
186	92	1603	5	0	0
186	92	1603	0	400	0
186	92	1603	5	400	-0.008019676
186	92	1117	0	0	0
186	92	1117	5	0	0
186	92	1117	0	400	0
186	92	1117	5	400	-0.00331803
186	92	2000	0	0	0
186	92	2000	5	0	0
186	92	2000	0	400	0
186	92	2000	5	400	-0.00393556
186	92	1570	0	0	0
186	92	1570	5	0	0
