name	drugA	drugB	concA	concB	bliss
156	173	106	0	0	0
156	173	106	0	0.4261	0
156	173	106	0	0.7687	0
156	173	106	0	2.08	0
156	173	106	0.5955	0	0
156	173	106	0.5955	0.4261	0.475919500920008
156	173	106	0.5955	0.7687	0.29000835413935
156	173	106	0.5955	2.08	0.161746352011032
156	173	106	1.1269	0	0
156	173	106	1.1269	0.4261	0.389737723306461
156	173	106	1.1269	0.7687	0.246912098720645
156	173	106	1.1269	2.08	0.17214590312506
156	173	106	2.1931	0	0
156	173	106	2.1931	0.4261	1.05630398624904
156	173	106	2.1931	0.7687	0.723774756001078
156	173	106	2.1931	2.08	0.267852408922326
156	173	177	0	0	0
156	173	177	0	0.0162	0
156	173	177	0	0.6658	0
156	173	177	0	4	0
156	173	177	0.5955	0	0
156	173	177	0.5955	0.0162	0.366333525239625
156	173	177	0.5955	0.6658	0.106584316620231
156	173	177	0.5955	4	0.0976288776822214
156	173	177	1.1269	0	0
156	173	177	1.1269	0.0162	0.2432140340484
156	173	177	1.1269	0.6658	0.061634839574495
156	173	177	1.1269	4	0.0731008421309281
156	173	177	2.1931	0	0
156	173	177	2.1931	0.0162	0.288036585556835
156	173	177	2.1931	0.6658	0.169550675242942
156	173	177	2.1931	4	0.119018248842221
156	173	68	0	0	0
156	173	68	0	0.1602	0
156	173	68	0	1.521	0
156	173	68	0	5	0
156	173	68	0.5955	0	0
156	173	68	0.5955	0.1602	0.807094210001484
156	173	68	0.5955	1.521	0.311024640001052
156	173	68	0.5955	5	0.370282860001058
156	173	68	1.1269	0	0
156	173	68	1.1269	0.1602	0.771428430001423
156	173	68	1.1269	1.521	0.141101120000892
156	173	68	1.1269	5	0.369071380001026
156	173	68	2.1931	0	0
156	173	68	2.1931	0.1602	0.947088450001732
156	173	68	2.1931	1.521	0.502024800001328
156	173	68	2.1931	5	0.514362700001293
156	173	87	0	0	0
156	173	87	0	0.009	0
156	173	87	0	0.0332	0
156	173	87	0	0.0567	0
156	173	87	0.5955	0	0
156	173	87	0.5955	0.009	0.0998824340077227
156	173	87	0.5955	0.0332	0.144703427711518
156	173	87	0.5955	0.0567	0.297112777060394
156	173	87	1.1269	0	0
156	173	87	1.1269	0.009	0.515144441484196
156	173	87	1.1269	0.0332	0.231022521056234
156	173	87	1.1269	0.0567	0.196207853373888
156	173	87	2.1931	0	0
156	173	87	2.1931	0.009	0.272686073907177
156	173	87	2.1931	0.0332	0.182973280712677
156	173	87	2.1931	0.0567	0.28805329708003
156	173	181	0	0	0
156	173	181	0	0.22	0
156	173	181	0	0.67	0
156	173	181	0	2	0
156	173	181	0.5955	0	0
156	173	181	0.5955	0.22	0.593736561971406
156	173	181	0.5955	0.67	0.677105657499737
156	173	181	0.5955	2	0.0399974600615251
156	173	181	1.1269	0	0
156	173	181	1.1269	0.22	-0.0382106777065858
156	173	181	1.1269	0.67	0.372640006505937
156	173	181	1.1269	2	-0.069102606076715
156	173	181	2.1931	0	0
156	173	181	2.1931	0.22	0.00623468677220671
156	173	181	2.1931	0.67	0.363718500353334
156	173	181	2.1931	2	-0.011925235935452
156	173	183	0	0	0
156	173	183	0	0.001	0
156	173	183	0	0.004	0
156	173	183	0	0.01	0
156	173	183	0.5955	0	0
156	173	183	0.5955	0.001	0.287740796492547
156	173	183	0.5955	0.004	0.305899104155385
156	173	183	0.5955	0.01	0.585889165720098
156	173	183	1.1269	0	0
156	173	183	1.1269	0.001	0.088187109303729
156	173	183	1.1269	0.004	0.338996023797601
156	173	183	1.1269	0.01	0.685715187283495
156	173	183	2.1931	0	0
156	173	183	2.1931	0.001	0.214678238765722
156	173	183	2.1931	0.004	0.397171752607644
156	173	183	2.1931	0.01	1.0714690267131
156	173	174	0	0	0
156	173	174	0	0.13	0
156	173	174	0	0.5	0
156	173	174	0	1.13	0
156	173	174	0.5955	0	0
156	173	174	0.5955	0.13	0.299294080001053
156	173	174	0.5955	0.5	0.238905550001031
156	173	174	0.5955	1.13	0.0838122000005477
156	173	174	1.1269	0	0
156	173	174	1.1269	0.13	0.227740640000967
156	173	174	1.1269	0.5	0.130155650000916
156	173	174	1.1269	1.13	-0.0370073999995621
156	173	174	2.1931	0	0
156	173	174	2.1931	0.13	0.27458560000117
156	173	174	2.1931	0.5	0.467244750001341
156	173	174	2.1931	1.13	0.444929000000898
156	173	180	0	0	0
156	173	180	0	1	0
156	173	180	0	2.5	0
156	173	180	0	5	0
156	173	180	0.5955	0	0
156	173	180	0.5955	1	0.346077104849641
156	173	180	0.5955	2.5	-0.0697939511261502
156	173	180	0.5955	5	0.0264724958504434
156	173	180	1.1269	0	0
156	173	180	1.1269	1	0.337352546883301
156	173	180	1.1269	2.5	0.0752635947268359
156	173	180	1.1269	5	0.0235794635235897
156	173	180	2.1931	0	0
156	173	180	2.1931	1	0.376426859574146
156	173	180	2.1931	2.5	-0.0656608688097961
156	173	180	2.1931	5	0.0217017852346437
156	173	178	0	0	0
156	173	178	0	0.3089	0
156	173	178	0	1.6151	0
156	173	178	0	7.4095	0
156	173	178	0.5955	0	0
156	173	178	0.5955	0.3089	0.206790774598725
156	173	178	0.5955	1.6151	0.103577385243989
156	173	178	0.5955	7.4095	0.162239333696904
156	173	178	1.1269	0	0
156	173	178	1.1269	0.3089	0.195414149933113
156	173	178	1.1269	1.6151	0.0316591808451227
156	173	178	1.1269	7.4095	0.0954406284951426
156	173	178	2.1931	0	0
156	173	178	2.1931	0.3089	0.247570521087544
156	173	178	2.1931	1.6151	0.122857454634235
156	173	178	2.1931	7.4095	0.159501849230039
156	173	182	0	0	0
156	173	182	0	0.25	0
156	173	182	0	1	0
156	173	182	0	4	0
156	173	182	0.5955	0	0
156	173	182	0.5955	0.25	0.107486767848935
156	173	182	0.5955	1	0.208422181650538
156	173	182	0.5955	4	0.379597346986315
156	173	182	1.1269	0	0
156	173	182	1.1269	0.25	0.0474081484193013
156	173	182	1.1269	1	0.0760136314153984
156	173	182	1.1269	4	0.488495877087197
156	173	182	2.1931	0	0
156	173	182	2.1931	0.25	0.0831113019254447
156	173	182	2.1931	1	0.381912511401506
156	173	182	2.1931	4	0.30315078811312
156	173	77	0	0	0
156	173	77	0	0.0184	0
156	173	77	0	0.0504	0
156	173	77	0	1	0
156	173	77	0.5955	0	0
156	173	77	0.5955	0.0184	0.1361528250181
156	173	77	0.5955	0.0504	0.234756044200527
156	173	77	0.5955	1	0.12118428388114
156	173	77	1.1269	0	0
156	173	77	1.1269	0.0184	0.193689440315265
156	173	77	1.1269	0.0504	0.253418362917742
156	173	77	1.1269	1	0.0912181922729479
156	173	77	2.1931	0	0
156	173	77	2.1931	0.0184	0.150298352153763
156	173	77	2.1931	0.0504	0.494031859885799
156	173	77	2.1931	1	0.138222674558055
156	173	76	0	0	0
156	173	76	0	0.001	0
156	173	76	0	0.0059	0
156	173	76	0	0.0119	0
156	173	76	0.5955	0	0
156	173	76	0.5955	0.001	0.193507370176983
156	173	76	0.5955	0.0059	0.117831230230421
156	173	76	0.5955	0.0119	0.17903243847308
156	173	76	1.1269	0	0
156	173	76	1.1269	0.001	0.0585161716334198
156	173	76	1.1269	0.0059	0.0936648019427569
156	173	76	1.1269	0.0119	0.110965924910762
156	173	76	2.1931	0	0
156	173	76	2.1931	0.001	0.0977858609648654
156	173	76	2.1931	0.0059	0.266970084171603
156	173	76	2.1931	0.0119	0.238373175621297
156	173	179	0	0	0
156	173	179	0	0.9533	0
156	173	179	0	2.143	0
156	173	179	0	4.3128	0
156	173	179	0.5955	0	0
156	173	179	0.5955	0.9533	0.254075133179477
156	173	179	0.5955	2.143	0.225332008459804
156	173	179	0.5955	4.3128	0.228142248746726
156	173	179	1.1269	0	0
156	173	179	1.1269	0.9533	0.142701313981399
156	173	179	1.1269	2.143	0.190047605733817
156	173	179	1.1269	4.3128	0.207540771807812
156	173	179	2.1931	0	0
156	173	179	2.1931	0.9533	0.157692898078725
156	173	179	2.1931	2.143	0.254271265305171
156	173	179	2.1931	4.3128	0.210076278703265
156	173	175	0	0	0
156	173	175	0	0.2087	0
156	173	175	0	0.4894	0
156	173	175	0	0.9389	0
156	173	175	0.5955	0	0
156	173	175	0.5955	0.2087	0.342624322346784
156	173	175	0.5955	0.4894	0.142061500472262
156	173	175	0.5955	0.9389	0.0317872072243958
156	173	175	1.1269	0	0
156	173	175	1.1269	0.2087	0.206064165549165
156	173	175	1.1269	0.4894	0.0886227698321463
156	173	175	1.1269	0.9389	0.059460729990561
156	173	175	2.1931	0	0
156	173	175	2.1931	0.2087	0.315441731721183
156	173	175	2.1931	0.4894	0.260557275718702
156	173	175	2.1931	0.9389	0.0591887908291292
156	173	2	0	0	0
156	173	2	0	0.3239	0
156	173	2	0	0.5941	0
156	173	2	0	1.3714	0
156	173	2	0.5955	0	0
156	173	2	0.5955	0.3239	0.172428239875575
156	173	2	0.5955	0.5941	-0.103289405106652
156	173	2	0.5955	1.3714	-0.0401802516141872
156	173	2	1.1269	0	0
156	173	2	1.1269	0.3239	-0.200143389922553
156	173	2	1.1269	0.5941	-0.265794325514715
156	173	2	1.1269	1.3714	-0.136179710034914
156	173	2	2.1931	0	0
156	173	2	2.1931	0.3239	0.222777177946089
156	173	2	2.1931	0.5941	-0.346352598055485
156	173	2	2.1931	1.3714	-0.216249654693932
156	173	176	0	0	0
156	173	176	0	0.27	0
156	173	176	0	0.5	0
156	173	176	0	1.3	0
156	173	176	0.5955	0	0
156	173	176	0.5955	0.27	0.182362100596163
156	173	176	0.5955	0.5	0.0637830065458429
156	173	176	0.5955	1.3	0.107362694401677
156	173	176	1.1269	0	0
156	173	176	1.1269	0.27	0.233817986871656
156	173	176	1.1269	0.5	0.0408230913328346
156	173	176	1.1269	1.3	0.101444748685547
156	173	176	2.1931	0	0
156	173	176	2.1931	0.27	0.176826890020872
156	173	176	2.1931	0.5	0.0562044681804102
156	173	176	2.1931	1.3	0.11047665731266
156	173	45	0	0	0
156	173	45	0	0.0416	0
156	173	45	0	0.1	0
156	173	45	0	0.5	0
156	173	45	0.5955	0	0
156	173	45	0.5955	0.0416	0.120193972500241
156	173	45	0.5955	0.1	0.172764015000306
156	173	45	0.5955	0.5	0.102513540000251
156	173	45	1.1269	0	0
156	173	45	1.1269	0.0416	0.162669967500255
156	173	45	1.1269	0.1	0.134306745000278
156	173	45	1.1269	0.5	0.0695398200002268
156	173	45	2.1931	0	0
156	173	45	2.1931	0.0416	0.0999640125002603
156	173	45	2.1931	0.1	0.20923417500036
156	173	45	2.1931	0.5	0.11473530000029
156	173	184	0	0	0
156	173	184	0	0.0013	0
156	173	184	0	0.0021	0
156	173	184	0	0.0042	0
156	173	184	0.5955	0	0
156	173	184	0.5955	0.0013	0.0944314204502345
156	173	184	0.5955	0.0021	0.0818295874296628
156	173	184	0.5955	0.0042	-0.0411181548076176
156	173	184	1.1269	0	0
156	173	184	1.1269	0.0013	-0.322582965298837
156	173	184	1.1269	0.0021	0.171390650106641
156	173	184	1.1269	0.0042	-0.2968421160898
156	173	184	2.1931	0	0
156	173	184	2.1931	0.0013	-0.145401993394024
156	173	184	2.1931	0.0021	0.201811160872364
156	173	184	2.1931	0.0042	-0.0979782459510329
156	172	173	0	0	0
156	172	173	0	0.5955	0
156	172	173	0	1.1269	0
156	172	173	0	2.1931	0
156	172	173	0.1007	0	0
156	172	173	0.1007	0.5955	0.189045750000973
156	172	173	0.1007	1.1269	0.209772250000956
156	172	173	0.1007	2.1931	0.359233750001236
156	172	173	0.551	0	0
156	172	173	0.551	0.5955	0.303381350001036
156	172	173	0.551	1.1269	0.227767050000948
156	172	173	0.551	2.1931	0.397375750001239
156	172	173	8.616	0	0
156	172	173	8.616	0.5955	0.234898290000857
156	172	173	8.616	1.1269	0.169499070000781
156	172	173	8.616	2.1931	0.286524050001007
156	172	106	0	0	0
156	172	106	0	0.4261	0
156	172	106	0	0.7687	0
156	172	106	0	2.08	0
156	172	106	0.1007	0	0
156	172	106	0.1007	0.4261	0.439143876398958
156	172	106	0.1007	0.7687	0.413626284286483
156	172	106	0.1007	2.08	0.160696381804425
156	172	106	0.551	0	0
156	172	106	0.551	0.4261	0.450403390900828
156	172	106	0.551	0.7687	0.235051142766219
156	172	106	0.551	2.08	0.150107972558826
156	172	106	8.616	0	0
156	172	106	8.616	0.4261	0.348941283253916
156	172	106	8.616	0.7687	0.205404985534388
156	172	106	8.616	2.08	0.147694838530821
156	172	177	0	0	0
156	172	177	0	0.0162	0
156	172	177	0	0.6658	0
156	172	177	0	4	0
156	172	177	0.1007	0	0
156	172	177	0.1007	0.0162	0.845099433271715
156	172	177	0.1007	0.6658	0.17376480365108
156	172	177	0.1007	4	0.0724339293140369
156	172	177	0.551	0	0
156	172	177	0.551	0.0162	0.331417506846855
156	172	177	0.551	0.6658	0.0410969605822794
156	172	177	0.551	4	0.0721682674723492
156	172	177	8.616	0	0
156	172	177	8.616	0.0162	0.284713865805393
156	172	177	8.616	0.6658	0.0121482526507307
156	172	177	8.616	4	0.0549720638538832
156	172	68	0	0	0
156	172	68	0	0.1602	0
156	172	68	0	1.521	0
156	172	68	0	5	0
156	172	68	0.1007	0	0
156	172	68	0.1007	0.1602	0.70281675
156	172	68	0.1007	1.521	0.376132
156	172	68	0.1007	5	0.3330805
156	172	68	0.551	0	0
156	172	68	0.551	0.1602	0.72696115
156	172	68	0.551	1.521	0.2812016
156	172	68	0.551	5	0.3840109
156	172	68	8.616	0	0
156	172	68	8.616	0.1602	0.67788121
156	172	68	8.616	1.521	0.41473264
