name	drugA	drugB	concA	concB	hsa
156	173	106	0	0	0
156	173	106	0	0.4261	0
156	173	106	0	0.7687	0
156	173	106	0	2.08	0
156	173	106	0.5955	0	0
156	173	106	0.5955	0.4261	0.395186931768358
156	173	106	0.5955	0.7687	0.228507364735984
156	173	106	0.5955	2.08	0.13438603963677
156	173	106	1.1269	0	0
156	173	106	1.1269	0.4261	0.316599202125258
156	173	106	1.1269	0.7687	0.219923009352342
156	173	106	1.1269	2.08	0.160139105787695
156	173	106	2.1931	0	0
156	173	106	2.1931	0.4261	0.788227774690806
156	173	106	2.1931	0.7687	0.519557890124213
156	173	106	2.1931	2.08	0.177001232434134
156	173	177	0	0	0
156	173	177	0	0.0162	0
156	173	177	0	0.6658	0
156	173	177	0	4	0
156	173	177	0.5955	0	0
156	173	177	0.5955	0.0162	0.262181986643212
156	173	177	0.5955	0.6658	0.0738952414583576
156	173	177	0.5955	4	0.0679460482901001
156	173	177	1.1269	0	0
156	173	177	1.1269	0.0162	0.180458859437147
156	173	177	1.1269	0.6658	0.0433143011373141
156	173	177	1.1269	4	0.0564651491934627
156	173	177	2.1931	0	0
156	173	177	2.1931	0.0162	-0.00542733411841043
156	173	177	2.1931	0.6658	0.0774438829973182
156	173	177	2.1931	4	0.0353820435796374
156	173	68	0	0	0
156	173	68	0	0.1602	0
156	173	68	0	1.521	0
156	173	68	0	5	0
156	173	68	0.5955	0	0
156	173	68	0.5955	0.1602	0.688500000000516
156	173	68	0.5955	1.521	0.256800000000193
156	173	68	0.5955	5	0.318600000000239
156	173	68	1.1269	0	0
156	173	68	1.1269	0.1602	0.657500000000493
156	173	68	1.1269	1.521	0.103900000000078
156	173	68	1.1269	5	0.358300000000269
156	173	68	2.1931	0	0
156	173	68	2.1931	0.1602	0.698400000000524
156	173	68	2.1931	1.521	0.270300000000203
156	173	68	2.1931	5	0.29350000000022
156	173	87	0	0	0
156	173	87	0	0.009	0
156	173	87	0	0.0332	0
156	173	87	0	0.0567	0
156	173	87	0.5955	0	0
156	173	87	0.5955	0.009	-0.100915850859315
156	173	87	0.5955	0.0332	0.025967371379653
156	173	87	0.5955	0.0567	0.166757290139478
156	173	87	1.1269	0	0
156	173	87	1.1269	0.009	0.349021162240264
156	173	87	1.1269	0.0332	0.132790491557562
156	173	87	1.1269	0.0567	0.0883629035573026
156	173	87	2.1931	0	0
156	173	87	2.1931	0.009	-0.0715025723771487
156	173	87	2.1931	0.0332	-0.0205523745042751
156	173	87	2.1931	0.0567	0.0646107581721223
156	173	181	0	0	0
156	173	181	0	0.22	0
156	173	181	0	0.67	0
156	173	181	0	2	0
156	173	181	0.5955	0	0
156	173	181	0.5955	0.22	0.548180284291015
156	173	181	0.5955	0.67	0.627756464300961
156	173	181	0.5955	2	0.0305830072351749
156	173	181	1.1269	0	0
156	173	181	1.1269	0.22	-0.0514076207143896
156	173	181	1.1269	0.67	0.358344315038465
156	173	181	1.1269	2	-0.0718298262036677
156	173	181	2.1931	0	0
156	173	181	2.1931	0.22	-0.173136037670185
156	173	181	2.1931	0.67	0.169413763763272
156	173	181	2.1931	2	-0.0489931727747705
156	173	183	0	0	0
156	173	183	0	0.001	0
156	173	183	0	0.004	0
156	173	183	0	0.01	0
156	173	183	0.5955	0	0
156	173	183	0.5955	0.001	0.242700007417821
156	173	183	0.5955	0.004	0.219400006705685
156	173	183	0.5955	0.01	0.401000012256061
156	173	183	1.1269	0	0
156	173	183	1.1269	0.001	0.078800002408423
156	173	183	1.1269	0.004	0.255900007821262
156	173	183	1.1269	0.01	0.508100015529438
156	173	183	2.1931	0	0
156	173	183	2.1931	0.001	0.0222000006785151
156	173	183	2.1931	0.004	0.155300004746549
156	173	183	2.1931	0.01	0.8087000247169
156	173	174	0	0	0
156	173	174	0	0.13	0
156	173	174	0	0.5	0
156	173	174	0	1.13	0
156	173	174	0.5955	0	0
156	173	174	0.5955	0.13	0.244400000000183
156	173	174	0.5955	0.5	0.156300000000117
156	173	174	0.5955	1.13	0.0517000000000388
156	173	174	1.1269	0	0
156	173	174	1.1269	0.13	0.177600000000133
156	173	174	1.1269	0.5	0.0508000000000381
156	173	174	1.1269	1.13	-0.0437000000000328
156	173	174	2.1931	0	0
156	173	174	2.1931	0.13	0.04000000000003
156	173	174	2.1931	0.5	0.22620000000017
156	173	174	2.1931	1.13	0.307700000000231
156	173	180	0	0	0
156	173	180	0	1	0
156	173	180	0	2.5	0
156	173	180	0	5	0
156	173	180	0.5955	0	0
156	173	180	0.5955	1	0.276413815796997
156	173	180	0.5955	2.5	-0.0836261157840013
156	173	180	0.5955	5	0.0235007697641173
156	173	180	1.1269	0	0
156	173	180	1.1269	1	0.309274199493143
156	173	180	1.1269	2.5	0.069688429820001
156	173	180	1.1269	5	0.0223816854896354
156	173	180	2.1931	0	0
156	173	180	2.1931	1	0.134798787608031
156	173	180	2.1931	2.5	-0.113637921326922
156	173	180	2.1931	5	0.0113943126129054
156	173	178	0	0	0
156	173	178	0	0.3089	0
156	173	178	0	1.6151	0
156	173	178	0	7.4095	0
156	173	178	0.5955	0	0
156	173	178	0.5955	0.3089	0.0580348750317012
156	173	178	0.5955	1.6151	-0.00330056161317742
156	173	178	0.5955	7.4095	0.072887402290999
156	173	178	1.1269	0	0
156	173	178	1.1269	0.3089	0.0655986620618991
156	173	178	1.1269	1.6151	-0.0616104834459766
156	173	178	1.1269	7.4095	0.0174654718697299
156	173	178	2.1931	0	0
156	173	178	2.1931	0.3089	0.020490986681809
156	173	178	2.1931	1.6151	-0.0402943563608731
156	173	178	2.1931	7.4095	0.0231039312922414
156	173	182	0	0	0
156	173	182	0	0.25	0
156	173	182	0	1	0
156	173	182	0	4	0
156	173	182	0.5955	0	0
156	173	182	0.5955	0.25	0.0479998906546416
156	173	182	0.5955	1	0.00907174966917871
156	173	182	0.5955	4	0.250908519331082
156	173	182	1.1269	0	0
156	173	182	1.1269	0.25	0.00149281956581405
156	173	182	1.1269	1	-0.0778562819709261
156	173	182	1.1269	4	0.389166577580337
156	173	182	2.1931	0	0
156	173	182	2.1931	0.25	-0.0324975336250327
156	173	182	2.1931	1	-0.00551194916608324
156	173	182	2.1931	4	0.0530525107235514
156	173	77	0	0	0
156	173	77	0	0.0184	0
156	173	77	0	0.0504	0
156	173	77	0	1	0
156	173	77	0.5955	0	0
156	173	77	0.5955	0.0184	0.0118538510214806
156	173	77	0.5955	0.0504	0.132547606876556
156	173	77	0.5955	1	0.0881495466870103
156	173	77	1.1269	0	0
156	173	77	1.1269	0.0184	0.110779625909837
156	173	77	1.1269	0.0504	0.185243362781138
156	173	77	1.1269	1	0.0691833850526415
156	173	77	2.1931	0	0
156	173	77	2.1931	0.0184	-0.145155793872131
156	173	77	2.1931	0.0504	0.251086117091363
156	173	77	2.1931	1	0.0597003042354569
156	173	76	0	0	0
156	173	76	0	0.001	0
156	173	76	0	0.0059	0
156	173	76	0	0.0119	0
156	173	76	0.5955	0	0
156	173	76	0.5955	0.001	0.0308438677491745
156	173	76	0.5955	0.0059	0.039348610694719
156	173	76	0.5955	0.0119	0.115891297204619
156	173	76	1.1269	0	0
156	173	76	1.1269	0.001	-0.0646360463861379
156	173	76	1.1269	0.0059	0.0342457649273923
156	173	76	1.1269	0.0119	0.0631618909422436
156	173	76	2.1931	0	0
156	173	76	2.1931	0.001	-0.228267300658413
156	173	76	2.1931	0.0059	0.10965448571122
156	173	76	2.1931	0.0119	0.111809020590758
156	173	179	0	0	0
156	173	179	0	0.9533	0
156	173	179	0	2.143	0
156	173	179	0	4.3128	0
156	173	179	0.5955	0	0
156	173	179	0.5955	0.9533	0.100315351885035
156	173	179	0.5955	2.143	0.0809872922274028
156	173	179	0.5955	4.3128	0.082620649381569
156	173	179	1.1269	0	0
156	173	179	1.1269	0.9533	0.00898346434791364
156	173	179	1.1269	2.143	0.0645176075895611
156	173	179	1.1269	4.3128	0.0809872922274028
156	173	179	2.1931	0	0
156	173	179	2.1931	0.9533	-0.0789455957846953
156	173	179	2.1931	2.143	0.0321226906986001
156	173	179	2.1931	4.3128	-0.0138835358104119
156	173	175	0	0	0
156	173	175	0	0.2087	0
156	173	175	0	0.4894	0
156	173	175	0	0.9389	0
156	173	175	0.5955	0	0
156	173	175	0.5955	0.2087	0.160794444555993
156	173	175	0.5955	0.4894	0.0593957403731484
156	173	175	0.5955	0.9389	0.00922882021734182
156	173	175	1.1269	0	0
156	173	175	1.1269	0.2087	0.0605789224522946
156	173	175	1.1269	0.4894	0.0224804595037813
156	173	175	1.1269	0.9389	0.0414113727701233
156	173	175	2.1931	0	0
156	173	175	2.1931	0.2087	-0.0166828673159639
156	173	175	2.1931	0.4894	0.109562660528955
156	173	175	2.1931	0.9389	0.0179843676030249
156	173	2	0	0	0
156	173	2	0	0.3239	0
156	173	2	0	0.5941	0
156	173	2	0	1.3714	0
156	173	2	0.5955	0	0
156	173	2	0.5955	0.3239	-0.024222537129205
156	173	2	0.5955	0.5941	-0.177956529059788
156	173	2	0.5955	1.3714	-0.0691376939165252
156	173	2	1.1269	0	0
156	173	2	1.1269	0.3239	-0.361512237556478
156	173	2	1.1269	0.5941	-0.327065111890322
156	173	2	1.1269	1.3714	-0.159941777828018
156	173	2	2.1931	0	0
156	173	2	2.1931	0.3239	-0.119773751432853
156	173	2	2.1931	0.5941	-0.476417137305069
156	173	2	2.1931	1.3714	-0.266691351005469
156	173	176	0	0	0
156	173	176	0	0.27	0
156	173	176	0	0.5	0
156	173	176	0	1.3	0
156	173	176	0.5955	0	0
156	173	176	0.5955	0.27	0.0153636728379922
156	173	176	0.5955	0.5	-0.00946511987340585
156	173	176	0.5955	1.3	0.0429359785561745
156	173	176	1.1269	0	0
156	173	176	1.1269	0.27	0.0882039431681153
156	173	176	1.1269	0.5	-0.0230455092569881
156	173	176	1.1269	1.3	0.045267964611941
156	173	176	2.1931	0	0
156	173	176	2.1931	0.27	-0.0786016476443702
156	173	176	2.1931	0.5	-0.0558304896880604
156	173	176	2.1931	1.3	0.0119342815795117
156	173	45	0	0	0
156	173	45	0	0.0416	0
156	173	45	0	0.1	0
156	173	45	0	0.5	0
156	173	45	0.5955	0	0
156	173	45	0.5955	0.0416	-0.0123000000000061
156	173	45	0.5955	0.1	0.0115500000000057
156	173	45	0.5955	0.5	-0.0439500000000221
156	173	45	1.1269	0	0
156	173	45	1.1269	0.0416	0.0444000000000221
156	173	45	1.1269	0.1	-0.00960000000000491
156	173	45	1.1269	0.5	-0.0612000000000306
156	173	45	2.1931	0	0
156	173	45	2.1931	0.0416	-0.0913500000000457
156	173	45	2.1931	0.1	-0.023550000000012
156	173	45	2.1931	0.5	-0.0967500000000484
156	173	184	0	0	0
156	173	184	0	0.0013	0
156	173	184	0	0.0021	0
156	173	184	0	0.0042	0
156	173	184	0.5955	0	0
156	173	184	0.5955	0.0013	-0.0242768321302547
156	173	184	0.5955	0.0021	-0.0399533515327511
156	173	184	0.5955	0.0042	-0.102659429142736
156	173	184	1.1269	0	0
156	173	184	1.1269	0.0013	-0.404541292358864
156	173	184	1.1269	0.0021	0.0873095038944588
156	173	184	1.1269	0.0042	-0.339331326233202
156	173	184	2.1931	0	0
156	173	184	2.1931	0.0013	-0.41608095247459
156	173	184	2.1931	0.0021	-0.0758787084968052
156	173	184	2.1931	0.0042	-0.238304867861559
156	172	173	0	0	0
156	172	173	0	0.5955	0
156	172	173	0	1.1269	0
156	172	173	0	2.1931	0
156	172	173	0.1007	0	0
156	172	173	0.1007	0.5955	0.1338000000001
156	172	173	0.1007	1.1269	0.156700000000118
156	172	173	0.1007	2.1931	0.124000000000093
156	172	173	0.551	0	0
156	172	173	0.551	0.5955	0.249800000000187
156	172	173	0.551	1.1269	0.203000000000152
156	172	173	0.551	2.1931	0.168400000000126
156	172	173	8.616	0	0
156	172	173	8.616	0.5955	0.189800000000142
156	172	173	8.616	1.1269	0.16010000000012
156	172	173	8.616	2.1931	0.0938000000000704
156	172	106	0	0	0
156	172	106	0	0.4261	0
156	172	106	0	0.7687	0
156	172	106	0	2.08	0
156	172	106	0.1007	0	0
156	172	106	0.1007	0.4261	0.358192447852878
156	172	106	0.1007	0.7687	0.351958570729047
156	172	106	0.1007	2.08	0.133261897860243
156	172	106	0.551	0	0
156	172	106	0.551	0.4261	0.376280910982681
156	172	106	0.551	0.7687	0.196724810874976
156	172	106	0.551	2.08	0.133057508446347
156	172	106	8.616	0	0
156	172	106	8.616	0.4261	0.286553958282302
156	172	106	8.616	0.7687	0.3022919431523
156	172	106	8.616	2.08	0.190797517871989
156	172	177	0	0	0
156	172	177	0	0.0162	0
156	172	177	0	0.6658	0
156	172	177	0	4	0
156	172	177	0.1007	0	0
156	172	177	0.1007	0.0162	0.740726735352524
156	172	177	0.1007	0.6658	0.141006315268601
156	172	177	0.1007	4	0.0426880702774669
156	172	177	0.551	0	0
156	172	177	0.551	0.0162	0.258007114244249
156	172	177	0.551	0.6658	0.0180563231246988
156	172	177	0.551	4	0.0512465586949541
156	172	177	8.616	0	0
156	172	177	8.616	0.0162	0.231183559082125
156	172	177	8.616	0.6658	0.04540173733667
156	172	177	8.616	4	0.085167396934995
156	172	68	0	0	0
156	172	68	0	0.1602	0
156	172	68	0	1.521	0
156	172	68	0	5	0
156	172	68	0.1007	0	0
156	172	68	0.1007	0.1602	0.5842
156	172	68	0.1007	1.521	0.3217
156	172	68	0.1007	5	0.2812
156	172	68	0.551	0	0
156	172	68	0.551	0.1602	0.6115
156	172	68	0.551	1.521	0.2435
