name	drugA	drugB	concA	concB	loewe
156	173	106	0	0	0
156	173	106	0	0.4261	0
156	173	106	0	0.7687	0
156	173	106	0	2.08	0
156	173	106	0.5955	0	0
156	173	106	0.5955	0.4261	-0.244610622501432
156	173	106	0.5955	0.7687	-0.220082178667703
156	173	106	0.5955	2.08	0.134323239408886
156	173	106	1.1269	0	0
156	173	106	1.1269	0.4261	-0.352461188855773
156	173	106	1.1269	0.7687	-0.232802356234504
156	173	106	1.1269	2.08	0.160071664071
156	173	106	2.1931	0	0
156	173	106	2.1931	0.4261	0.0802635423767619
156	173	106	2.1931	0.7687	0.0666668122514626
156	173	106	2.1931	2.08	0.176932915159862
156	173	177	0	0	NA
156	173	177	0	0.0162	NA
156	173	177	0	0.6658	NA
156	173	177	0	4	NA
156	173	177	0.5955	0	NA
156	173	177	0.5955	0.0162	NA
156	173	177	0.5955	0.6658	NA
156	173	177	0.5955	4	NA
156	173	177	1.1269	0	NA
156	173	177	1.1269	0.0162	NA
156	173	177	1.1269	0.6658	NA
156	173	177	1.1269	4	NA
156	173	177	2.1931	0	NA
156	173	177	2.1931	0.0162	NA
156	173	177	2.1931	0.6658	NA
156	173	177	2.1931	4	NA
156	173	68	0	0	0
156	173	68	0	0.1602	0
156	173	68	0	1.521	0
156	173	68	0	5	0
156	173	68	0.5955	0	0
156	173	68	0.5955	0.1602	0.748250839697805
156	173	68	0.5955	1.521	0.232266135416976
156	173	68	0.5955	5	0.317794811798331
156	173	68	1.1269	0	0
156	173	68	1.1269	0.1602	0.755352501277961
156	173	68	1.1269	1.521	0.0942390944202029
156	173	68	1.1269	5	0.357001782365925
156	173	68	2.1931	0	0
156	173	68	2.1931	0.1602	0.592171414862698
156	173	68	2.1931	1.521	0.225426414763871
156	173	68	2.1931	5	0.291579064920617
156	173	87	0	0	NA
156	173	87	0	0.009	NA
156	173	87	0	0.0332	NA
156	173	87	0	0.0567	NA
156	173	87	0.5955	0	NA
156	173	87	0.5955	0.009	NA
156	173	87	0.5955	0.0332	NA
156	173	87	0.5955	0.0567	NA
156	173	87	1.1269	0	NA
156	173	87	1.1269	0.009	NA
156	173	87	1.1269	0.0332	NA
156	173	87	1.1269	0.0567	NA
156	173	87	2.1931	0	NA
156	173	87	2.1931	0.009	NA
156	173	87	2.1931	0.0332	NA
156	173	87	2.1931	0.0567	NA
156	173	181	0	0	NA
156	173	181	0	0.22	NA
156	173	181	0	0.67	NA
156	173	181	0	2	NA
156	173	181	0.5955	0	NA
156	173	181	0.5955	0.22	NA
156	173	181	0.5955	0.67	NA
156	173	181	0.5955	2	NA
156	173	181	1.1269	0	NA
156	173	181	1.1269	0.22	NA
156	173	181	1.1269	0.67	NA
156	173	181	1.1269	2	NA
156	173	181	2.1931	0	NA
156	173	181	2.1931	0.22	NA
156	173	181	2.1931	0.67	NA
156	173	181	2.1931	2	NA
156	173	183	0	0	0
156	173	183	0	0.001	0
156	173	183	0	0.004	0
156	173	183	0	0.01	0
156	173	183	0.5955	0	0
156	173	183	0.5955	0.001	0.413099463556337
156	173	183	0.5955	0.004	0.329882573718744
156	173	183	0.5955	0.01	0.380299462553997
156	173	183	1.1269	0	0
156	173	183	1.1269	0.001	0.250763914045873
156	173	183	1.1269	0.004	0.420388832843436
156	173	183	1.1269	0.01	0.528800523907635
156	173	183	2.1931	0	0
156	173	183	2.1931	0.001	0.337107291564003
156	173	183	2.1931	0.004	0.24920728887745
156	173	183	2.1931	0.01	0.80910730599009
156	173	174	0	0	0
156	173	174	0	0.13	0
156	173	174	0	0.5	0
156	173	174	0	1.13	0
156	173	174	0.5955	0	0
156	173	174	0.5955	0.13	0.226399457727327
156	173	174	0.5955	0.5	0.16529048386556
156	173	174	0.5955	1.13	-0.0296610895201287
156	173	174	1.1269	0	0
156	173	174	1.1269	0.13	0.198335431146595
156	173	174	1.1269	0.5	-0.42733718763759
156	173	174	1.1269	1.13	-0.125132448173761
156	173	174	2.1931	0	0
156	173	174	2.1931	0.13	-0.477032740028939
156	173	174	2.1931	0.5	-0.319733162598097
156	173	174	2.1931	1.13	0.226266801160871
156	173	180	0	0	NA
156	173	180	0	1	NA
156	173	180	0	2.5	NA
156	173	180	0	5	NA
156	173	180	0.5955	0	NA
156	173	180	0.5955	1	NA
156	173	180	0.5955	2.5	NA
156	173	180	0.5955	5	NA
156	173	180	1.1269	0	NA
156	173	180	1.1269	1	NA
156	173	180	1.1269	2.5	NA
156	173	180	1.1269	5	NA
156	173	180	2.1931	0	NA
156	173	180	2.1931	1	NA
156	173	180	2.1931	2.5	NA
156	173	180	2.1931	5	NA
156	173	178	0	0	NA
156	173	178	0	0.3089	NA
156	173	178	0	1.6151	NA
156	173	178	0	7.4095	NA
156	173	178	0.5955	0	NA
156	173	178	0.5955	0.3089	NA
156	173	178	0.5955	1.6151	NA
156	173	178	0.5955	7.4095	NA
156	173	178	1.1269	0	NA
156	173	178	1.1269	0.3089	NA
156	173	178	1.1269	1.6151	NA
156	173	178	1.1269	7.4095	NA
156	173	178	2.1931	0	NA
156	173	178	2.1931	0.3089	NA
156	173	178	2.1931	1.6151	NA
156	173	178	2.1931	7.4095	NA
156	173	182	0	0	NA
156	173	182	0	0.25	NA
156	173	182	0	1	NA
156	173	182	0	4	NA
156	173	182	0.5955	0	NA
156	173	182	0.5955	0.25	NA
156	173	182	0.5955	1	NA
156	173	182	0.5955	4	NA
156	173	182	1.1269	0	NA
156	173	182	1.1269	0.25	NA
156	173	182	1.1269	1	NA
156	173	182	1.1269	4	NA
156	173	182	2.1931	0	NA
156	173	182	2.1931	0.25	NA
156	173	182	2.1931	1	NA
156	173	182	2.1931	4	NA
156	173	77	0	0	NA
156	173	77	0	0.0184	NA
156	173	77	0	0.0504	NA
156	173	77	0	1	NA
156	173	77	0.5955	0	NA
156	173	77	0.5955	0.0184	NA
156	173	77	0.5955	0.0504	NA
156	173	77	0.5955	1	NA
156	173	77	1.1269	0	NA
156	173	77	1.1269	0.0184	NA
156	173	77	1.1269	0.0504	NA
156	173	77	1.1269	1	NA
156	173	77	2.1931	0	NA
156	173	77	2.1931	0.0184	NA
156	173	77	2.1931	0.0504	NA
156	173	77	2.1931	1	NA
156	173	76	0	0	NA
156	173	76	0	0.001	NA
156	173	76	0	0.0059	NA
156	173	76	0	0.0119	NA
156	173	76	0.5955	0	NA
156	173	76	0.5955	0.001	NA
156	173	76	0.5955	0.0059	NA
156	173	76	0.5955	0.0119	NA
156	173	76	1.1269	0	NA
156	173	76	1.1269	0.001	NA
156	173	76	1.1269	0.0059	NA
156	173	76	1.1269	0.0119	NA
156	173	76	2.1931	0	NA
156	173	76	2.1931	0.001	NA
156	173	76	2.1931	0.0059	NA
156	173	76	2.1931	0.0119	NA
156	173	179	0	0	NA
156	173	179	0	0.9533	NA
156	173	179	0	2.143	NA
156	173	179	0	4.3128	NA
156	173	179	0.5955	0	NA
156	173	179	0.5955	0.9533	NA
156	173	179	0.5955	2.143	NA
156	173	179	0.5955	4.3128	NA
156	173	179	1.1269	0	NA
156	173	179	1.1269	0.9533	NA
156	173	179	1.1269	2.143	NA
156	173	179	1.1269	4.3128	NA
156	173	179	2.1931	0	NA
156	173	179	2.1931	0.9533	NA
156	173	179	2.1931	2.143	NA
156	173	179	2.1931	4.3128	NA
156	173	175	0	0	NA
156	173	175	0	0.2087	NA
156	173	175	0	0.4894	NA
156	173	175	0	0.9389	NA
156	173	175	0.5955	0	NA
156	173	175	0.5955	0.2087	NA
156	173	175	0.5955	0.4894	NA
156	173	175	0.5955	0.9389	NA
156	173	175	1.1269	0	NA
156	173	175	1.1269	0.2087	NA
156	173	175	1.1269	0.4894	NA
156	173	175	1.1269	0.9389	NA
156	173	175	2.1931	0	NA
156	173	175	2.1931	0.2087	NA
156	173	175	2.1931	0.4894	NA
156	173	175	2.1931	0.9389	NA
156	173	2	0	0	NA
156	173	2	0	0.3239	NA
156	173	2	0	0.5941	NA
156	173	2	0	1.3714	NA
156	173	2	0.5955	0	NA
156	173	2	0.5955	0.3239	NA
156	173	2	0.5955	0.5941	NA
156	173	2	0.5955	1.3714	NA
156	173	2	1.1269	0	NA
156	173	2	1.1269	0.3239	NA
156	173	2	1.1269	0.5941	NA
156	173	2	1.1269	1.3714	NA
156	173	2	2.1931	0	NA
156	173	2	2.1931	0.3239	NA
156	173	2	2.1931	0.5941	NA
156	173	2	2.1931	1.3714	NA
156	173	176	0	0	NA
156	173	176	0	0.27	NA
156	173	176	0	0.5	NA
156	173	176	0	1.3	NA
156	173	176	0.5955	0	NA
156	173	176	0.5955	0.27	NA
156	173	176	0.5955	0.5	NA
156	173	176	0.5955	1.3	NA
156	173	176	1.1269	0	NA
156	173	176	1.1269	0.27	NA
156	173	176	1.1269	0.5	NA
156	173	176	1.1269	1.3	NA
156	173	176	2.1931	0	NA
156	173	176	2.1931	0.27	NA
156	173	176	2.1931	0.5	NA
156	173	176	2.1931	1.3	NA
156	173	45	0	0	NA
156	173	45	0	0.0416	NA
156	173	45	0	0.1	NA
156	173	45	0	0.5	NA
156	173	45	0.5955	0	NA
156	173	45	0.5955	0.0416	NA
156	173	45	0.5955	0.1	NA
156	173	45	0.5955	0.5	NA
156	173	45	1.1269	0	NA
156	173	45	1.1269	0.0416	NA
156	173	45	1.1269	0.1	NA
156	173	45	1.1269	0.5	NA
156	173	45	2.1931	0	NA
156	173	45	2.1931	0.0416	NA
156	173	45	2.1931	0.1	NA
156	173	45	2.1931	0.5	NA
156	173	184	0	0	NA
156	173	184	0	0.0013	NA
156	173	184	0	0.0021	NA
156	173	184	0	0.0042	NA
156	173	184	0.5955	0	NA
156	173	184	0.5955	0.0013	NA
156	173	184	0.5955	0.0021	NA
156	173	184	0.5955	0.0042	NA
156	173	184	1.1269	0	NA
156	173	184	1.1269	0.0013	NA
156	173	184	1.1269	0.0021	NA
156	173	184	1.1269	0.0042	NA
156	173	184	2.1931	0	NA
156	173	184	2.1931	0.0013	NA
156	173	184	2.1931	0.0021	NA
156	173	184	2.1931	0.0042	NA
156	172	173	0	0	0
156	172	173	0	0.5955	0
156	172	173	0	1.1269	0
156	172	173	0	2.1931	0
156	172	173	0.1007	0	0
156	172	173	0.1007	0.5955	0.133528888126833
156	172	173	0.1007	1.1269	0.194052964587655
156	172	173	0.1007	2.1931	-0.0532349448479189
156	172	173	0.551	0	0
156	172	173	0.551	0.5955	0.16010380675468
156	172	173	0.551	1.1269	0.0850234384580768
156	172	173	0.551	2.1931	0.0138306866472413
156	172	173	8.616	0	0
156	172	173	8.616	0.5955	0.189753816426457
156	172	173	8.616	1.1269	0.160021687015335
156	172	173	8.616	2.1931	0.0936749110431007
156	172	106	0	0	0
156	172	106	0	0.4261	0
156	172	106	0	0.7687	0
156	172	106	0	2.08	0
156	172	106	0.1007	0	0
156	172	106	0.1007	0.4261	0.346033531571607
156	172	106	0.1007	0.7687	0.142792505579455
156	172	106	0.1007	2.08	0.133235549208751
156	172	106	0.551	0	0
156	172	106	0.551	0.4261	0.255195168026566
156	172	106	0.551	0.7687	-0.250209978321233
156	172	106	0.551	2.08	0.132995712504801
156	172	106	8.616	0	0
156	172	106	8.616	0.4261	-0.231845967147071
156	172	106	8.616	0.7687	-0.150601175133568
156	172	106	8.616	2.08	0.190729146056242
156	172	177	0	0	0
156	172	177	0	0.0162	0
156	172	177	0	0.6658	0
156	172	177	0	4	0
156	172	177	0.1007	0	0
156	172	177	0.1007	0.0162	0.74032637454615
156	172	177	0.1007	0.6658	0.131361588305681
156	172	177	0.1007	4	0.0426730526621061
156	172	177	0.551	0	0
156	172	177	0.551	0.0162	0.23422430998676
156	172	177	0.551	0.6658	-0.0067188819436808
156	172	177	0.551	4	0.0511783883942948
156	172	177	8.616	0	0
156	172	177	8.616	0.0162	0.231128089044525
156	172	177	8.616	0.6658	0.0146153503289021
156	172	177	8.616	4	0.0849491904135463
156	172	68	0	0	0
156	172	68	0	0.1602	0
156	172	68	0	1.521	0
156	172	68	0	5	0
156	172	68	0.1007	0	0
156	172	68	0.1007	0.1602	0.58410623488432
156	172	68	0.1007	1.521	0.306271658547657
156	172	68	0.1007	5	0.280254472765683
156	172	68	0.551	0	0
156	172	68	0.551	0.1602	0.604613170591687
156	172	68	0.551	1.521	0.207063697686259
156	172	68	0.551	5	0.356885201078658
156	172	68	8.616	0	0
156	172	68	8.616	0.1602	0.580686316100056
156	172	68	8.616	1.521	0.382902062847662
156	172	68	8.616	5	0.490511418754932
156	172	87	0	0	NA
156	172	87	0	0.009	NA
156	172	87	0	0.0332	NA
156	172	87	0	0.0567	NA
156	172	87	0.1007	0	NA
156	172	87	0.1007	0.009	NA
156	172	87	0.1007	0.0332	NA
156	172	87	0.1007	0.0567	NA
156	172	87	0.551	0	NA
156	172	87	0.551	0.009	NA
156	172	87	0.551	0.0332	NA
156	172	87	0.551	0.0567	NA
156	172	87	8.616	0	NA
156	172	87	8.616	0.009	NA
156	172	87	8.616	0.0332	NA
156	172	87	8.616	0.0567	NA
156	172	181	0	0	NA
156	172	181	0	0.22	NA
156	172	181	0	0.67	NA
156	172	181	0	2	NA
156	172	181	0.1007	0	NA
156	172	181	0.1007	0.22	NA
156	172	181	0.1007	0.67	NA
156	172	181	0.1007	2	NA
156	172	181	0.551	0	NA
156	172	181	0.551	0.22	NA
156	172	181	0.551	0.67	NA
156	172	181	0.551	2	NA
156	172	181	8.616	0	NA
156	172	181	8.616	0.22	NA
156	172	181	8.616	0.67	NA
156	172	181	8.616	2	NA
156	172	183	0	0	0
