name	drugA	drugB	concA	concB	experiments
156	173	106	0	0	0
156	173	106	0	0.4261	-4.78
156	173	106	0	0.7687	20.18
156	173	106	0	2.08	64.49
156	173	106	0.5955	0	-5.23
156	173	106	0.5955	0.4261	33.89
156	173	106	0.5955	0.7687	42.54
156	173	106	0.5955	2.08	77.64
156	173	106	1.1269	0	-1.09
156	173	106	1.1269	0.4261	29.89
156	173	106	1.1269	0.7687	41.7
156	173	106	1.1269	2.08	80.16
156	173	106	2.1931	0	-22.35
156	173	106	2.1931	0.4261	72.35
156	173	106	2.1931	0.7687	71.02
156	173	106	2.1931	2.08	81.81
156	173	177	0	0	0
156	173	177	0	0.0162	-1.51
156	173	177	0	0.6658	68.14
156	173	177	0	4	71.07
156	173	177	0.5955	0	-5.23
156	173	177	0.5955	0.0162	23.61
156	173	177	0.5955	0.6658	75.22
156	173	177	0.5955	4	77.58
156	173	177	1.1269	0	-1.09
156	173	177	1.1269	0.0162	16.2
156	173	177	1.1269	0.6658	72.29
156	173	177	1.1269	4	76.48
156	173	177	2.1931	0	-22.35
156	173	177	2.1931	0.0162	-2.03
156	173	177	2.1931	0.6658	75.56
156	173	177	2.1931	4	74.46
156	173	68	0	0	0
156	173	68	0	0.1602	-11.27
156	173	68	0	1.521	-3.68
156	173	68	0	5	1.18
156	173	68	0.5955	0	-5.23
156	173	68	0.5955	0.1602	63.62
156	173	68	0.5955	1.521	22
156	173	68	0.5955	5	33.04
156	173	68	1.1269	0	-1.09
156	173	68	1.1269	0.1602	64.66
156	173	68	1.1269	1.521	9.3
156	173	68	1.1269	5	37.01
156	173	68	2.1931	0	-22.35
156	173	68	2.1931	0.1602	58.57
156	173	68	2.1931	1.521	23.35
156	173	68	2.1931	5	30.53
156	173	87	0	0	0
156	173	87	0	0.009	44.7
156	173	87	0	0.0332	67.3
156	173	87	0	0.0567	64.1
156	173	87	0.5955	0	-5.23
156	173	87	0.5955	0.009	36.5
156	173	87	0.5955	0.0332	69.41
156	173	87	0.5955	0.0567	77.65
156	173	87	1.1269	0	-1.09
156	173	87	1.1269	0.009	73.06
156	173	87	1.1269	0.0332	78.09
156	173	87	1.1269	0.0567	71.28
156	173	87	2.1931	0	-22.35
156	173	87	2.1931	0.009	38.89
156	173	87	2.1931	0.0332	65.63
156	173	87	2.1931	0.0567	69.35
156	173	181	0	0	0
156	173	181	0	0.22	22.77
156	173	181	0	0.67	16.34
156	173	181	0	2	84.04
156	173	181	0.5955	0	-5.23
156	173	181	0.5955	0.22	77.26
156	173	181	0.5955	0.67	78.74
156	173	181	0.5955	2	87.08
156	173	181	1.1269	0	-1.09
156	173	181	1.1269	0.22	17.66
156	173	181	1.1269	0.67	51.96
156	173	181	1.1269	2	76.9
156	173	181	2.1931	0	-22.35
156	173	181	2.1931	0.22	5.56
156	173	181	2.1931	0.67	33.18
156	173	181	2.1931	2	79.17
156	173	183	0	0	0
156	173	183	0	0.001	13.88
156	173	183	0	0.004	-8.22
156	173	183	0	0.01	-17.57
156	173	183	0.5955	0	-5.23
156	173	183	0.5955	0.001	38.15
156	173	183	0.5955	0.004	16.71
156	173	183	0.5955	0.01	34.87
156	173	183	1.1269	0	-1.09
156	173	183	1.1269	0.001	21.76
156	173	183	1.1269	0.004	24.5
156	173	183	1.1269	0.01	49.72
156	173	183	2.1931	0	-22.35
156	173	183	2.1931	0.001	16.1
156	173	183	2.1931	0.004	7.31
156	173	183	2.1931	0.01	63.3
156	173	174	0	0	0
156	173	174	0	0.13	-4.96
156	173	174	0	0.5	-7.85
156	173	174	0	1.13	38.6
156	173	174	0.5955	0	-5.23
156	173	174	0.5955	0.13	19.48
156	173	174	0.5955	0.5	10.4
156	173	174	0.5955	1.13	43.77
156	173	174	1.1269	0	-1.09
156	173	174	1.1269	0.13	16.67
156	173	174	1.1269	0.5	3.99
156	173	174	1.1269	1.13	34.23
156	173	174	2.1931	0	-22.35
156	173	174	2.1931	0.13	-0.96
156	173	174	2.1931	0.5	14.77
156	173	174	2.1931	1.13	69.37
156	173	180	0	0	0
156	173	180	0	1	2.95
156	173	180	0	2.5	80.73
156	173	180	0	5	95.86
156	173	180	0.5955	0	-5.23
156	173	180	0.5955	1	30.12
156	173	180	0.5955	2.5	72.51
156	173	180	0.5955	5	98.17
156	173	180	1.1269	0	-1.09
156	173	180	1.1269	1	33.35
156	173	180	1.1269	2.5	87.58
156	173	180	1.1269	5	98.06
156	173	180	2.1931	0	-22.35
156	173	180	2.1931	1	16.2
156	173	180	2.1931	2.5	69.56
156	173	180	2.1931	5	96.98
156	173	178	0	0	0
156	173	178	0	0.3089	75.81
156	173	178	0	1.6151	82.62
156	173	178	0	7.4095	85.47
156	173	178	0.5955	0	-5.23
156	173	178	0.5955	0.3089	80.03
156	173	178	0.5955	1.6151	82.38
156	173	178	0.5955	7.4095	90.77
156	173	178	1.1269	0	-1.09
156	173	178	1.1269	0.3089	80.58
156	173	178	1.1269	1.6151	78.14
156	173	178	1.1269	7.4095	86.74
156	173	178	2.1931	0	-22.35
156	173	178	2.1931	0.3089	77.3
156	173	178	2.1931	1.6151	79.69
156	173	178	2.1931	7.4095	87.15
156	173	182	0	0	0
156	173	182	0	0.25	75.14
156	173	182	0	1	16.69
156	173	182	0	4	46.22
156	173	182	0.5955	0	-5.23
156	173	182	0.5955	0.25	79.32
156	173	182	0.5955	1	17.48
156	173	182	0.5955	4	68.07
156	173	182	1.1269	0	-1.09
156	173	182	1.1269	0.25	75.27
156	173	182	1.1269	1	9.91
156	173	182	1.1269	4	80.11
156	173	182	2.1931	0	-22.35
156	173	182	2.1931	0.25	72.31
156	173	182	2.1931	1	16.21
156	173	182	2.1931	4	50.84
156	173	77	0	0	0
156	173	77	0	0.0184	13.91
156	173	77	0	0.0504	29.21
156	173	77	0	1	77.12
156	173	77	0.5955	0	-5.23
156	173	77	0.5955	0.0184	15.01
156	173	77	0.5955	0.0504	41.51
156	173	77	0.5955	1	85.3
156	173	77	1.1269	0	-1.09
156	173	77	1.1269	0.0184	24.19
156	173	77	1.1269	0.0504	46.4
156	173	77	1.1269	1	83.54
156	173	77	2.1931	0	-22.35
156	173	77	2.1931	0.0184	0.44
156	173	77	2.1931	0.0504	52.51
156	173	77	2.1931	1	82.66
156	173	76	0	0	0
156	173	76	0	0.001	25.78
156	173	76	0	0.0059	64.19
156	173	76	0	0.0119	71.19
156	173	76	0.5955	0	-5.23
156	173	76	0.5955	0.001	28.5
156	173	76	0.5955	0.0059	67.66
156	173	76	0.5955	0.0119	81.41
156	173	76	1.1269	0	-1.09
156	173	76	1.1269	0.001	20.08
156	173	76	1.1269	0.0059	67.21
156	173	76	1.1269	0.0119	76.76
156	173	76	2.1931	0	-22.35
156	173	76	2.1931	0.001	5.65
156	173	76	2.1931	0.0059	73.86
156	173	76	2.1931	0.0119	81.05
156	173	179	0	0	0
156	173	179	0	0.9533	73.87
156	173	179	0	2.143	75.47
156	173	179	0	4.3128	75.27
156	173	179	0.5955	0	-5.23
156	173	179	0.5955	0.9533	81.24
156	173	179	0.5955	2.143	81.42
156	173	179	0.5955	4.3128	81.34
156	173	179	1.1269	0	-1.09
156	173	179	1.1269	0.9533	74.53
156	173	179	1.1269	2.143	80.21
156	173	179	1.1269	4.3128	81.22
156	173	179	2.1931	0	-22.35
156	173	179	2.1931	0.9533	68.07
156	173	179	2.1931	2.143	77.83
156	173	179	2.1931	4.3128	74.25
156	173	175	0	0	0
156	173	175	0	0.2087	37.29
156	173	175	0	0.4894	71.49
156	173	175	0	0.9389	92.22
156	173	175	0.5955	0	-5.23
156	173	175	0.5955	0.2087	50.88
156	173	175	0.5955	0.4894	76.51
156	173	175	0.5955	0.9389	93
156	173	175	1.1269	0	-1.09
156	173	175	1.1269	0.2087	42.41
156	173	175	1.1269	0.4894	73.39
156	173	175	1.1269	0.9389	95.72
156	173	175	2.1931	0	-22.35
156	173	175	2.1931	0.2087	35.88
156	173	175	2.1931	0.4894	80.75
156	173	175	2.1931	0.9389	93.74
156	173	2	0	0	0
156	173	2	0	0.3239	42.48
156	173	2	0	0.5941	78.16
156	173	2	0	1.3714	91.53
156	173	2	0.5955	0	-5.23
156	173	2	0.5955	0.3239	40.49
156	173	2	0.5955	0.5941	63.54
156	173	2	0.5955	1.3714	85.85
156	173	2	1.1269	0	-1.09
156	173	2	1.1269	0.3239	12.78
156	173	2	1.1269	0.5941	51.29
156	173	2	1.1269	1.3714	78.39
156	173	2	2.1931	0	-22.35
156	173	2	2.1931	0.3239	32.64
156	173	2	2.1931	0.5941	39.02
156	173	2	2.1931	1.3714	69.62
156	173	176	0	0	0
156	173	176	0	0.27	72.55
156	173	176	0	0.5	87.96
156	173	176	0	1.3	89.41
156	173	176	0.5955	0	-5.23
156	173	176	0.5955	0.27	73.67
156	173	176	0.5955	0.5	87.27
156	173	176	0.5955	1.3	92.54
156	173	176	1.1269	0	-1.09
156	173	176	1.1269	0.27	78.98
156	173	176	1.1269	0.5	86.28
156	173	176	1.1269	1.3	92.71
156	173	176	2.1931	0	-22.35
156	173	176	2.1931	0.27	66.82
156	173	176	2.1931	0.5	83.89
156	173	176	2.1931	1.3	90.28
156	173	45	0	0	0
156	173	45	0	0.0416	84.73
156	173	45	0	0.1	81.42
156	173	45	0	0.5	83.12
156	173	45	0.5955	0	-5.23
156	173	45	0.5955	0.0416	83.91
156	173	45	0.5955	0.1	82.19
156	173	45	0.5955	0.5	80.19
156	173	45	1.1269	0	-1.09
156	173	45	1.1269	0.0416	87.69
156	173	45	1.1269	0.1	80.78
156	173	45	1.1269	0.5	79.04
156	173	45	2.1931	0	-22.35
156	173	45	2.1931	0.0416	78.64
156	173	45	2.1931	0.1	79.85
156	173	45	2.1931	0.5	76.67
156	173	184	0	0	0
156	173	184	0	0.0013	25.1
156	173	184	0	0.0021	23.16
156	173	184	0	0.0042	61.17
156	173	184	0.5955	0	-5.23
156	173	184	0.5955	0.0013	22.87
156	173	184	0.5955	0.0021	19.49
156	173	184	0.5955	0.0042	51.74
156	173	184	1.1269	0	-1.09
156	173	184	1.1269	0.0013	-12.06
156	173	184	1.1269	0.0021	31.18
156	173	184	1.1269	0.0042	30
156	173	184	2.1931	0	-22.35
156	173	184	2.1931	0.0013	-13.12
156	173	184	2.1931	0.0021	16.19
156	173	184	2.1931	0.0042	39.28
156	172	173	0	0	0
156	172	173	0	0.5955	-5.23
156	172	173	0	1.1269	-1.09
156	172	173	0	2.1931	-22.35
156	172	173	0.1007	0	-5.25
156	172	173	0.1007	0.5955	8.15
156	172	173	0.1007	1.1269	14.58
156	172	173	0.1007	2.1931	7.15
156	172	173	0.551	0	-2.45
156	172	173	0.551	0.5955	22.53
156	172	173	0.551	1.1269	19.21
156	172	173	0.551	2.1931	14.39
156	172	173	8.616	0	13.77
156	172	173	8.616	0.5955	32.75
156	172	173	8.616	1.1269	29.78
156	172	173	8.616	2.1931	23.15
156	172	106	0	0	0
156	172	106	0	0.4261	-4.78
156	172	106	0	0.7687	20.18
156	172	106	0	2.08	64.49
156	172	106	0.1007	0	-5.25
156	172	106	0.1007	0.4261	30.27
156	172	106	0.1007	0.7687	54.62
156	172	106	0.1007	2.08	77.53
156	172	106	0.551	0	-2.45
156	172	106	0.551	0.4261	34.37
156	172	106	0.551	0.7687	39.43
156	172	106	0.551	2.08	77.51
156	172	106	8.616	0	13.77
156	172	106	8.616	0.4261	41.81
156	172	106	8.616	0.7687	49.76
156	172	106	8.616	2.08	83.16
156	172	177	0	0	0
156	172	177	0	0.0162	-1.51
156	172	177	0	0.6658	68.14
156	172	177	0	4	71.07
156	172	177	0.1007	0	-5.25
156	172	177	0.1007	0.0162	69.46
156	172	177	0.1007	0.6658	81.65
156	172	177	0.1007	4	75.16
156	172	177	0.551	0	-2.45
156	172	177	0.551	0.0162	23.21
156	172	177	0.551	0.6658	69.87
156	172	177	0.551	4	75.98
156	172	177	8.616	0	13.77
156	172	177	8.616	0.0162	35.92
156	172	177	8.616	0.6658	72.49
156	172	177	8.616	4	79.23
156	172	68	0	0	0
156	172	68	0	0.1602	-11.27
156	172	68	0	1.521	-3.68
156	172	68	0	5	1.18
156	172	68	0.1007	0	-5.25
156	172	68	0.1007	0.1602	53.17
156	172	68	0.1007	1.521	28.49
156	172	68	0.1007	5	29.3
156	172	68	0.551	0	-2.45
156	172	68	0.551	0.1602	58.7
156	172	68	0.551	1.521	21.9
156	172	68	0.551	5	37.16
156	172	68	8.616	0	13.77
156	172	68	8.616	0.1602	71.84
156	172	68	8.616	1.521	52.07
156	172	68	8.616	5	62.84
156	172	87	0	0	0
156	172	87	0	0.009	44.7
156	172	87	0	0.0332	67.3
156	172	87	0	0.0567	64.1
156	172	87	0.1007	0	-5.25
156	172	87	0.1007	0.009	52.54
156	172	87	0.1007	0.0332	70.82
156	172	87	0.1007	0.0567	76.81
156	172	87	0.551	0	-2.45
156	172	87	0.551	0.009	48.25
156	172	87	0.551	0.0332	74.63
156	172	87	0.551	0.0567	76.47
156	172	87	8.616	0	13.77
156	172	87	8.616	0.009	72.04
156	172	87	8.616	0.0332	77.37
156	172	87	8.616	0.0567	79.2
156	172	181	0	0	0
