name	drugA	drugB	concA	concB	zip
156	173	106	0	0	0
156	173	106	0	0.4261	0
156	173	106	0	0.7687	0
156	173	106	0	2.08	0
156	173	106	0.5955	0	0
156	173	106	0.5955	0.4261	0.268723906028207
156	173	106	0.5955	0.7687	0.201214908749037
156	173	106	0.5955	2.08	0.105867692241665
156	173	106	1.1269	0	0
156	173	106	1.1269	0.4261	0.312556383218961
156	173	106	1.1269	0.7687	0.234358586399705
156	173	106	1.1269	2.08	0.123465674938434
156	173	106	2.1931	0	0
156	173	106	2.1931	0.4261	0.615404453023266
156	173	106	2.1931	0.7687	0.464931907958058
156	173	106	2.1931	2.08	0.139525758940385
156	173	177	0	0	0
156	173	177	0	0.0162	0
156	173	177	0	0.6658	0
156	173	177	0	4	0
156	173	177	0.5955	0	0
156	173	177	0.5955	0.0162	0.178812633834883
156	173	177	0.5955	0.6658	0.138342769953646
156	173	177	0.5955	4	0.0798016572952326
156	173	177	1.1269	0	0
156	173	177	1.1269	0.0162	0.0934320655506503
156	173	177	1.1269	0.6658	0.126999073629239
156	173	177	1.1269	4	0.0798042192393442
156	173	177	2.1931	0	0
156	173	177	2.1931	0.0162	-0.0202919242423949
156	173	177	2.1931	0.6658	0.144567066350033
156	173	177	2.1931	4	0.0798066147897924
156	173	68	0	0	0
156	173	68	0	0.1602	0
156	173	68	0	1.521	0
156	173	68	0	5	0
156	173	68	0.5955	0	0
156	173	68	0.5955	0.1602	0.596282760687178
156	173	68	0.5955	1.521	0.152799069591139
156	173	68	0.5955	5	0.104255356243023
156	173	68	1.1269	0	0
156	173	68	1.1269	0.1602	0.632159024054015
156	173	68	1.1269	1.521	0.20027942350032
156	173	68	1.1269	5	0.157088294155216
156	173	68	2.1931	0	0
156	173	68	2.1931	0.1602	0.68076787317708
156	173	68	2.1931	1.521	0.253317176269638
156	173	68	2.1931	5	0.167548616349147
156	173	87	0	0	NA
156	173	87	0	0.009	NA
156	173	87	0	0.0332	NA
156	173	87	0	0.0567	NA
156	173	87	0.5955	0	NA
156	173	87	0.5955	0.009	NA
156	173	87	0.5955	0.0332	NA
156	173	87	0.5955	0.0567	NA
156	173	87	1.1269	0	NA
156	173	87	1.1269	0.009	NA
156	173	87	1.1269	0.0332	NA
156	173	87	1.1269	0.0567	NA
156	173	87	2.1931	0	NA
156	173	87	2.1931	0.009	NA
156	173	87	2.1931	0.0332	NA
156	173	87	2.1931	0.0567	NA
156	173	181	0	0	0
156	173	181	0	0.22	0
156	173	181	0	0.67	0
156	173	181	0	2	0
156	173	181	0.5955	0	0
156	173	181	0.5955	0.22	0.756708165487326
156	173	181	0.5955	0.67	0.560569060088155
156	173	181	0.5955	2	0.0522251107824606
156	173	181	1.1269	0	0
156	173	181	1.1269	0.22	0.220212270116225
156	173	181	1.1269	0.67	0.280869015429539
156	173	181	1.1269	2	-0.001762103121021
156	173	181	2.1931	0	0
156	173	181	2.1931	0.22	0.0649010660377073
156	173	181	2.1931	0.67	0.0736609494897828
156	173	181	2.1931	2	-0.00160139294450332
156	173	183	0	0	0
156	173	183	0	0.001	0
156	173	183	0	0.004	0
156	173	183	0	0.01	0
156	173	183	0.5955	0	0
156	173	183	0.5955	0.001	-0.0606967810360782
156	173	183	0.5955	0.004	0.221539695154608
156	173	183	0.5955	0.01	0.281570133453265
156	173	183	1.1269	0	0
156	173	183	1.1269	0.001	-0.0616580144129024
156	173	183	1.1269	0.004	0.261650255512495
156	173	183	1.1269	0.01	0.461581237198
156	173	183	2.1931	0	0
156	173	183	2.1931	0.001	-0.0893837806056862
156	173	183	2.1931	0.004	0.24246930769459
156	173	183	2.1931	0.01	0.622218214329252
156	173	174	0	0	0
156	173	174	0	0.13	0
156	173	174	0	0.5	0
156	173	174	0	1.13	0
156	173	174	0.5955	0	0
156	173	174	0.5955	0.13	0.282578828022926
156	173	174	0.5955	0.5	0.120119637917052
156	173	174	0.5955	1.13	0.0080430989570727
156	173	174	1.1269	0	0
156	173	174	1.1269	0.13	0.233072918017001
156	173	174	1.1269	0.5	0.0961712079509289
156	173	174	1.1269	1.13	-0.0330523291510611
156	173	174	2.1931	0	0
156	173	174	2.1931	0.13	0.130535816869963
156	173	174	2.1931	0.5	0.101301812110525
156	173	174	2.1931	1.13	0.129318188008947
156	173	180	0	0	0
156	173	180	0	1	0
156	173	180	0	2.5	0
156	173	180	0	5	0
156	173	180	0.5955	0	0
156	173	180	0.5955	1	0.257567550117488
156	173	180	0.5955	2.5	-0.0345455512711179
156	173	180	0.5955	5	-0.00248476077353132
156	173	180	1.1269	0	0
156	173	180	1.1269	1	0.54807372774417
156	173	180	1.1269	2.5	0.0890091401937993
156	173	180	1.1269	5	0.00773875275045327
156	173	180	2.1931	0	0
156	173	180	2.1931	1	0.12986240101753
156	173	180	2.1931	2.5	-0.049626915768249
156	173	180	2.1931	5	0.00185958817629398
156	173	178	0	0	0
156	173	178	0	0.3089	0
156	173	178	0	1.6151	0
156	173	178	0	7.4095	0
156	173	178	0.5955	0	0
156	173	178	0.5955	0.3089	0.0554012815091028
156	173	178	0.5955	1.6151	0.00431406843570898
156	173	178	0.5955	7.4095	0.0577580260627605
156	173	178	1.1269	0	0
156	173	178	1.1269	0.3089	0.0410188030528053
156	173	178	1.1269	1.6151	-0.008910951345255
156	173	178	1.1269	7.4095	0.00370561129193774
156	173	178	2.1931	0	0
156	173	178	2.1931	0.3089	0.0220362992333904
156	173	178	2.1931	1.6151	-0.0142596716470399
156	173	178	2.1931	7.4095	0.00637369072200968
156	173	182	0	0	NA
156	173	182	0	0.25	NA
156	173	182	0	1	NA
156	173	182	0	4	NA
156	173	182	0.5955	0	NA
156	173	182	0.5955	0.25	NA
156	173	182	0.5955	1	NA
156	173	182	0.5955	4	NA
156	173	182	1.1269	0	NA
156	173	182	1.1269	0.25	NA
156	173	182	1.1269	1	NA
156	173	182	1.1269	4	NA
156	173	182	2.1931	0	NA
156	173	182	2.1931	0.25	NA
156	173	182	2.1931	1	NA
156	173	182	2.1931	4	NA
156	173	77	0	0	0
156	173	77	0	0.0184	0
156	173	77	0	0.0504	0
156	173	77	0	1	0
156	173	77	0.5955	0	0
156	173	77	0.5955	0.0184	0.012764806406209
156	173	77	0.5955	0.0504	0.0632885688500448
156	173	77	0.5955	1	0.140310054523741
156	173	77	1.1269	0	0
156	173	77	1.1269	0.0184	0.098339382652615
156	173	77	1.1269	0.0504	0.0374756219429063
156	173	77	1.1269	1	0.0632774239585056
156	173	77	2.1931	0	0
156	173	77	2.1931	0.0184	-0.0682178425193478
156	173	77	2.1931	0.0504	0.115977176044086
156	173	77	2.1931	1	0.136822677018374
156	173	76	0	0	NA
156	173	76	0	0.001	NA
156	173	76	0	0.0059	NA
156	173	76	0	0.0119	NA
156	173	76	0.5955	0	NA
156	173	76	0.5955	0.001	NA
156	173	76	0.5955	0.0059	NA
156	173	76	0.5955	0.0119	NA
156	173	76	1.1269	0	NA
156	173	76	1.1269	0.001	NA
156	173	76	1.1269	0.0059	NA
156	173	76	1.1269	0.0119	NA
156	173	76	2.1931	0	NA
156	173	76	2.1931	0.001	NA
156	173	76	2.1931	0.0059	NA
156	173	76	2.1931	0.0119	NA
156	173	179	0	0	0
156	173	179	0	0.9533	0
156	173	179	0	2.143	0
156	173	179	0	4.3128	0
156	173	179	0.5955	0	0
156	173	179	0.5955	0.9533	0.0968866949707429
156	173	179	0.5955	2.143	0.07995131252913
156	173	179	0.5955	4.3128	0.0718452127633815
156	173	179	1.1269	0	0
156	173	179	1.1269	0.9533	0.175677350265018
156	173	179	1.1269	2.143	0.189258587940579
156	173	179	1.1269	4.3128	0.165788719972578
156	173	179	2.1931	0	0
156	173	179	2.1931	0.9533	-0.0129799835362991
156	173	179	2.1931	2.143	0.00559822615810489
156	173	179	2.1931	4.3128	0.00143232446030595
156	173	175	0	0	NA
156	173	175	0	0.2087	NA
156	173	175	0	0.4894	NA
156	173	175	0	0.9389	NA
156	173	175	0.5955	0	NA
156	173	175	0.5955	0.2087	NA
156	173	175	0.5955	0.4894	NA
156	173	175	0.5955	0.9389	NA
156	173	175	1.1269	0	NA
156	173	175	1.1269	0.2087	NA
156	173	175	1.1269	0.4894	NA
156	173	175	1.1269	0.9389	NA
156	173	175	2.1931	0	NA
156	173	175	2.1931	0.2087	NA
156	173	175	2.1931	0.4894	NA
156	173	175	2.1931	0.9389	NA
156	173	2	0	0	NA
156	173	2	0	0.3239	NA
156	173	2	0	0.5941	NA
156	173	2	0	1.3714	NA
156	173	2	0.5955	0	NA
156	173	2	0.5955	0.3239	NA
156	173	2	0.5955	0.5941	NA
156	173	2	0.5955	1.3714	NA
156	173	2	1.1269	0	NA
156	173	2	1.1269	0.3239	NA
156	173	2	1.1269	0.5941	NA
156	173	2	1.1269	1.3714	NA
156	173	2	2.1931	0	NA
156	173	2	2.1931	0.3239	NA
156	173	2	2.1931	0.5941	NA
156	173	2	2.1931	1.3714	NA
156	173	176	0	0	0
156	173	176	0	0.27	0
156	173	176	0	0.5	0
156	173	176	0	1.3	0
156	173	176	0.5955	0	0
156	173	176	0.5955	0.27	0.0142446585075358
156	173	176	0.5955	0.5	0.019292327292044
156	173	176	0.5955	1.3	0.0183874323498382
156	173	176	1.1269	0	0
156	173	176	1.1269	0.27	0.0372090852029865
156	173	176	1.1269	0.5	0.0177531569652653
156	173	176	1.1269	1.3	0.00597719654984317
156	173	176	2.1931	0	0
156	173	176	2.1931	0.27	-0.023948900301494
156	173	176	2.1931	0.5	-0.0306323925418803
156	173	176	2.1931	1.3	0.00745259126654631
156	173	45	0	0	0
156	173	45	0	0.0416	0
156	173	45	0	0.1	0
156	173	45	0	0.5	0
156	173	45	0.5955	0	0
156	173	45	0.5955	0.0416	0
156	173	45	0.5955	0.1	0
156	173	45	0.5955	0.5	9.63211732596392e-13
156	173	45	1.1269	0	0
156	173	45	1.1269	0.0416	0
156	173	45	1.1269	0.1	0
156	173	45	1.1269	0.5	8.92441676114686e-13
156	173	45	2.1931	0	0
156	173	45	2.1931	0.0416	0
156	173	45	2.1931	0.1	0
156	173	45	2.1931	0.5	4.82316409033956e-13
156	173	184	0	0	0
156	173	184	0	0.0013	0
156	173	184	0	0.0021	0
156	173	184	0	0.0042	0
156	173	184	0.5955	0	0
156	173	184	0.5955	0.0013	0.0702298825070635
156	173	184	0.5955	0.0021	-1.81320597028289e-05
156	173	184	0.5955	0.0042	-0.13792003002384
156	173	184	1.1269	0	0
156	173	184	1.1269	0.0013	-0.0848915756474051
156	173	184	1.1269	0.0021	-0.154078581105545
156	173	184	1.1269	0.0042	-0.289214614122739
156	173	184	2.1931	0	0
156	173	184	2.1931	0.0013	-0.0848915756364883
156	173	184	2.1931	0.0021	-0.154078581099203
156	173	184	2.1931	0.0042	-0.289214614125332
156	172	173	0	0	0
156	172	173	0	0.5955	0
156	172	173	0	1.1269	0
156	172	173	0	2.1931	0
156	172	173	0.1007	0	0
156	172	173	0.1007	0.5955	0.118046994764079
156	172	173	0.1007	1.1269	0.113390353832829
156	172	173	0.1007	2.1931	0.104443855765429
156	172	173	0.551	0	0
156	172	173	0.551	0.5955	0.165354330535347
156	172	173	0.551	1.1269	0.153193670438159
156	172	173	0.551	2.1931	0.130387487028294
156	172	173	8.616	0	0
156	172	173	8.616	0.5955	0.210739818010399
156	172	173	8.616	1.1269	0.19649428263042
156	172	173	8.616	2.1931	0.16906349508902
156	172	106	0	0	0
156	172	106	0	0.4261	0
156	172	106	0	0.7687	0
156	172	106	0	2.08	0
156	172	106	0.1007	0	0
156	172	106	0.1007	0.4261	0.165511136870354
156	172	106	0.1007	0.7687	0.298124025600075
156	172	106	0.1007	2.08	0.124912677031417
156	172	106	0.551	0	0
156	172	106	0.551	0.4261	0.144133180693019
156	172	106	0.551	0.7687	0.274969145244667
156	172	106	0.551	2.08	0.110046792106747
156	172	106	8.616	0	0
156	172	106	8.616	0.4261	0.184861680920127
156	172	106	8.616	0.7687	0.317529666169201
156	172	106	8.616	2.08	0.164252346101958
156	172	177	0	0	0
156	172	177	0	0.0162	0
156	172	177	0	0.6658	0
156	172	177	0	4	0
156	172	177	0.1007	0	0
156	172	177	0.1007	0.0162	0.521822935472138
156	172	177	0.1007	0.6658	0.168591819948823
156	172	177	0.1007	4	-0.0313300339254006
156	172	177	0.551	0	0
156	172	177	0.551	0.0162	0.355785642453837
156	172	177	0.551	0.6658	0.0408147663076352
156	172	177	0.551	4	-0.00468852287100418
156	172	177	8.616	0	0
156	172	177	8.616	0.0162	0.335857659579541
156	172	177	8.616	0.6658	0.0588317457729383
156	172	177	8.616	4	0.0064750081312377
156	172	68	0	0	0
156	172	68	0	0.1602	0
156	172	68	0	1.521	0
156	172	68	0	5	0
156	172	68	0.1007	0	0
156	172	68	0.1007	0.1602	0.544433910328348
156	172	68	0.1007	1.521	0.376995410393051
156	172	68	0.1007	5	0.349255593718701
156	172	68	0.551	0	0
156	172	68	0.551	0.1602	0.547443565196792
156	172	68	0.551	1.521	0.389939029338905
156	172	68	0.551	5	0.382467303209587
156	172	68	8.616	0	0
156	172	68	8.616	0.1602	0.706355687232007
156	172	68	8.616	1.521	0.608903855280038
156	172	68	8.616	5	0.646353871101174
156	172	87	0	0	0
156	172	87	0	0.009	0
156	172	87	0	0.0332	0
156	172	87	0	0.0567	0
156	172	87	0.1007	0	0
156	172	87	0.1007	0.009	0.0460307661368138
156	172	87	0.1007	0.0332	0.033932801254829
156	172	87	0.1007	0.0567	0.0643837577764423
156	172	87	0.551	0	0
