expt_no	cell_line	inhibition_calc_method	first_agent	conc_first_agent	first_agent_inhibition	first_agent_stddev	second_agent	conc_second_agent	second_agent_inhibition	second_agent_stddev	combo_observed	combo_stddev	bliss	observed_bliss_diff
251	MiaPaCa-2	41	GSK650394A	2.1931	-22.35	8.046	Thapsigargin	0.01	-17.57	9.3121	63.3	8.229	-43.85	107.15
252	PANC-1	41	GSK2334470	0.1007	-4.48	13.216	Vorinostat	0.7687	-8.35	23.213	93.65	4.6825	-13.2	106.85
251	MiaPaCa-2	41	GSK650394A	2.1931	-22.35	8.046	Vorinostat	0.4261	-4.78	4.2064	72.35	4.341	-28.2	100.55
260	PL45	41	Vorinostat	0.4261	-16.32	3.9168	Vorinostat	0.7687	-21.78	4.7916	56.94	4.5552	-41.65	98.59
251	MiaPaCa-2	41	GSK650394A	2.1931	-22.35	8.046	MK-2206	0.1602	-11.27	13.7494	58.57	4.0999	-36.14	94.71
260	PL45	41	MLN-8237	0.0162	-24.69	2.9628	Vorinostat	0.7687	-21.78	4.7916	42.01	4.201	-51.85	93.86
251	MiaPaCa-2	41	AZD-1480	10	-20.67	6.6144	Piperlongumine	1	2.95	5.6935	75.4		-17.11	92.51
251	MiaPaCa-2	41	MK-2206	5	1.18	9.4754	Thapsigargin	0.01	-17.57	9.3121	74.87	1.4974	-16.18	91.05
260	PL45	41	SN-38	0.009	10.31	7.9387	Vorinostat	0.7687	-21.78	4.7916	81.41	1.6282	-9.22	90.63
260	PL45	41	SB225002	0.67	-9.64	3.5668	Vorinostat	0.7687	-21.78	4.7916	56.47	5.0823	-33.52	89.99
260	PL45	41	Thapsigargin	0.004	-17.52	2.9784	Vorinostat	0.7687	-21.78	4.7916	45.97	3.2179	-43.12	89.09
251	MiaPaCa-2	41	MK-2206	0.1602	-11.27	13.7494	Thapsigargin	0.01	-17.57	9.3121	57.98	2.899	-30.82	88.8
257	SU-86-86	41	GSK650394A	1.1269	-1.88	7.3132	MK-2206	0.1602	-4.95	12.276	81.55	0.8155	-6.92	88.47
260	PL45	41	SB225002	0.22	-14.22	5.9724	Vorinostat	0.7687	-21.78	4.7916	49.36	3.4552	-39.1	88.46
251	MiaPaCa-2	41	GDC-0941	0.154	-18.09	22.4316	MK-2206	0.1602	-11.27	13.7494	56.78	1.1356	-31.4	88.18
257	SU-86-86	41	AZD-1480	10	-7.42	10.0912	Piperlongumine	1	1.31	11.3839	81.94	1.6388	-6.01	87.95
257	SU-86-86	41	MK-2206	0.1602	-4.95	12.276	MK-2206	1.521	-2.16	13.5	80.58	2.4174	-7.22	87.8
252	PANC-1	41	Thapsigargin	0.001	5.35	2.889	Vorinostat	2.08	-7.24	3.982	86.21		-1.5	87.71
251	MiaPaCa-2	41	MK-2206	0.1602	-11.27	13.7494	Thapsigargin	0.004	-8.22	19.0704	67.24	1.3448	-20.42	87.66
260	PL45	41	IMD 0354	0.13	-21.5	7.095	Vorinostat	0.7687	-21.78	4.7916	39.12	2.7384	-47.96	87.08
260	PL45	41	Piperlongumine	1	-12.74	8.918	Vorinostat	0.7687	-21.78	4.7916	49.7	5.467	-37.29	86.99
260	PL45	41	Piperlongumine	2.5	7.73	5.1791	Vorinostat	0.7687	-21.78	4.7916	74.37	0.7437	-12.37	86.74
257	SU-86-86	41	GSK2334470	8.616	0.15	10.1145	MK-2206	0.1602	-4.95	12.276	81.92	0.8192	-4.79	86.71
260	PL45	41	BRD-7389	0.6297	-14.32	9.308	Vorinostat	0.7687	-21.78	4.7916	47.41	4.2669	-39.22	86.63
251	MiaPaCa-2	41	MK-2206	0.1602	-11.27	13.7494	MK-2206	5	1.18	9.4754	75.74	2.2722	-9.96	85.7
260	PL45	41	Flavopiridol	0.1381	5.92	9.5312	Vorinostat	0.7687	-21.78	4.7916	70.72	4.9504	-14.57	85.29
260	PL45	41	Oligomycin	1.6151	6.47	2.5233	Thapsigargin	0.01	-14.38	5.6082	78.06	3.1224	-6.98	85.04
260	PL45	41	GSK2334470	0.1007	-13.43	6.715	Vorinostat	0.7687	-21.78	4.7916	45.99	1.3797	-38.14	84.13
260	PL45	41	Simvastatin	4	-4.15	1.992	Thapsigargin	0.01	-14.38	5.6082	64.85	5.8365	-19.13	83.98
252	PANC-1	41	ABT-199	0.2	6.2	13.268	Vorinostat	0.7687	-8.35	23.213	81.88	12.282	-1.63	83.51
260	PL45	41	Crizotinib	0.3	-24.93	7.9776	Vorinostat	0.7687	-21.78	4.7916	30.92	4.638	-52.14	83.06
260	PL45	41	IMD 0354	0.5	-4.74	2.607	Vorinostat	0.7687	-21.78	4.7916	55.27	6.6324	-27.55	82.82
257	SU-86-86	41	MK-2206	0.1602	-4.95	12.276	Piperlongumine	1	1.31	11.3839	79.09	2.3727	-3.58	82.67
252	PANC-1	41	Vorinostat	0.4261	-14.42	13.2664	Vorinostat	2.08	-7.24	3.982	59.93		-22.7	82.63
257	SU-86-86	41	GSK650394A	2.1931	0.58	10.2892	MK-2206	0.1602	-4.95	12.276	78.03	7.803	-4.34	82.37
260	PL45	41	Pemetrexed	0.0184	-10.62	4.4604	Vorinostat	0.7687	-21.78	4.7916	47.62	5.2382	-34.71	82.33
260	PL45	41	Paclitaxel	0.001	13.91	4.173	Vorinostat	0.7687	-21.78	4.7916	77.17	3.0868	-4.84	82.01
257	SU-86-86	41	MK-2206	0.1602	-4.95	12.276	Pemetrexed	0.0184	3.22	4.1538	80.42	3.2168	-1.57	81.99
252	PANC-1	41	Vorinostat	0.7687	-8.35	23.213	Vorinostat	2.08	-7.24	3.982	65.79		-16.19	81.98
260	PL45	41	Thapsigargin	0.001	-11.64	5.238	Vorinostat	0.7687	-21.78	4.7916	45.8	8.702	-35.96	81.76
257	SU-86-86	41	MK-2206	0.1602	-4.95	12.276	MLN-8237	0.0162	2.44	6.954	79.29	3.1716	-2.39	81.68
251	MiaPaCa-2	41	MK-2206	0.1602	-11.27	13.7494	MLN-8237	0.0162	-1.51	15.9456	68.59	0	-12.95	81.54
257	SU-86-86	41	AZD-8055	0.0212	-2.83	3.396	Thapsigargin	0.001	4.86	6.7554	83.48	0.8348	2.17	81.31
260	PL45	41	GSK650394A	0.5955	-19.74	12.831	Vorinostat	0.7687	-21.78	4.7916	35.45	1.418	-45.82	81.27
252	PANC-1	41	AZD-1480	3	-1.06	19.5676	AZD-8055	0.0212	10.1	7.878	90.11	6.3077	9.15	80.96
257	SU-86-86	41	GSK2334470	0.551	3.55	6.4965	MK-2206	0.1602	-4.95	12.276	79.66	3.1864	-1.22	80.88
251	MiaPaCa-2	41	GSK650394A	0.5955	-5.23	25.3132	MK-2206	0.1602	-11.27	13.7494	63.62	6.9982	-17.09	80.71
257	SU-86-86	41	MK-2206	0.1602	-4.95	12.276	Simvastatin	1	5.93	3.0836	81.92	2.4576	1.27	80.65
251	MiaPaCa-2	41	Piperlongumine	1	2.95	5.6935	Thapsigargin	0.004	-8.22	19.0704	75.39	1.5078	-5.03	80.42
260	PL45	41	Piperlongumine	1	-12.74	8.918	Thapsigargin	0.004	-17.52	2.9784	47.81	5.7372	-32.49	80.3
257	SU-86-86	41	SB225002	0.22	-0.17	6.9496	Simvastatin	1	5.93	3.0836	85.99	1.7198	5.77	80.22
260	PL45	41	Oligomycin	1.6151	6.47	2.5233	Vorinostat	0.7687	-21.78	4.7916	66.16	1.9848	-13.9	80.06
260	PL45	41	Vorinostat	0.7687	-21.78	4.7916	Vorinostat	2.08	14.95	2.2425	76.24	0.7624	-3.57	79.81
257	SU-86-86	41	MK-2206	0.1602	-4.95	12.276	Thapsigargin	0.001	4.86	6.7554	79.82	0	0.15	79.67
257	SU-86-86	41	MK-2206	0.1602	-4.95	12.276	MK-2206	5	5.31	9.7173	80.15	2.4045	0.62	79.53
257	SU-86-86	41	Piperlongumine	1	1.31	11.3839	Simvastatin	1	5.93	3.0836	86.27	0.8627	7.16	79.11
251	MiaPaCa-2	41	Thapsigargin	0.004	-8.22	19.0704	Thapsigargin	0.01	-17.57	9.3121	51.76	12.4224	-27.23	78.99
257	SU-86-86	41	AZD-1480	10	-7.42	10.0912	Piperlongumine	2.5	11.39	3.417	83.68	0.8368	4.82	78.86
257	SU-86-86	41	GSK650394A	0.5955	1.22	8.296	SB225002	0.22	-0.17	6.9496	79.85	1.597	1.05	78.8
257	SU-86-86	41	CMPD-1	0.845	2.77	4.1827	MK-2206	0.1602	-4.95	12.276	76.62	0	-2.04	78.66
257	SU-86-86	41	Dovitinib	1	-1.87	4.114	Erlotinib	0.038	0.43	1.8834	76.93	4.6158	-1.43	78.36
257	SU-86-86	41	Dovitinib	1	-1.87	4.114	MK-2206	0.1602	-4.95	12.276	71.36	9.9904	-6.91	78.27
257	SU-86-86	41	Dovitinib	1	-1.87	4.114	GSK2334470	0.1007	2.84	8.4916	79.2	2.376	1.02	78.18
260	PL45	41	GSK650394A	1.1269	-7.76	1.8624	Vorinostat	0.7687	-21.78	4.7916	46.91	1.8764	-31.23	78.14
257	SU-86-86	41	MK-2206	0.1602	-4.95	12.276	SB225002	0.22	-0.17	6.9496	72.86	8.7432	-5.13	77.99
257	SU-86-86	41	AZD-1480	10	-7.42	10.0912	SB225002	0.22	-0.17	6.9496	70.33	7.033	-7.6	77.93
260	PL45	41	GSK650394A	2.1931	-8.62	7.6718	Vorinostat	0.7687	-21.78	4.7916	45.64	3.6512	-32.28	77.92
251	MiaPaCa-2	41	MK-2206	0.1602	-11.27	13.7494	MK-2206	1.521	-3.68	15.6032	62.54	11.2572	-15.36	77.9
